imageURNList	folioURN
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485-corr	urn:cite:botcar:CatesbyHS212.021
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484	urn:cite:botcar:CatesbyHS212.022
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484-corr	urn:cite:botcar:CatesbyHS212.022
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489	urn:cite:botcar:CatesbyHS212.023
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489-corr	urn:cite:botcar:CatesbyHS212.023
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_025_0488	urn:cite:botcar:CatesbyHS212.025
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_025_0488-corr	urn:cite:botcar:CatesbyHS212.025
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487	urn:cite:botcar:CatesbyHS212.026
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487-corr	urn:cite:botcar:CatesbyHS212.026
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483	urn:cite:botcar:CatesbyHS212.027
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483-corr	urn:cite:botcar:CatesbyHS212.027
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482	urn:cite:botcar:CatesbyHS212.028
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482-corr	urn:cite:botcar:CatesbyHS212.028
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481	urn:cite:botcar:CatesbyHS212.029
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481-corr	urn:cite:botcar:CatesbyHS212.029
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486	urn:cite:botcar:CatesbyHS212.030
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486-corr	urn:cite:botcar:CatesbyHS212.030
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474	urn:cite:botcar:CatesbyHS212.031
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474-corr	urn:cite:botcar:CatesbyHS212.031
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476	urn:cite:botcar:CatesbyHS212.032
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476-corr	urn:cite:botcar:CatesbyHS212.032
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472	urn:cite:botcar:CatesbyHS212.033
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472-corr	urn:cite:botcar:CatesbyHS212.033
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477	urn:cite:botcar:CatesbyHS212.034
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477-corr	urn:cite:botcar:CatesbyHS212.034
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480	urn:cite:botcar:CatesbyHS212.035
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480-corr	urn:cite:botcar:CatesbyHS212.035
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475	urn:cite:botcar:CatesbyHS212.036
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475-corr	urn:cite:botcar:CatesbyHS212.036
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478	urn:cite:botcar:CatesbyHS212.037
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478-corr	urn:cite:botcar:CatesbyHS212.037
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_038_0473	urn:cite:botcar:CatesbyHS212.038
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_038_0473-corr	urn:cite:botcar:CatesbyHS212.038
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479	urn:cite:botcar:CatesbyHS212.039
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479-corr	urn:cite:botcar:CatesbyHS212.039
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457	urn:cite:botcar:CatesbyHS212.040
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457-corr	urn:cite:botcar:CatesbyHS212.040
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456	urn:cite:botcar:CatesbyHS212.041
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456-corr	urn:cite:botcar:CatesbyHS212.041
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455	urn:cite:botcar:CatesbyHS212.042
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455-corr	urn:cite:botcar:CatesbyHS212.042
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464	urn:cite:botcar:CatesbyHS212.043
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464-corr	urn:cite:botcar:CatesbyHS212.043
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463	urn:cite:botcar:CatesbyHS212.044
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463-corr	urn:cite:botcar:CatesbyHS212.044
