URN	folioURN
urn:cite:botcar:catesbyLabels.penLabel184.1	urn:cite:fufolio:CatesbyHS212.051
urn:cite:botcar:catesbyLabels.penLabel16.1	urn:cite:fufolio:CatesbyHS212.095
urn:cite:botcar:catesbyLabels.penLabel375.1	urn:cite:fufolio:CatesbyHS232.037
urn:cite:botcar:catesbyLabels.penLabel218.1	urn:cite:fufolio:CatesbyHS232.056
urn:cite:botcar:catesbyLabels.penLabel336.1	urn:cite:fufolio:CatesbyHS232.103
urn:cite:botcar:catesbyLabels.penLabel270.1	urn:cite:fufolio:CatesbyHS212.029
urn:cite:botcar:catesbyLabels.penLabel13.1	urn:cite:fufolio:CatesbyHS212.057
urn:cite:botcar:catesbyLabels.penLabel23.1	urn:cite:fufolio:CatesbyHS212.033
urn:cite:botcar:catesbyLabels.penLabel298.1	urn:cite:fufolio:CatesbyHS212.040
urn:cite:botcar:catesbyLabels.penLabel11.1	urn:cite:fufolio:CatesbyHS212.043
urn:cite:botcar:catesbyLabels.penLabel171.1	urn:cite:fufolio:CatesbyHS212.047
urn:cite:botcar:catesbyLabels.penLabel74.1	urn:cite:fufolio:CatesbyHS212.021
urn:cite:botcar:catesbyLabels.penLabel43.1	urn:cite:fufolio:CatesbyHS212.022
urn:cite:botcar:catesbyLabels.penLabel72.1	urn:cite:fufolio:CatesbyHS212.020
urn:cite:botcar:catesbyLabels.penLabel253.1	urn:cite:fufolio:CatesbyHS212.045
urn:cite:botcar:catesbyLabels.penLabel414.1	urn:cite:fufolio:CatesbyHS212.032
urn:cite:botcar:catesbyLabels.penLabel87.1	urn:cite:fufolio:CatesbyHS212.018
urn:cite:botcar:catesbyLabels.penLabel266.1	urn:cite:fufolio:CatesbyHS212.030
urn:cite:botcar:catesbyLabels.penLabel101.1	urn:cite:fufolio:CatesbyHS212.016
urn:cite:botcar:catesbyLabels.penLabel185.1	urn:cite:fufolio:CatesbyHS212.009
urn:cite:botcar:catesbyLabels.penLabel118.1	urn:cite:fufolio:CatesbyHS212.060
urn:cite:botcar:catesbyLabels.penLabel281.1	urn:cite:fufolio:CatesbyHS212.034
urn:cite:botcar:catesbyLabels.penLabel81.1	urn:cite:fufolio:CatesbyHS212.017
urn:cite:botcar:catesbyLabels.penLabel71.1	urn:cite:fufolio:CatesbyHS232.048
urn:cite:botcar:catesbyLabels.penLabel76.1	urn:cite:fufolio:CatesbyHS212.023
urn:cite:botcar:catesbyLabels.penLabel359.1	urn:cite:fufolio:CatesbyHS212.019
urn:cite:botcar:catesbyLabels.penLabel181.1	urn:cite:fufolio:CatesbyHS232.040
urn:cite:botcar:catesbyLabels.penLabel176.1	urn:cite:fufolio:CatesbyHS212.053
urn:cite:botcar:catesbyLabels.penLabel216.1	urn:cite:fufolio:CatesbyHS212.092
urn:cite:botcar:catesbyLabels.penLabel288.1	urn:cite:fufolio:CatesbyHS212.037
