labelURN	specimenURN
urn:cite:botcar:catesbyLabels.penLabel35.1	urn:cite:botcar:sloane.35
urn:cite:botcar:catesbyLabels.penLabel392.1	urn:cite:botcar:sloane.392
urn:cite:botcar:catesbyLabels.penLabel251.1	urn:cite:botcar:sloane.251
urn:cite:botcar:catesbyLabels.penLabel161.1	urn:cite:botcar:sloane.161
urn:cite:botcar:catesbyLabels.penLabel406.1	urn:cite:botcar:sloane.406
urn:cite:botcar:catesbyLabels.penLabel151.1	urn:cite:botcar:sloane.151
urn:cite:botcar:catesbyLabels.penLabel8.1	urn:cite:botcar:sloane.8
urn:cite:botcar:catesbyLabels.penLabel391.1	urn:cite:botcar:sloane.391
urn:cite:botcar:catesbyLabels.penLabel268.1	urn:cite:botcar:sloane.268
urn:cite:botcar:catesbyLabels.penLabel131.1	urn:cite:botcar:sloane.131
urn:cite:botcar:catesbyLabels.penLabel258.1	urn:cite:botcar:sloane.258
urn:cite:botcar:catesbyLabels.penLabel75.1	urn:cite:botcar:sloane.75
urn:cite:botcar:catesbyLabels.penLabel396.1	urn:cite:botcar:sloane.396
urn:cite:botcar:catesbyLabels.penLabel85.1	urn:cite:botcar:sloane.85
urn:cite:botcar:catesbyLabels.penLabel325.1	urn:cite:botcar:sloane.325
urn:cite:botcar:catesbyLabels.penLabel395.1	urn:cite:botcar:sloane.395
urn:cite:botcar:catesbyLabels.penLabel424.1	urn:cite:botcar:sloane.424
urn:cite:botcar:catesbyLabels.penLabel202.1	urn:cite:botcar:sloane.202
urn:cite:botcar:catesbyLabels.penLabel18.1	urn:cite:botcar:sloane.18
urn:cite:botcar:catesbyLabels.penLabel207.1	urn:cite:botcar:sloane.207
urn:cite:botcar:catesbyLabels.penLabel234.1	urn:cite:botcar:sloane.234
urn:cite:botcar:catesbyLabels.penLabel420.1	urn:cite:botcar:sloane.420
urn:cite:botcar:catesbyLabels.penLabel233.1	urn:cite:botcar:sloane.233
urn:cite:botcar:catesbyLabels.penLabel55.1	urn:cite:botcar:sloane.55
urn:cite:botcar:catesbyLabels.penOnPage319.1	urn:cite:botcar:sloane.319
urn:cite:botcar:catesbyLabels.penOnPage370.1	urn:cite:botcar:sloane.370
urn:cite:botcar:catesbyLabels.penOnPage424.1	urn:cite:botcar:sloane.424
urn:cite:botcar:catesbyLabels.penOnPage192.1	urn:cite:botcar:sloane.192
urn:cite:botcar:catesbyLabels.penOnPage40.1	urn:cite:botcar:sloane.40
urn:cite:botcar:catesbyLabels.penOnPage363.1	urn:cite:botcar:sloane.363
urn:cite:botcar:catesbyLabels.penOnPage390.1	urn:cite:botcar:sloane.390
urn:cite:botcar:catesbyLabels.penOnPage145.1	urn:cite:botcar:sloane.145
urn:cite:botcar:catesbyLabels.penOnPage95.1	urn:cite:botcar:sloane.95
urn:cite:botcar:catesbyLabels.penOnPage169.1	urn:cite:botcar:sloane.169
urn:cite:botcar:catesbyLabels.penOnPage233.1	urn:cite:botcar:sloane.233
urn:cite:botcar:catesbyLabels.penOnPage172.1	urn:cite:botcar:sloane.172
urn:cite:botcar:catesbyLabels.penOnPage234.1	urn:cite:botcar:sloane.234
urn:cite:botcar:catesbyLabels.penOnPage208.1	urn:cite:botcar:sloane.208
urn:cite:botcar:catesbyLabels.penOnPage91.1	urn:cite:botcar:sloane.91
urn:cite:botcar:catesbyLabels.penOnPage266.1	urn:cite:botcar:sloane.266
urn:cite:botcar:catesbyLabels.penOnPage66.1	urn:cite:botcar:sloane.66
urn:cite:botcar:catesbyLabels.penOnPage421.1	urn:cite:botcar:sloane.421
urn:cite:botcar:catesbyLabels.penOnPage160.1	urn:cite:botcar:sloane.160
urn:cite:botcar:catesbyLabels.penOnPage232.1	urn:cite:botcar:sloane.232
urn:cite:botcar:catesbyLabels.penOnPage417.1	urn:cite:botcar:sloane.417
urn:cite:botcar:catesbyLabels.penOnPage200.1	urn:cite:botcar:sloane.200
urn:cite:botcar:catesbyLabels.penOnPage85.1	urn:cite:botcar:sloane.85
urn:cite:botcar:catesbyLabels.penOnPage98.1	urn:cite:botcar:sloane.98
urn:cite:botcar:catesbyLabels.penOnPage253.1	urn:cite:botcar:sloane.253
urn:cite:botcar:catesbyLabels.penOnPage89.1	urn:cite:botcar:sloane.89
urn:cite:botcar:catesbyLabels.penOnPage372.1	urn:cite:botcar:sloane.372
urn:cite:botcar:catesbyLabels.penOnPage260.1	urn:cite:botcar:sloane.260
urn:cite:botcar:catesbyLabels.penOnPage391.1	urn:cite:botcar:sloane.391
urn:cite:botcar:catesbyLabels.penOnPage331.1	urn:cite:botcar:sloane.331
urn:cite:botcar:catesbyLabels.penOnPage72.1	urn:cite:botcar:sloane.72
urn:cite:botcar:catesbyLabels.penOnPage76.1	urn:cite:botcar:sloane.76
urn:cite:botcar:catesbyLabels.penOnPage137.1	urn:cite:botcar:sloane.137
urn:cite:botcar:catesbyLabels.penOnPage243.1	urn:cite:botcar:sloane.243
urn:cite:botcar:catesbyLabels.penOnPage127.1	urn:cite:botcar:sloane.127
urn:cite:botcar:catesbyLabels.penOnPage188.1	urn:cite:botcar:sloane.188
urn:cite:botcar:catesbyLabels.penOnPage194.1	urn:cite:botcar:sloane.194
urn:cite:botcar:catesbyLabels.penOnPage431.1	urn:cite:botcar:sloane.431
urn:cite:botcar:catesbyLabels.penOnPage262.1	urn:cite:botcar:sloane.262
urn:cite:botcar:catesbyLabels.penOnPage389.1	urn:cite:botcar:sloane.389
urn:cite:botcar:catesbyLabels.penOnPage68.1	urn:cite:botcar:sloane.68
urn:cite:botcar:catesbyLabels.penOnPage48.1	urn:cite:botcar:sloane.48
urn:cite:botcar:catesbyLabels.penOnPage8.1	urn:cite:botcar:sloane.8
urn:cite:botcar:catesbyLabels.penOnPage50.1	urn:cite:botcar:sloane.50
urn:cite:botcar:catesbyLabels.penOnPage182.1	urn:cite:botcar:sloane.182
urn:cite:botcar:catesbyLabels.penOnPage257.1	urn:cite:botcar:sloane.257
urn:cite:botcar:catesbyLabels.penOnPage118.1	urn:cite:botcar:sloane.118
urn:cite:botcar:catesbyLabels.penOnPage306.1	urn:cite:botcar:sloane.306
urn:cite:botcar:catesbyLabels.penOnPage82.1	urn:cite:botcar:sloane.82
urn:cite:botcar:catesbyLabels.penOnPage108.1	urn:cite:botcar:sloane.108
urn:cite:botcar:catesbyLabels.penOnPage88.1	urn:cite:botcar:sloane.88
urn:cite:botcar:catesbyLabels.penOnPage209.1	urn:cite:botcar:sloane.209
urn:cite:botcar:catesbyLabels.penOnPage170.1	urn:cite:botcar:sloane.170
urn:cite:botcar:catesbyLabels.penOnPage74.1	urn:cite:botcar:sloane.74
urn:cite:botcar:catesbyLabels.penOnPage179.1	urn:cite:botcar:sloane.179
urn:cite:botcar:catesbyLabels.penOnPage203.1	urn:cite:botcar:sloane.203
urn:cite:botcar:catesbyLabels.penOnPage204.1	urn:cite:botcar:sloane.204
urn:cite:botcar:catesbyLabels.penOnPage58.1	urn:cite:botcar:sloane.58
urn:cite:botcar:catesbyLabels.penOnPage140.1	urn:cite:botcar:sloane.140
urn:cite:botcar:catesbyLabels.penOnPage129.1	urn:cite:botcar:sloane.129
urn:cite:botcar:catesbyLabels.penOnPage404.1	urn:cite:botcar:sloane.404
urn:cite:botcar:catesbyLabels.penOnPage67.1	urn:cite:botcar:sloane.67
urn:cite:botcar:catesbyLabels.penOnPage325.1	urn:cite:botcar:sloane.325
urn:cite:botcar:catesbyLabels.penOnPage93.1	urn:cite:botcar:sloane.93
urn:cite:botcar:catesbyLabels.penOnPage314.1	urn:cite:botcar:sloane.314
urn:cite:botcar:catesbyLabels.penOnPage387.1	urn:cite:botcar:sloane.387
urn:cite:botcar:catesbyLabels.penOnPage398.1	urn:cite:botcar:sloane.398
urn:cite:botcar:catesbyLabels.penOnPage56.1	urn:cite:botcar:sloane.56
urn:cite:botcar:catesbyLabels.penOnPage338.1	urn:cite:botcar:sloane.338
urn:cite:botcar:catesbyLabels.penOnPage350.1	urn:cite:botcar:sloane.350
urn:cite:botcar:catesbyLabels.penOnPage139.1	urn:cite:botcar:sloane.139
urn:cite:botcar:catesbyLabels.penOnPage304.1	urn:cite:botcar:sloane.304
urn:cite:botcar:catesbyLabels.penOnPage26.1	urn:cite:botcar:sloane.26
urn:cite:botcar:catesbyLabels.penOnPage249.1	urn:cite:botcar:sloane.249
urn:cite:botcar:catesbyLabels.penOnPage411.1	urn:cite:botcar:sloane.411
urn:cite:botcar:catesbyLabels.penOnPage35.1	urn:cite:botcar:sloane.35
urn:cite:botcar:catesbyLabels.penOnPage151.1	urn:cite:botcar:sloane.151
urn:cite:botcar:catesbyLabels.penOnPage114.1	urn:cite:botcar:sloane.114
urn:cite:botcar:catesbyLabels.penOnPage255.1	urn:cite:botcar:sloane.255
urn:cite:botcar:catesbyLabels.penOnPage32.1	urn:cite:botcar:sloane.32
urn:cite:botcar:catesbyLabels.penOnPage328.1	urn:cite:botcar:sloane.328
urn:cite:botcar:catesbyLabels.penOnPage225.1	urn:cite:botcar:sloane.225
urn:cite:botcar:catesbyLabels.penOnPage405.1	urn:cite:botcar:sloane.405
urn:cite:botcar:catesbyLabels.penOnPage28.1	urn:cite:botcar:sloane.28
urn:cite:botcar:catesbyLabels.penOnPage413.1	urn:cite:botcar:sloane.413
urn:cite:botcar:catesbyLabels.penOnPage364.1	urn:cite:botcar:sloane.364
urn:cite:botcar:catesbyLabels.penOnPage141.1	urn:cite:botcar:sloane.141
urn:cite:botcar:catesbyLabels.penOnPage202.1	urn:cite:botcar:sloane.202
urn:cite:botcar:catesbyLabels.penOnPage18.1	urn:cite:botcar:sloane.18
urn:cite:botcar:catesbyLabels.penOnPage335.1	urn:cite:botcar:sloane.335
urn:cite:botcar:catesbyLabels.penOnPage299.1	urn:cite:botcar:sloane.299
urn:cite:botcar:catesbyLabels.penOnPage161.1	urn:cite:botcar:sloane.161
urn:cite:botcar:catesbyLabels.penOnPage259.1	urn:cite:botcar:sloane.259
urn:cite:botcar:catesbyLabels.penOnPage125.1	urn:cite:botcar:sloane.125
urn:cite:botcar:catesbyLabels.penOnPage1.1	urn:cite:botcar:sloane.1
urn:cite:botcar:catesbyLabels.penOnPage336.1	urn:cite:botcar:sloane.336
urn:cite:botcar:catesbyLabels.penOnPage347.1	urn:cite:botcar:sloane.347
urn:cite:botcar:catesbyLabels.penOnPage153.1	urn:cite:botcar:sloane.153
urn:cite:botcar:catesbyLabels.penOnPage53.1	urn:cite:botcar:sloane.53
urn:cite:botcar:catesbyLabels.penOnPage371.1	urn:cite:botcar:sloane.371
urn:cite:botcar:catesbyLabels.penOnPage396.1	urn:cite:botcar:sloane.396
urn:cite:botcar:catesbyLabels.penOnPage119.1	urn:cite:botcar:sloane.119
urn:cite:botcar:catesbyLabels.penOnPage376.1	urn:cite:botcar:sloane.376
urn:cite:botcar:catesbyLabels.penOnPage222.1	urn:cite:botcar:sloane.222
urn:cite:botcar:catesbyLabels.penOnPage150.1	urn:cite:botcar:sloane.150
urn:cite:botcar:catesbyLabels.penOnPage242.1	urn:cite:botcar:sloane.242
urn:cite:botcar:catesbyLabels.penOnPage166.1	urn:cite:botcar:sloane.166
urn:cite:botcar:catesbyLabels.penOnPage164.1	urn:cite:botcar:sloane.164
urn:cite:botcar:catesbyLabels.penOnPage289.1	urn:cite:botcar:sloane.289
urn:cite:botcar:catesbyLabels.penOnPage324.1	urn:cite:botcar:sloane.324
urn:cite:botcar:catesbyLabels.penOnPage94.1	urn:cite:botcar:sloane.94
urn:cite:botcar:catesbyLabels.penOnPage21.1	urn:cite:botcar:sloane.21
urn:cite:botcar:catesbyLabels.penOnPage316.1	urn:cite:botcar:sloane.316
urn:cite:botcar:catesbyLabels.penOnPage65.1	urn:cite:botcar:sloane.65
urn:cite:botcar:catesbyLabels.penOnPage198.1	urn:cite:botcar:sloane.198
urn:cite:botcar:catesbyLabels.penOnPage420.1	urn:cite:botcar:sloane.420
urn:cite:botcar:catesbyLabels.penOnPage239.1	urn:cite:botcar:sloane.239
urn:cite:botcar:catesbyLabels.penOnPage55.1	urn:cite:botcar:sloane.55
urn:cite:botcar:catesbyLabels.penOnPage268.1	urn:cite:botcar:sloane.268
urn:cite:botcar:catesbyLabels.penOnPage422.1	urn:cite:botcar:sloane.422
urn:cite:botcar:catesbyLabels.penOnPage175.1	urn:cite:botcar:sloane.175
urn:cite:botcar:catesbyLabels.penOnPage428.1	urn:cite:botcar:sloane.428
urn:cite:botcar:catesbyLabels.penOnPage216.1	urn:cite:botcar:sloane.216
urn:cite:botcar:catesbyLabels.penOnPage220.1	urn:cite:botcar:sloane.220
urn:cite:botcar:catesbyLabels.penOnPage217.1	urn:cite:botcar:sloane.217
urn:cite:botcar:catesbyLabels.penOnPage379.1	urn:cite:botcar:sloane.379
urn:cite:botcar:catesbyLabels.penOnPage9.1	urn:cite:botcar:sloane.9
urn:cite:botcar:catesbyLabels.penOnPage17.1	urn:cite:botcar:sloane.17
urn:cite:botcar:catesbyLabels.penOnPage146.1	urn:cite:botcar:sloane.146
urn:cite:botcar:catesbyLabels.penOnPage406.1	urn:cite:botcar:sloane.406
urn:cite:botcar:catesbyLabels.penOnPage16.1	urn:cite:botcar:sloane.16
urn:cite:botcar:catesbyLabels.penOnPage322.1	urn:cite:botcar:sloane.322
urn:cite:botcar:catesbyLabels.penOnPage320.1	urn:cite:botcar:sloane.320
urn:cite:botcar:catesbyLabels.penOnPage86.1	urn:cite:botcar:sloane.86
urn:cite:botcar:catesbyLabels.penOnPage360.1	urn:cite:botcar:sloane.360
urn:cite:botcar:catesbyLabels.penOnPage321.1	urn:cite:botcar:sloane.321
urn:cite:botcar:catesbyLabels.penOnPage39.1	urn:cite:botcar:sloane.39
urn:cite:botcar:catesbyLabels.penOnPage300.1	urn:cite:botcar:sloane.300
urn:cite:botcar:catesbyLabels.penOnPage195.1	urn:cite:botcar:sloane.195
urn:cite:botcar:catesbyLabels.penOnPage432.1	urn:cite:botcar:sloane.432
urn:cite:botcar:catesbyLabels.penOnPage408.1	urn:cite:botcar:sloane.408
urn:cite:botcar:catesbyLabels.penOnPage279.1	urn:cite:botcar:sloane.279
urn:cite:botcar:catesbyLabels.penOnPage121.1	urn:cite:botcar:sloane.121
urn:cite:botcar:catesbyLabels.penOnPage215.1	urn:cite:botcar:sloane.215
urn:cite:botcar:catesbyLabels.penOnPage174.1	urn:cite:botcar:sloane.174
urn:cite:botcar:catesbyLabels.penOnPage73.1	urn:cite:botcar:sloane.73
urn:cite:botcar:catesbyLabels.penOnPage412.1	urn:cite:botcar:sloane.412
urn:cite:botcar:catesbyLabels.penOnPage342.1	urn:cite:botcar:sloane.342
urn:cite:botcar:catesbyLabels.penOnPage383.1	urn:cite:botcar:sloane.383
urn:cite:botcar:catesbyLabels.penOnPage345.1	urn:cite:botcar:sloane.345
urn:cite:botcar:catesbyLabels.penOnPage49.1	urn:cite:botcar:sloane.49
urn:cite:botcar:catesbyLabels.penOnPage218.1	urn:cite:botcar:sloane.218
urn:cite:botcar:catesbyLabels.penOnPage4.1	urn:cite:botcar:sloane.4
urn:cite:botcar:catesbyLabels.penOnPage282.1	urn:cite:botcar:sloane.282
urn:cite:botcar:catesbyLabels.penOnPage156.1	urn:cite:botcar:sloane.156
urn:cite:botcar:catesbyLabels.penOnPage104.1	urn:cite:botcar:sloane.104
urn:cite:botcar:catesbyLabels.penOnPage41.1	urn:cite:botcar:sloane.41
urn:cite:botcar:catesbyLabels.pencilOnPage273.1	urn:cite:botcar:sloane.273
urn:cite:botcar:catesbyLabels.pencilOnPage331.1	urn:cite:botcar:sloane.331
urn:cite:botcar:catesbyLabels.pencilOnPage117.1	urn:cite:botcar:sloane.117
urn:cite:botcar:catesbyLabels.pencilOnPage222.1	urn:cite:botcar:sloane.222
urn:cite:botcar:catesbyLabels.pencilOnPage286.1	urn:cite:botcar:sloane.286
urn:cite:botcar:catesbyLabels.pencilOnPage287.1	urn:cite:botcar:sloane.287
urn:cite:botcar:catesbyLabels.pencilOnPage87.1	urn:cite:botcar:sloane.87
urn:cite:botcar:catesbyLabels.pencilOnPage292.1	urn:cite:botcar:sloane.292
urn:cite:botcar:catesbyLabels.pencilOnPage324.1	urn:cite:botcar:sloane.324
urn:cite:botcar:catesbyLabels.pencilOnPage431.1	urn:cite:botcar:sloane.431
