labelURN	imageURN
urn:cite:botcar:catesbyLabels.penLabel343.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477
urn:cite:botcar:catesbyLabels.penLabel220.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408
urn:cite:botcar:catesbyLabels.penLabel418.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455
urn:cite:botcar:catesbyLabels.penLabel256.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478
urn:cite:botcar:catesbyLabels.penLabel309.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440
urn:cite:botcar:catesbyLabels.penLabel69.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496
urn:cite:botcar:catesbyLabels.penLabel351.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458
urn:cite:botcar:catesbyLabels.penLabel331.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486
urn:cite:botcar:catesbyLabels.penLabel265.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480
urn:cite:botcar:catesbyLabels.penLabel356.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490
urn:cite:botcar:catesbyLabels.penLabel407.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489
urn:cite:botcar:catesbyLabels.penLabel30.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_052_0467
urn:cite:botcar:catesbyLabels.penLabel147.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475
urn:cite:botcar:catesbyLabels.penLabel182.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608
urn:cite:botcar:catesbyLabels.penLabel63.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494
urn:cite:botcar:catesbyLabels.penLabel377.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_077_0582
urn:cite:botcar:catesbyLabels.penLabel179.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619
urn:cite:botcar:catesbyLabels.penLabel184.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468
urn:cite:botcar:catesbyLabels.penLabel16.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_095_0409
urn:cite:botcar:catesbyLabels.penLabel375.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_037_0618
urn:cite:botcar:catesbyLabels.penLabel218.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_056_0602
urn:cite:botcar:catesbyLabels.penLabel336.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_103_0552
urn:cite:botcar:catesbyLabels.penLabel270.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481
urn:cite:botcar:catesbyLabels.penLabel13.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437
urn:cite:botcar:catesbyLabels.penLabel23.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472
urn:cite:botcar:catesbyLabels.penLabel298.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457
urn:cite:botcar:catesbyLabels.penLabel11.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464
urn:cite:botcar:catesbyLabels.penLabel171.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470
urn:cite:botcar:catesbyLabels.penLabel74.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485
urn:cite:botcar:catesbyLabels.penLabel43.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484
urn:cite:botcar:catesbyLabels.penLabel72.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490
urn:cite:botcar:catesbyLabels.penLabel253.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454
urn:cite:botcar:catesbyLabels.penLabel414.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476
urn:cite:botcar:catesbyLabels.penLabel87.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492
urn:cite:botcar:catesbyLabels.penLabel266.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486
urn:cite:botcar:catesbyLabels.penLabel101.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494
urn:cite:botcar:catesbyLabels.penLabel185.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502
