urn:cite:botcar:genus.Commelina	urn:cite:botcar:family.Commelinaceae
urn:cite:botcar:genus.Coreopsis	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Cornus	urn:cite:botcar:family.Cornaceae
urn:cite:botcar:genus.Ctenium	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Cyperus	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Cyrilla	urn:cite:botcar:family.Cyrillaceae
urn:cite:botcar:genus.Dalea	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Delphinium	urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Dioscorea	urn:cite:botcar:family.Dioscoreaceae
urn:cite:botcar:genus.Diospyros	urn:cite:botcar:family.Ebenaceae
urn:cite:botcar:genus.Dyschoriste	urn:cite:botcar:family.Acanthaceae
urn:cite:botcar:genus.Echinochloa	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Eleocharis	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Eleusine	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Endodeca	urn:cite:botcar:family.Aristolochiaceae
urn:cite:botcar:genus.Epifagus	urn:cite:botcar:family.Orobanchaceae
urn:cite:botcar:genus.Erigeron	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eriocaulon	urn:cite:botcar:family.Eriocaulaceae
urn:cite:botcar:genus.Eriogonum	urn:cite:botcar:family.Polygonaceae
urn:cite:botcar:genus.Eryngium	urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Eupatorium	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Euthamia	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Eutrochium	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Fraxinus	urn:cite:botcar:family.Oleaceae
urn:cite:botcar:genus.Fuirena	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Gaillardia	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Galactia	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Gamochaeta	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Gentiana	urn:cite:botcar:family.Gentianaceae
