folioURN,Siglum,Sequence,RV,MS,CodexURN,defaultImage
urn:cite:botcar:CatesbyHS212.019,CatesbyHS212,22,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_019_0491-corr
urn:cite:botcar:CatesbyHS212.020,CatesbyHS212,23,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490-corr
urn:cite:botcar:CatesbyHS212.021,CatesbyHS212,24,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_021_0485-corr
urn:cite:botcar:CatesbyHS212.022,CatesbyHS212,25,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484-corr
urn:cite:botcar:CatesbyHS212.023,CatesbyHS212,26,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489-corr
urn:cite:botcar:CatesbyHS212.025,CatesbyHS212,27,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_025_0488-corr
urn:cite:botcar:CatesbyHS212.026,CatesbyHS212,28,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487-corr
urn:cite:botcar:CatesbyHS212.027,CatesbyHS212,29,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483-corr
urn:cite:botcar:CatesbyHS212.028,CatesbyHS212,30,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_028_0482-corr
urn:cite:botcar:CatesbyHS212.029,CatesbyHS212,31,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_029_0481-corr
urn:cite:botcar:CatesbyHS212.030,CatesbyHS212,32,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486-corr
urn:cite:botcar:CatesbyHS212.031,CatesbyHS212,33,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474-corr
urn:cite:botcar:CatesbyHS212.032,CatesbyHS212,34,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476-corr
urn:cite:botcar:CatesbyHS212.033,CatesbyHS212,35,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472-corr
urn:cite:botcar:CatesbyHS212.034,CatesbyHS212,36,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477-corr
urn:cite:botcar:CatesbyHS212.035,CatesbyHS212,37,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480-corr
urn:cite:botcar:CatesbyHS212.036,CatesbyHS212,38,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475-corr
urn:cite:botcar:CatesbyHS212.037,CatesbyHS212,39,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478-corr
urn:cite:botcar:CatesbyHS212.038,CatesbyHS212,40,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_038_0473-corr
urn:cite:botcar:CatesbyHS212.039,CatesbyHS212,41,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479-corr
urn:cite:botcar:CatesbyHS212.040,CatesbyHS212,42,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457-corr
urn:cite:botcar:CatesbyHS212.041,CatesbyHS212,43,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456-corr
urn:cite:botcar:CatesbyHS212.042,CatesbyHS212,44,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455-corr
urn:cite:botcar:CatesbyHS212.043,CatesbyHS212,45,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464-corr
urn:cite:botcar:CatesbyHS212.044,CatesbyHS212,46,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463-corr
urn:cite:botcar:CatesbyHS212.045,CatesbyHS212,47,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454-corr
urn:cite:botcar:CatesbyHS212.046,CatesbyHS212,48,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470-corr
urn:cite:botcar:CatesbyHS212.047,CatesbyHS212,49,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_047_0470-corr
urn:cite:botcar:CatesbyHS212.048,CatesbyHS212,50,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462-corr
urn:cite:botcar:CatesbyHS212.049,CatesbyHS212,51,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_049_0461-corr
urn:cite:botcar:CatesbyHS212.050,CatesbyHS212,52,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469-corr
urn:cite:botcar:CatesbyHS212.051,CatesbyHS212,53,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468-corr
urn:cite:botcar:CatesbyHS212.052,CatesbyHS212,54,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_052_0467-corr
urn:cite:botcar:CatesbyHS212.053,CatesbyHS212,55,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458-corr
urn:cite:botcar:CatesbyHS212.054,CatesbyHS212,56,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459-corr
urn:cite:botcar:CatesbyHS212.055,CatesbyHS212,57,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_055_0465-corr
urn:cite:botcar:CatesbyHS212.056,CatesbyHS212,58,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_056_0466-corr
urn:cite:botcar:CatesbyHS212.057,CatesbyHS212,59,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437-corr
urn:cite:botcar:CatesbyHS212.058a,CatesbyHS212,60,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,-corr
urn:cite:botcar:CatesbyHS212.058b,CatesbyHS212,61,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,-corr
urn:cite:botcar:CatesbyHS212.059,CatesbyHS212,62,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_059_0446-corr
urn:cite:botcar:CatesbyHS212.060,CatesbyHS212,63,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445-corr
urn:cite:botcar:CatesbyHS212.061,CatesbyHS212,64,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444-corr
urn:cite:botcar:CatesbyHS212.062,CatesbyHS212,65,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452-corr
urn:cite:botcar:CatesbyHS212.063,CatesbyHS212,66,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451-corr
urn:cite:botcar:CatesbyHS212.064,CatesbyHS212,67,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_064_0442-corr
urn:cite:botcar:CatesbyHS212.065,CatesbyHS212,68,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_065_0441-corr
urn:cite:botcar:CatesbyHS212.066,CatesbyHS212,69,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440-corr
urn:cite:botcar:CatesbyHS212.067,CatesbyHS212,70,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_067_0450-corr
urn:cite:botcar:CatesbyHS212.068,CatesbyHS212,71,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_068_0449-corr
urn:cite:botcar:CatesbyHS212.069,CatesbyHS212,72,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_069_0438-corr
urn:cite:botcar:CatesbyHS212.070,CatesbyHS212,73,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_070_0443-corr
urn:cite:botcar:CatesbyHS212.071,CatesbyHS212,74,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_071_0447-corr
urn:cite:botcar:CatesbyHS212.072,CatesbyHS212,75,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_072_0428-corr
urn:cite:botcar:CatesbyHS212.073,CatesbyHS212,76,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_073_0435-corr
urn:cite:botcar:CatesbyHS212.074,CatesbyHS212,77,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434-corr
urn:cite:botcar:CatesbyHS212.075,CatesbyHS212,78,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427-corr
urn:cite:botcar:CatesbyHS212.076,CatesbyHS212,79,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_076_0426-corr
urn:cite:botcar:CatesbyHS212.077,CatesbyHS212,80,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_077_0425-corr
urn:cite:botcar:CatesbyHS212.078,CatesbyHS212,81,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_078_0433-corr
