familyURN,label,familyName,tsn
urn:cite:botcar:family.Fabaceae,"*Fabaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Fabaceae,tsn:500059
urn:cite:botcar:family.Fagaceae,"*Fagaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Fagaceae,tsn:19275
urn:cite:botcar:family.Gentianaceae,"*Gentianaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Gentianaceae,tsn:29962
urn:cite:botcar:family.Haemodoraceae,"*Haemodoraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Haemodoraceae,tsn:43325
urn:cite:botcar:family.Hamamelidaceae,"*Hamamelidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Hamamelidaceae,tsn:19025
urn:cite:botcar:family.Hydrangeaceae,"*Hydrangeaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Hydrangeaceae,tsn:24093
urn:cite:botcar:family.Hypericaceae,"*Hypericaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Hypericaceae,tsn:822429
urn:cite:botcar:family.Iteaceae,"*Iteaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Iteaceae,tsn:895196
urn:cite:botcar:family.Juglandaceae,"*Juglandaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Juglandaceae,tsn:19222
urn:cite:botcar:family.Juncaceae,"*Juncaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Juncaceae,tsn:39219
urn:cite:botcar:family.Lamiaceae,"*Lamiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Lamiaceae,tsn:32251
urn:cite:botcar:family.Lauraceae,"*Lauraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Lauraceae,tsn:18145
urn:cite:botcar:family.Liliaceae,"*Liliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Liliaceae,tsn:42633
urn:cite:botcar:family.Loganiaceae,"*Loganiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Loganiaceae,tsn:29911
