familyURN	label	familyName	tsn
urn:cite:botcar:family.Haemodoraceae	*Haemodoraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Haemodoraceae	43325
urn:cite:botcar:family.Hamamelidaceae	*Hamamelidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Hamamelidaceae	19025
urn:cite:botcar:family.Hydrangeaceae	*Hydrangeaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Hydrangeaceae	24093
urn:cite:botcar:family.Hypericaceae	*Hypericaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Hypericaceae	822429
urn:cite:botcar:family.Iteaceae	*Iteaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Iteaceae	895196
urn:cite:botcar:family.Juglandaceae	*Juglandaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Juglandaceae	19222
urn:cite:botcar:family.Juncaceae	*Juncaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Juncaceae	39219
urn:cite:botcar:family.Lamiaceae	*Lamiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Lamiaceae	32251
urn:cite:botcar:family.Lauraceae	*Lauraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Lauraceae	18145
urn:cite:botcar:family.Liliaceae	*Liliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Liliaceae	42633
urn:cite:botcar:family.Loganiaceae	*Loganiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Loganiaceae	29911
urn:cite:botcar:family.Lycopodiaceae	*Lycopodiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Lycopodiaceae	17012
