speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Baptisiabracteata,tsn:26470,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Baptisia,"Baptisia bracteata Elliott","**Baptisia bracteata Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Baptisiaperfoliata,tsn:26482,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Baptisia,"Baptisia perfoliata (L.) R. Br.","**Baptisia perfoliata (L.) R. Br.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Baptisiatinctoria,tsn:26489,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Baptisia,"Baptisia tinctoria (L.) Ventenat","**Baptisia tinctoria (L.) Ventenat**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Berchemiascandens,tsn:28447,urn:cite:botcar:family.Rhamnaceae,urn:cite:botcar:genus.Berchemia,"Berchemia scandens (Hill) K. Koch","**Berchemia scandens (Hill) K. Koch**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Berlandierapumila,tsn:36833,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Berlandiera,"Berlandiera pumila (Michx) Nutt.","**Berlandiera pumila (Michx) Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Bidensfrondosa,tsn:35707,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Bidens,"Bidens frondosa L.","**Bidens frondosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Bidensfrondosa,tsn:35707,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Bidens,"Bidens frondosa L.","**Bidens frondosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Bigelowianudata,tsn:36837,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Bigelowia,"Bigelowia nudata (Michx.) DC.","**Bigelowia nudata (Michx.) DC.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Brunnichiaovata,tsn:501079,urn:cite:botcar:family.Polygonaceae,urn:cite:botcar:genus.Brunnichia,"Brunnichia ovata (Walter) Shinners","**Brunnichia ovata (Walter) Shinners**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Calycanthusfloridus,tsn:18142,urn:cite:botcar:family.Calycanthaceae,urn:cite:botcar:genus.Calycanthus,"Calycanthus floridus L.","**Calycanthus floridus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Calystegiacatesbeiana,tsn:845106,urn:cite:botcar:family.Convolvulaceae,urn:cite:botcar:genus.Calystegia,"Calystegia catesbeiana Pursh","**Calystegia catesbeiana Pursh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Carexglaucescens,tsn:39396,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Carex,"Carex glaucescens Elliott","**Carex glaucescens Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Carexglaucescens,tsn:39396,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Carex,"Carex glaucescens Elliott","**Carex glaucescens Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Carphephoruscarnosus,tsn:501300,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Carphephorus,"Carphephorus carnosus (Small) C.W. James","**Carphephorus carnosus (Small) C.W. James**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Carpinuscaroliniana,tsn:19504,urn:cite:botcar:family.Betulaceae,urn:cite:botcar:genus.Carpinus,"Carpinus caroliniana Walter","**Carpinus caroliniana Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Caryatomentosa,tsn:19247,urn:cite:botcar:family.Juglandaceae,urn:cite:botcar:genus.Carya,"Carya tomentosa (Lamarck ex Poiret) Nuttall","**Carya tomentosa (Lamarck ex Poiret) Nuttall**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Castaneapumila,tsn:19457,urn:cite:botcar:family.Fagaceae,urn:cite:botcar:genus.Castanea,"Castanea pumila (L.) Mill","**Castanea pumila (L.) Mill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Catalpabignonioides,tsn:34313,urn:cite:botcar:family.Bignoniaceae,urn:cite:botcar:genus.Catalpa,"Catalpa bignonioides Walter","**Catalpa bignonioides Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Ceanothusamericanus,tsn:28454,urn:cite:botcar:family.Rhamnaceae,urn:cite:botcar:genus.Ceanothus,"Ceanothus americanus L.","**Ceanothus americanus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cephalanthusoccidentalis,tsn:34786,urn:cite:botcar:family.Rubiaceae,urn:cite:botcar:genus.Cephalanthus,"Cephalanthus occidentalis L.","**Cephalanthus occidentalis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Ceratiolaericoides,tsn:23747,urn:cite:botcar:family.Ericaceae,urn:cite:botcar:genus.Ceratiola,"Ceratiola ericoides Michx.","**Ceratiola ericoides Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cerciscanadensis,tsn:25782,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Cercis,"Cercis canadensis L.","**Cercis canadensis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Chamaecristanictitans,tsn:501388,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Chamaecrista,"Chamaecrista nictitans (Michx.) Greene","**Chamaecrista nictitans (Michx.) Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Chamaesycesp,"tsn:""to be added""",urn:cite:botcar:family.Euphorbiaceae,urn:cite:botcar:genus.Chamaesyce,"Chamaesyce sp.","**Chamaesyce sp.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Chaptaliatomentosa,tsn:37026,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Chaptalia,"Chaptalia tomentosa Vent.","**Chaptalia tomentosa Vent.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Chasmanthiumlatifolium,tsn:41547,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Chasmanthium,"Chasmanthium latifolium (Michaux) Yates",
urn:cite:botcar:species.Chrysogonumvirginianum,tsn:37045,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Chrysogonum,"Chrysogonum virginianum L.","**Chrysogonum virginianum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Chrysopsisgossypina,tsn:501510,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Chrysopsis,"Chrysopsis gossypina (Michaux) Elliott","**Chrysopsis gossypina (Michaux) Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Chrysopsismariana,tsn:202495,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Chrysopsis,"Chrysopsis mariana (L.) Elliott","**Chrysopsis mariana (L.) Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cicutamaculata,tsn:29456,urn:cite:botcar:family.Apiaceae,urn:cite:botcar:genus.Cicuta,"Cicuta maculata L.","**Cicuta maculata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Clematiscrispa,tsn:18694,urn:cite:botcar:family.Ranunculaceae,urn:cite:botcar:genus.Clematis,"Clematis crispa L.","**Clematis crispa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Clematisviorna,tsn:18715,urn:cite:botcar:family.Ranunculaceae,urn:cite:botcar:genus.Clematis,"Clematis viorna L.","**Clematis viorna L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Clethratomentosa,tsn:511154,urn:cite:botcar:family.Clethraceae,urn:cite:botcar:genus.Clethra,"Clethra tomentosa Lamarck","**Clethra tomentosa Lamarck**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cnidoscolusstimulosus,tsn:28256,urn:cite:botcar:family.Euphorbiaceae,urn:cite:botcar:genus.Cnidoscolus,"Cnidoscolus stimulosus (Michaux) Engelmann & A. Gray","**Cnidoscolus stimulosus (Michaux) Engelmann & A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cocculuscarolinus,tsn:18864,urn:cite:botcar:family.Menispermaceae,urn:cite:botcar:genus.Cocculus,"Cocculus carolinus (L.) DC., A.P. deCandolle","**Cocculus carolinus (L.) DC., A.P. deCandolle**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Coelorachisrugosa,tsn:41582,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Coelorachis,"Coelorachis rugosa (Nutt.) Nash","**Coelorachis rugosa (Nutt.) Nash**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Collinsoniacanadensis,tsn:32474,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Collinsonia,"Collinsonia canadensis L.","**Collinsonia canadensis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Collinsoniatuberosa,tsn:32475,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Collinsonia,"Collinsonia tuberosa Michx.","**Collinsonia tuberosa Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Commelinaerecta,tsn:39132,urn:cite:botcar:family.Commelinaceae,urn:cite:botcar:genus.Commelina,"Commelina erecta L.","**Commelina erecta L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Coreopsisdelphiniifolia,tsn:37129,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Coreopsis,"Coreopsis delphiniifolia Lam.","**Coreopsis delphiniifolia Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Coreopsislanceolata,tsn:37139,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Coreopsis,"Coreopsis lanceolata L.","**Coreopsis lanceolata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Coreopsismajor,tsn:37143,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Coreopsis,"Coreopsis major Walter var. major","**Coreopsis major Walter var. major**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cornusasperifolia,tsn:27815,urn:cite:botcar:family.Cornaceae,urn:cite:botcar:genus.Cornus,"Cornus asperifolia Michx.","**Cornus asperifolia Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cornusflorida,tsn:27806,urn:cite:botcar:family.Cornaceae,urn:cite:botcar:genus.Cornus,"Cornus florida L.","**Cornus florida L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cteniumaromaticum,tsn:41607,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Ctenium,"Ctenium aromaticum (Walter) Alph. Wood","**Ctenium aromaticum (Walter) Alph. Wood**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cyperusechinatus,tsn:501920,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Cyperus,"Cyperus echinatus (L.) Wood","**Cyperus echinatus (L.) Wood**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cyperusvirens,tsn:39975,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Cyperus,"Cyperus virens Michaux","**Cyperus virens Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Cyrillaracemiflora,tsn:23449,urn:cite:botcar:family.Cyrillaceae,urn:cite:botcar:genus.Cyrilla,"Cyrilla racemiflora L.","**Cyrilla racemiflora L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Daleapinnata,tsn:26637,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Dalea,"Dalea pinnata (J.F. Gmel.) Barneby","**Dalea pinnata (J.F. Gmel.) Barneby**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Delphiniumcarolinianum,tsn:18547,urn:cite:botcar:family.Ranunculaceae,urn:cite:botcar:genus.Delphinium,"Delphinium carolinianum Walter","**Delphinium carolinianum Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Dioscoreavillosa,tsn:43367,urn:cite:botcar:family.Dioscoreaceae,urn:cite:botcar:genus.Dioscorea,"Dioscorea villosa L.","**Dioscorea villosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Diospyrosvirginiana,tsn:23855,urn:cite:botcar:family.Ebenaceae,urn:cite:botcar:genus.Diospyros,"Diospyros virginiana L.","**Diospyros virginiana L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Dyschoristeoblongifolia,tsn:502194,urn:cite:botcar:family.Acanthaceae,urn:cite:botcar:genus.Dyschoriste,"Dyschoriste oblongifolia (Michx.) Kuntze","**Dyschoriste oblongifolia (Michx.) Kuntze**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eleusineindica,tsn:41692,urn:cite:botcar:family.Poaceae,urn:cite:botcar:genus.Eleusine,"Eleusine indica (L.) Gaertn.","**Eleusine indica (L.) Gaertn.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Endodecaserpentaria,"tsn:""to be added""",urn:cite:botcar:family.Aristolochiaceae,urn:cite:botcar:genus.Endodeca,"Endodeca serpentaria (Linnaeus) Rafinesque","**Endodeca serpentaria (Linnaeus) Rafinesque**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Epifagusvirginiana,tsn:34276,urn:cite:botcar:family.Orobanchaceae,urn:cite:botcar:genus.Epifagus,"Epifagus virginiana (Linnaeus) W. Barton","**Epifagus virginiana (Linnaeus) W. Barton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Erigeronquercifolius,tsn:35940,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Erigeron,"Erigeron quercifolius Lam.","**Erigeron quercifolius Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Erigeronstrigosus,tsn:35951,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Erigeron,"Erigeron strigosus Muhlenberg ex Willdenow","**Erigeron strigosus Muhlenberg ex Willdenow**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eriocaulondecangulare,tsn:39195,urn:cite:botcar:family.Eriocaulaceae,urn:cite:botcar:genus.Eriocaulon,"Eriocaulon decangulare L.","**Eriocaulon decangulare L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eriogonumtomentosum,tsn:21260,urn:cite:botcar:family.Polygonaceae,urn:cite:botcar:genus.Eriogonum,"Eriogonum tomentosum","**Eriogonum tomentosum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eryngiumintegrifolium,tsn:29493,urn:cite:botcar:family.Apiaceae,urn:cite:botcar:genus.Eryngium,"Eryngium integrifolium Walter","**Eryngium integrifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumcapillifolium,tsn:35978,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium capillifolium (Lamarck) Small","**Eupatorium capillifolium (Lamarck) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumcapillifolium,tsn:35978,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium capillifolium (Lamarck) Small","**Eupatorium capillifolium (Lamarck) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumcompositifolium,tsn:35985,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium compositifolium Walter","**Eupatorium compositifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumcompositifolium,tsn:35985,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium compositifolium Walter","**Eupatorium compositifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumleucolepis,tsn:35992,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium leucolepis (DC.) Torr. & A. Gray","**Eupatorium leucolepis (DC.) Torr. & A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumleucolepis,tsn:35992,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium leucolepis (DC.) Torr. & A. Gray","**Eupatorium leucolepis (DC.) Torr. & A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumperfoliatum,tsn:35980,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium perfoliatum L.","**Eupatorium perfoliatum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumperfoliatum,tsn:35980,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium perfoliatum L.","**Eupatorium perfoliatum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumpurpureum,tsn:502522,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium purpureum L. var. purpureum","**Eupatorium purpureum L. var. purpureum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumpurpureum,tsn:502522,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium purpureum L. var. purpureum","**Eupatorium purpureum L. var. purpureum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumserotinum,tsn:35981,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium serotinum Michx.","**Eupatorium serotinum Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eupatoriumserotinum,tsn:35981,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eupatorium,"Eupatorium serotinum Michx.","**Eupatorium serotinum Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Euthamiacaroliniana,tsn:513470,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Euthamia,"Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton","**Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Eutrochiumdubium,tsn:780331,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Eutrochium,"Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont","**Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Fraxinuspennsylvanica,tsn:32929,urn:cite:botcar:family.Oleaceae,urn:cite:botcar:genus.Fraxinus,"Fraxinus pennsylvanica Marsh.","**Fraxinus pennsylvanica Marsh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Fuirenabreviseta,tsn:40133,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Fuirena,"Fuirena breviseta (Coville) Coville","**Fuirena breviseta (Coville) Coville**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Fuirenasquarrosa,tsn:40132,urn:cite:botcar:family.Cyperaceae,urn:cite:botcar:genus.Fuirena,"Fuirena squarrosa Michaux","**Fuirena squarrosa Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Gaillardiaaestivalis,tsn:37396,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Gaillardia,"Gaillardia aestivalis (Walter) H. Rock var. aestivalis","**Gaillardia aestivalis (Walter) H. Rock var. aestivalis**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Galactiavolubilis,tsn:26703,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Galactia,"Galactia volubilis (L.) Britton","**Galactia volubilis (L.) Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Galactiavolubilis,tsn:26703,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Galactia,"Galactia volubilis (L.) Britton","**Galactia volubilis (L.) Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Gamochaetaantillana,tsn:780343,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Gamochaeta,"Gamochaeta antillana (Urban) Anderberg","**Gamochaeta antillana (Urban) Anderberg**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Gentianacatesbaei,tsn:29973,urn:cite:botcar:family.Gentianaceae,urn:cite:botcar:genus.Gentiana,"Gentiana catesbaei Walter","**Gentiana catesbaei Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Geumcanadense,tsn:24645,urn:cite:botcar:family.Rosaceae,urn:cite:botcar:genus.Geum,"Geum canadense Jacq.","**Geum canadense Jacq.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Glandulariacanadensis,tsn:502784,urn:cite:botcar:family.Verbenaceae,urn:cite:botcar:genus.Glandularia,"Glandularia canadensis (L.) Nutt.","**Glandularia canadensis (L.) Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Gleditsiaaquatica,tsn:26712,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Gleditsia,"Gleditsia aquatica Marsh.","**Gleditsia aquatica Marsh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Gordonialasianthus,tsn:21386,urn:cite:botcar:family.Theaceae,urn:cite:botcar:genus.Gordonia,"Gordonia lasianthus (Linnaeus) Ellis","**Gordonia lasianthus (Linnaeus) Ellis**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Habenariarepens,tsn:43402,urn:cite:botcar:family.Orchidaceae,urn:cite:botcar:genus.Habenaria,"Habenaria repens Nutt.","**Habenaria repens Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hamamelisvirginiana,tsn:19033,urn:cite:botcar:family.Hamamelidaceae,urn:cite:botcar:genus.Hamamelis,"Hamamelis virginiana L.","**Hamamelis virginiana L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Heleniumflexuosum,tsn:36016,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Helenium,"Helenium flexuosum Raf.","**Helenium flexuosum Raf.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Helianthusangustifolius,tsn:502919,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Helianthus,"Helianthus angustifolius L.","**Helianthus angustifolius L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Helianthushirsutus,tsn:36646,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Helianthus,"Helianthus hirsutus","**Helianthus hirsutus**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Heliopsishelianthoides,tsn:37605,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Heliopsis,"Heliopsis helianthoides (L.) Sweet var. helianthoides","**Heliopsis helianthoides (L.) Sweet var. helianthoides**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hibiscusmoscheutos,tsn:21612,urn:cite:botcar:family.Malvaceae,urn:cite:botcar:genus.Hibiscus,"Hibiscus moscheutos L. ibiscus moscheutos L","**Hibiscus moscheutos L. ibiscus moscheutos L**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hydrangeaarborescens,tsn:24195,urn:cite:botcar:family.Hydrangeaceae,urn:cite:botcar:genus.Hydrangea,"Hydrangea arborescens L.","**Hydrangea arborescens L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hydrangearadiata,tsn:503097,urn:cite:botcar:family.Hydrangeaceae,urn:cite:botcar:genus.Hydrangea,"Hydrangea radiata Walter","**Hydrangea radiata Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hylodesmumglutinosum,"tsn:""to be added""",urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Hylodesmum,"Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill","**Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hypericumcrux,tsn:503132,urn:cite:botcar:family.Hypericaceae,urn:cite:botcar:genus.Hypericum,"Hypericum crux-andreae (L.) Crantz","**Hypericum crux-andreae (L.) Crantz**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hypericumwalteri,tsn:515023,urn:cite:botcar:family.Hypericaceae,urn:cite:botcar:genus.Hypericum,"Hypericum walteri J.G. Gmelin","**Hypericum walteri J.G. Gmelin**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Hyptisalata,tsn:32523,urn:cite:botcar:family.Lamiaceae,urn:cite:botcar:genus.Hyptis,"Hyptis alata (Raf.) Shinners","**Hyptis alata (Raf.) Shinners**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
