folioURN,Siglum,Sequence,RV,MS,CodexURN,defaultImage
urn:cite:botcar:CatesbyHS232.fc,CatesbyHS232,0,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.title,CatesbyHS232,1,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.toc,CatesbyHS232,2,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.001,CatesbyHS232,3,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.002,CatesbyHS232,4,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.003,CatesbyHS232,5,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.004,CatesbyHS232,6,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.005,CatesbyHS232,7,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.006,CatesbyHS232,8,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.007,CatesbyHS232,9,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.008,CatesbyHS232,10,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.009,CatesbyHS232,11,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.010,CatesbyHS232,12,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
urn:cite:botcar:CatesbyHS232.011,CatesbyHS232,13,recto,"Sloane Herbarium, H.S. 232: Mark Catesby, Carolina Plants, vol. 2",urn:cite:botcar:codex.CatesbyHS232,
