genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Bidens,Bidens,*Bidens*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35705,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Bigelowia,Bigelowia,*Bigelowia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36836,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Brunnichia,Brunnichia,*Brunnichia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:20996,urn:cite:botcar:family.Polygonaceae
urn:cite:botcar:genus.Calycanthus,Calycanthus,*Calycanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18139,urn:cite:botcar:family.Calycanthaceae
urn:cite:botcar:genus.Calystegia,Calystegia,*Calystegia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30649,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Carex,Carex,*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39369,urn:cite:botcar:family.Cyperaceae
