genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomoea,Ipomoea,*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30758,urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Ipomopsis,Ipomopsis,*Ipomopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:31191,urn:cite:botcar:family.Polemoniaceae
urn:cite:botcar:genus.Itea,Itea,*Itea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:24201,urn:cite:botcar:family.Iteaceae
urn:cite:botcar:genus.Juncus,Juncus,*Juncus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:39220,urn:cite:botcar:family.Juncaceae
urn:cite:botcar:genus.Kalmia,Kalmia,*Kalmia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23672,urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Kosteletzkya,Kosteletzkya,*Kosteletzkya*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21654,urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Lachnanthes,Lachnanthes,*Lachnanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43328,urn:cite:botcar:family.Haemodoraceae
urn:cite:botcar:genus.Lactuca,Lactuca,*Lactuca*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36594,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Lamiaceae,Lamiaceae,*Lamiaceae*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32251,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Lamiaceae,Lamiaceae,*Lamiaceae*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32251,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Laportea,Laportea,*Laportea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19126,urn:cite:botcar:family.Urticaceae
urn:cite:botcar:genus.Leptochloa,Leptochloa,*Leptochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41817,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Leptochloa,Leptochloa,*Leptochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41817,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Lespedeza,Lespedeza,*Lespedeza*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:25892,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Leucothoe,Leucothoe,*Leucothoe*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23547,urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Liatris,Liatris,*Liatris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:37906,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Lilium,Lilium,*Lilium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42722,urn:cite:botcar:family.Liliaceae
urn:cite:botcar:genus.Liquidambar,Liquidambar,*Liquidambar*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19026,urn:cite:botcar:family.Altingiaceae
urn:cite:botcar:genus.Liriodendron,Liriodendron,*Liriodendron*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18085,urn:cite:botcar:family.Magnoliaceae
urn:cite:botcar:genus.Lithospermum,Lithospermum,*Lithospermum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:31937,urn:cite:botcar:family.Boraginaceae
urn:cite:botcar:genus.Litsea,Litsea,*Litsea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18205,urn:cite:botcar:family.Lauraceae
urn:cite:botcar:genus.Lobelia,Lobelia,*Lobelia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:34503,urn:cite:botcar:family.Campanulaceae
urn:cite:botcar:genus.Ludwigia,Ludwigia,*Ludwigia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27334,urn:cite:botcar:family.Onagraceae
urn:cite:botcar:genus.Lupinus,Lupinus,*Lupinus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:25916,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Lycopodiella,Lycopodiella,*Lycopodiella*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500395,urn:cite:botcar:family.Lycopodiaceae
urn:cite:botcar:genus.Lycopus,Lycopus,*Lycopus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32253,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Lyonia,Lyonia,*Lyonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23558,urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Lysimachia,Lysimachia,*Lysimachia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23983,urn:cite:botcar:family.Primulaceae
urn:cite:botcar:genus.Maianthemum,Maianthemum,*Maianthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500404,urn:cite:botcar:family.Ruscaceae
urn:cite:botcar:genus.Marshallia,Marshallia,*Marshallia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:38063,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Matelea,Matelea,*Matelea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30364,urn:cite:botcar:family.Apocynaceae
urn:cite:botcar:genus.Medeola,Medeola,*Medeola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42962,urn:cite:botcar:family.Liliaceae
urn:cite:botcar:genus.Melanthium,Melanthium,*Melanthium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42964,urn:cite:botcar:family.Melanthiaceae
urn:cite:botcar:genus.Melothria,Melothria,*Melothria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:22338,urn:cite:botcar:family.Cucurbitaceae
urn:cite:botcar:genus.Menispermum,Menispermum,*Menispermum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18870,urn:cite:botcar:family.Menispermaceae
urn:cite:botcar:genus.Metopium,Metopium,*Metopium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28804,urn:cite:botcar:family.Anacardiaceae
urn:cite:botcar:genus.Mimosa,Mimosa,*Mimosa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26781,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Monarda,Monarda,*Monarda*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32278,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Morus,Morus,*Morus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19064,urn:cite:botcar:family.Moraceae
urn:cite:botcar:genus.Narcissus,Narcissus,*Narcissus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500435,urn:cite:botcar:family.Amaryllidaceae
urn:cite:botcar:genus.Narcissus,Narcissus,*Narcissus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500435,urn:cite:botcar:family.Amaryllidaceae
urn:cite:botcar:genus.Nasturtium,Nasturtium,*Nasturtium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23252,urn:cite:botcar:family.Brassicaceae
urn:cite:botcar:genus.Nolina,Nolina,*Nolina*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42983,urn:cite:botcar:family.Ruscaceae
urn:cite:botcar:genus.Nymphaea,Nymphaea,*Nymphaea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18383,urn:cite:botcar:family.Nymphaeaceae
urn:cite:botcar:genus.Nyssa,Nyssa,*Nyssa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27820,urn:cite:botcar:family.Nyssaceae
urn:cite:botcar:genus.Nyssa,Nyssa,*Nyssa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27820,urn:cite:botcar:family.Nyssaceae
urn:cite:botcar:genus.Oenothera,Oenothera,*Oenothera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27367,urn:cite:botcar:family.Onagraceae
urn:cite:botcar:genus.Onosmodium,Onosmodium,*Onosmodium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:31964,urn:cite:botcar:family.Boraginaceae
urn:cite:botcar:genus.Orbexilum,Orbexilum,*Orbexilum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26814,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Osmanthus,Osmanthus,*Osmanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32991,urn:cite:botcar:family.Oleaceae
urn:cite:botcar:genus.Osmorhiza,Osmorhiza,*Osmorhiza*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29784,urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Osmunda,Osmunda,*Osmunda*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:17217,urn:cite:botcar:family.Osmundaceae
urn:cite:botcar:genus.Ostrya,Ostrya,*Ostrya*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19508,urn:cite:botcar:family.Betulaceae
urn:cite:botcar:genus.Oxydendrum,Oxydendrum,*Oxydendrum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23689,urn:cite:botcar:family.Ericaceae
urn:cite:botcar:genus.Paspalum,Paspalum,*Paspalum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40990,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Pedicularis,Pedicularis,*Pedicularis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:33352,urn:cite:botcar:family.Orobanchaceae
urn:cite:botcar:genus.Pediomelum,Pediomelum,*Pediomelum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26832,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Persea,Persea,*Persea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18148,urn:cite:botcar:family.Lauraceae
urn:cite:botcar:genus.Persicaria,Persicaria,*Persicaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:823756,urn:cite:botcar:family.Polygonaceae
urn:cite:botcar:genus.Phalaris,Phalaris,*Phalaris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41334,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Phaseolus,Phaseolus,*Phaseolus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26839,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Phegopteris,Phegopteris,*Phegopteris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500482,urn:cite:botcar:family.Thelypteridaceae
urn:cite:botcar:genus.Philadelphus,Philadelphus,*Philadelphus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:24418,urn:cite:botcar:family.Hydrangeaceae
urn:cite:botcar:genus.Phleum,Phleum,*Phleum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41061,urn:cite:botcar:family.Gramineae
urn:cite:botcar:genus.Phlox,Phlox,*Phlox*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30897,urn:cite:botcar:family.Polemoniaceae
urn:cite:botcar:genus.Phyla,Phyla,*Phyla*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32193,urn:cite:botcar:family.Verbenaceae
urn:cite:botcar:genus.Physalis,Physalis,*Physalis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30587,urn:cite:botcar:family.Solanaceae
urn:cite:botcar:genus.Physostegia,Physostegia,*Physostegia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32386,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Pityopsis,Pityopsis,*Pityopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:196340,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Platanthera,Platanthera,*Platanthera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43410,urn:cite:botcar:family.Orchidaceae
urn:cite:botcar:genus.Platanus,Platanus,*Platanus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19019,urn:cite:botcar:family.Platanaceae
urn:cite:botcar:genus.Pluchea,Pluchea,*Pluchea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36060,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Podophyllum,Podophyllum,*Podophyllum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18849,urn:cite:botcar:family.Berberidaceae
urn:cite:botcar:genus.Podostemum,Podostemum,*Podostemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27030,urn:cite:botcar:family.Podostemaceae
urn:cite:botcar:genus.Polygala,Polygala,*Polygala*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29302,urn:cite:botcar:family.Polygalaceae
urn:cite:botcar:genus.Polygonatum,Polygonatum,*Polygonatum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43005,urn:cite:botcar:family.Ruscaceae
urn:cite:botcar:genus.Polypremum,Polypremum,*Polypremum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29958,urn:cite:botcar:family.Tetrachondraceae
urn:cite:botcar:genus.Polystichum,Polystichum,*Polystichum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:17674,urn:cite:botcar:family.Dryopteridaceae
urn:cite:botcar:genus.Polytrichum,Polytrichum,*Polytrichum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:15758,urn:cite:botcar:family.Polytrichaceae
urn:cite:botcar:genus.Pontederia,Pontederia,*Pontederia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42619,urn:cite:botcar:family.Pontederiaceae
urn:cite:botcar:genus.Populus,Populus,*Populus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:22444,urn:cite:botcar:family.Salicaceae
urn:cite:botcar:genus.Prenanthes,Prenanthes,*Prenanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:38268,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Prunella,Prunella,*Prunella*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32379,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Prunus,Prunus,*Prunus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:24762,urn:cite:botcar:family.Rosaceae
urn:cite:botcar:genus.Pseudognaphalium,Pseudognaphalium,*Pseudognaphalium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500903,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Ptelea,Ptelea,*Ptelea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28990,urn:cite:botcar:family.Rutaceae
urn:cite:botcar:genus.Ptilimnium,Ptilimnium,*Ptilimnium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29550,urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Pycnanthemum,Pycnanthemum,*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32650,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Pycnanthemum,Pycnanthemum,*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32650,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Pycnanthemum,Pycnanthemum,*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32650,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Pycnanthemum,Pycnanthemum,*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32650,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Quercus,Quercus,*Quercus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:19276,urn:cite:botcar:family.Fagaceae
urn:cite:botcar:genus.Rhexia,Rhexia,*Rhexia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:27684,urn:cite:botcar:family.Melastomataceae
urn:cite:botcar:genus.Rhynchosia,Rhynchosia,*Rhynchosia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500536,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Rhynchospora,Rhynchospora,*Rhynchospora*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40144,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Rubus,Rubus,*Rubus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:24848,urn:cite:botcar:family.Rosaceae
urn:cite:botcar:genus.Rudbeckia,Rudbeckia,*Rudbeckia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36764,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Sabatia,Sabatia,*Sabatia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30000,urn:cite:botcar:family.Gentianaceae
urn:cite:botcar:genus.Saccharum,Saccharum,*Saccharum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42054,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Salvia,Salvia,*Salvia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32680,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Sarracenia,Sarracenia,*Sarracenia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21992,urn:cite:botcar:family.Sarraceniaceae
urn:cite:botcar:genus.Saururus,Saururus,*Saururus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18220,urn:cite:botcar:family.Saururaceae
urn:cite:botcar:genus.Scirpus,Scirpus,*Scirpus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40225,urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Scutellaria,Scutellaria,*Scutellaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32764,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Selaginella,Selaginella,*Selaginella*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:17064,urn:cite:botcar:family.Selaginellaceae
urn:cite:botcar:genus.Senna,Senna,*Senna*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500553,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Sericocarpus,Sericocarpus,*Sericocarpus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500905,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Setaria,Setaria,*Setaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:41229,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Seymeria,Seymeria,*Seymeria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:34042,urn:cite:botcar:family.Orobanchaceae
urn:cite:botcar:genus.Sida,Sida,*Sida*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21724,urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Silene,Silene,*Silene*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:20040,urn:cite:botcar:family.Caryophyllaceae
urn:cite:botcar:genus.Silphium,Silphium,*Silphium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:38384,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Smallanthus,Smallanthus,*Smallanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:38418,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Smilax,Smilax,*Smilax*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:43340,urn:cite:botcar:family.Smilacaceae
urn:cite:botcar:genus.Solidago,Solidago,*Solidago*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36223,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Spermacoce,Spermacoce,*Spermacoce*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35239,urn:cite:botcar:family.Rubiaceae
urn:cite:botcar:genus.Spermacoce,Spermacoce,*Spermacoce*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:35239,urn:cite:botcar:family.Rubiaceae
urn:cite:botcar:genus.Spigelia,Spigelia,*Spigelia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29960,urn:cite:botcar:family.Loganiaceae
urn:cite:botcar:genus.Sporobolus,Sporobolus,*Sporobolus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42115,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Stachys,Stachys,*Stachys*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32310,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Stillingia,Stillingia,*Stillingia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28409,urn:cite:botcar:family.Euphorbiaceae
urn:cite:botcar:genus.Stylosanthes,Stylosanthes,*Stylosanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26972,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Stylosanthes,Stylosanthes,*Stylosanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26972,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Styrax,Styrax,*Styrax*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:23867,urn:cite:botcar:family.Styracaceae
urn:cite:botcar:genus.Symphyotrichum,Symphyotrichum,*Symphyotrichum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:564906,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Taxodium,Taxodium,*Taxodium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18040,urn:cite:botcar:family.Cupressaceae
urn:cite:botcar:genus.Tephrosia,Tephrosia,*Tephrosia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26981,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Teucrium,Teucrium,*Teucrium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:32351,urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Thalictrum,Thalictrum,*Thalictrum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18658,urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Thaspium,Thaspium,*Thaspium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29887,urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Tilia,Tilia,*Tilia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:21535,urn:cite:botcar:family.Malvaceae
urn:cite:botcar:genus.Toxicodendron,Toxicodendron,*Toxicodendron*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28818,urn:cite:botcar:family.Anacardiaceae
urn:cite:botcar:genus.Tragia,Tragia,*Tragia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28424,urn:cite:botcar:family.Euphorbiaceae
urn:cite:botcar:genus.Trautvetteria,Trautvetteria,*Trautvetteria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18802,urn:cite:botcar:family.Ranunculaceae
