URN	tsn	scientificName	speciesURN	name	genusURN	familyURN	collectionDate	folioURN	ROI
urn:cite:botcar:lordSpecimens.20	23662	_Gaylussacia dumosa_ (Andrews) Torrey & A. Gray	urn:cite:botcar:species.Gaylussaciadumosa	Joseph Lord, Specimen 20	urn:cite:botcar:genus.Gaylussacia	urn:cite:botcar:family.Ericaceae	none	urn:cite:botcar:LordFolios.HS159_212	urn:cite:fufolioimg:BotCarLord.Lord_HS159_212_2384@0.3293,0.279,0.2432,0.2816
urn:cite:botcar:lordSpecimens.21	indet.	indet.	indet.	Joseph Lord, Specimen 21	null	null	1704-09-27	urn:cite:botcar:LordFolios.HS267_074	urn:cite:fufolioimg:BotCarLord.Lord_HS267_074_2252@0.1592,0.0616,0.6697,0.9324
urn:cite:botcar:lordSpecimens.22	41607	_Ctenium aromaticum_ (Walter) Wood	urn:cite:botcar:species.Cteniumaromaticum	Joseph Lord, Specimen 22	urn:cite:botcar:genus.Ctenium	urn:cite:botcar:family.Poaceae	1704-09-29	urn:cite:botcar:LordFolios.HS268_01	urn:cite:fufolioimg:BotCarLord.Lord_HS268_001_2254@0.1071,0.0557,0.6376,0.9344
urn:cite:botcar:lordSpecimens.23	501278	_Carex striata_ Michx.	urn:cite:botcar:species.Carexstriata	Joseph Lord, Specimen 23	urn:cite:botcar:genus.Carex	urn:cite:botcar:family.Cyperaceae	1704-08-15	urn:cite:botcar:LordFolios.HS268_03	urn:cite:fufolioimg:BotCarLord.Lord_HS268_003_2255@0.1341,0.0444,0.6406,0.9397
urn:cite:botcar:lordSpecimens.24	39312	_Juncus scirpoides_ Lam.	urn:cite:botcar:species.Juncusscirpoides	Joseph Lord, Specimen 24	urn:cite:botcar:genus.Juncus	urn:cite:botcar:family.Juncaceae	1704-06-05	urn:cite:botcar:LordFolios.HS268_05	urn:cite:fufolioimg:BotCarLord.Lord_HS268_005_2256@0.0601,0.0298,0.2382,0.9443
urn:cite:botcar:lordSpecimens.25	40149	_Rhynchospora rariflora_ (Michx.) Elliott	urn:cite:botcar:species.Rhynchosporarariflora	Joseph Lord, Specimen 25	urn:cite:botcar:genus.Rhynchospora	urn:cite:botcar:family.Cyperaceae	1704-06-05	urn:cite:botcar:LordFolios.HS268_05	urn:cite:fufolioimg:BotCarLord.Lord_HS268_005_2256@0.2853,0.1445,0.4494,0.7396
urn:cite:botcar:lordSpecimens.26	39112	_Xyris platylepis_ Chapman	urn:cite:botcar:species.Xyrisplatylepis	Joseph Lord, Specimen 26	urn:cite:botcar:genus.Xyris	urn:cite:botcar:family.Xyridaceae	1704-08-15	urn:cite:botcar:LordFolios.HS268_07	urn:cite:fufolioimg:BotCarLord.Lord_HS268_007_2259@0.1782,0.055,0.5475,0.8449
urn:cite:botcar:lordSpecimens.27	28436	_Tragia urens_ L.	urn:cite:botcar:species.Tragiaurens	Joseph Lord, Specimen 27	urn:cite:botcar:genus.Tragia	urn:cite:botcar:family.Euphorbiaceae	1704-07-15	urn:cite:botcar:LordFolios.HS268_09	urn:cite:fufolioimg:BotCarLord.Lord_HS268_009_2260@0.019,0.0417,0.3323,0.6448
urn:cite:botcar:lordSpecimens.28	39205	_Lachnocaulon anceps_ (Walter) Morong	urn:cite:botcar:species.Lachnocaulonanceps	Joseph Lord, Specimen 28	urn:cite:botcar:genus.Lachnocaulon	urn:cite:botcar:family.Eriocaulaceae	1704-05-01	urn:cite:botcar:LordFolios.HS268_09	urn:cite:fufolioimg:BotCarLord.Lord_HS268_009_2260@0.1532,0.4307,0.3704,0.5693
urn:cite:botcar:lordSpecimens.29	39195	_Eriocaulon decangulare_ L.	urn:cite:botcar:species.Eriocaulondecangulare	Joseph Lord, Specimen 29	urn:cite:botcar:genus.Eriocaulon	urn:cite:botcar:family.Eriocaulaceae	1704-06-05	urn:cite:botcar:LordFolios.HS268_09	urn:cite:fufolioimg:BotCarLord.Lord_HS268_009_2260@0.3514,0.0928,0.3944,0.8078
urn:cite:botcar:lordSpecimens.30	28436	_Tragia urens_ L.	urn:cite:botcar:species.Tragiaurens	Joseph Lord, Specimen 30	urn:cite:botcar:genus.Tragia	urn:cite:botcar:family.Euphorbiaceae	none	urn:cite:botcar:LordFolios.HS268_11	urn:cite:fufolioimg:BotCarLord.Lord_HS268_011_2261@0.1101,0.0689,0.5626,0.6892
urn:cite:botcar:lordSpecimens.31	indet.	_Lactuca_ sp.	indet.	Joseph Lord, Specimen 31	urn:cite:botcar:genus.Lactuca	urn:cite:botcar:family.Asteraceae	1704-09-07	urn:cite:botcar:LordFolios.HS268_13	urn:cite:fufolioimg:BotCarLord.Lord_HS268_013_2262@0.0821,0.0431,0.6687,0.8456
urn:cite:botcar:lordSpecimens.32	indet.	indet.	indet.	Joseph Lord, Specimen 32	null	null	1704-09-12	urn:cite:botcar:LordFolios.HS268_15	urn:cite:fufolioimg:BotCarLord.Lord_HS268_015_2264@0.0561,0.0868,0.6847,0.8449
urn:cite:botcar:lordSpecimens.34	36596	_Lactuca canadensis_ L.	urn:cite:botcar:species.Lactucacanadensis	Joseph Lord, Specimen 34	urn:cite:botcar:genus.Lactuca	urn:cite:botcar:family.Asteraceae	1704-09-12	urn:cite:botcar:LordFolios.HS268_17	urn:cite:fufolioimg:BotCarLord.Lord_HS268_017_2266@0.0841,0.0676,0.6737,0.8926
urn:cite:botcar:lordSpecimens.36	37710	_Hieracium gronovii_ L.	urn:cite:botcar:species.Hieraciumgronovii	Joseph Lord, Specimen 36	urn:cite:botcar:genus.Hieracium	urn:cite:botcar:family.Asteraceae	1704-05-15	urn:cite:botcar:LordFolios.HS268_19	urn:cite:fufolioimg:BotCarLord.Lord_HS268_019_2269@0,0.0683,0.6086,0.9139
urn:cite:botcar:lordSpecimens.37	38324	_Pyrrhopappus carolinianus_ (Walter) D.C.	urn:cite:botcar:species.Pyrrhopappuscarolinianus	Joseph Lord, Specimen 37	urn:cite:botcar:genus.Pyrrhopappus	urn:cite:botcar:family.Asteraceae	1704-05-06	urn:cite:botcar:LordFolios.HS268_19	urn:cite:fufolioimg:BotCarLord.Lord_HS268_019_2269@0.4114,0.1484,0.4705,0.8224
