speciesURN	tsn	familyURN	genusURN	scientificName	label
urn:cite:botcar:species.Erigeronstrigosus	35951	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Erigeron	Erigeron strigosus Muhlenberg ex Willdenow	**Erigeron strigosus Muhlenberg ex Willdenow**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eriocaulondecangulare	39195	urn:cite:botcar:family.Eriocaulaceae	urn:cite:botcar:genus.Eriocaulon	Eriocaulon decangulare L.	**Eriocaulon decangulare L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eriogonumtomentosum	21260	urn:cite:botcar:family.Polygonaceae	urn:cite:botcar:genus.Eriogonum	Eriogonum tomentosum	**Eriogonum tomentosum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eryngiumintegrifolium	29493	urn:cite:botcar:family.Apiaceae	urn:cite:botcar:genus.Eryngium	Eryngium integrifolium Walter	**Eryngium integrifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumcapillifolium	35978	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium capillifolium (Lamarck) Small	**Eupatorium capillifolium (Lamarck) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumcompositifolium	35985	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium compositifolium Walter	**Eupatorium compositifolium Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumleucolepis	35992	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium leucolepis (DC.) Torr. and A. Gray	**Eupatorium leucolepis (DC.) Torr. and A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriummohrii	502518	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium mohrii Greene	**Eupatorium mohrii Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumperfoliatum	35980	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium perfoliatum L.	**Eupatorium perfoliatum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumpurpureum	502522	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium purpureum L. var. purpureum	**Eupatorium purpureum L. var. purpureum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumrotundifolium	36001	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium rotundifolium L.	**Eupatorium rotundifolium L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eupatoriumserotinum	35981	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eupatorium	Eupatorium serotinum Michx.	**Eupatorium serotinum Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Euphorbiaexserta	28066	urn:cite:botcar:family.Euphorbiaceae	urn:cite:botcar:genus.Euphorbia	Euphorbia exserta (Small) Coker	**Euphorbia exserta (Small) Coker**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Euthamiacaroliniana	513470	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Euthamia	Euthamia caroliniana (Linnaeus) Greene ex Porter and Britton	**Euthamia caroliniana (Linnaeus) Greene ex Porter and Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Eutrochiumdubium	780331	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Eutrochium	Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont	**Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Fraxinuspennsylvanica	32929	urn:cite:botcar:family.Oleaceae	urn:cite:botcar:genus.Fraxinus	Fraxinus pennsylvanica Marsh.	**Fraxinus pennsylvanica Marsh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Fuirenabreviseta	40133	urn:cite:botcar:family.Cyperaceae	urn:cite:botcar:genus.Fuirena	Fuirena breviseta (Coville) Coville	**Fuirena breviseta (Coville) Coville**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Fuirenasquarrosa	40132	urn:cite:botcar:family.Cyperaceae	urn:cite:botcar:genus.Fuirena	Fuirena squarrosa Michaux	**Fuirena squarrosa Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gaillardiaaestivalis	37396	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Gaillardia	Gaillardia aestivalis (Walter) H. Rock var. aestivalis	**Gaillardia aestivalis (Walter) H. Rock var. aestivalis**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Galactiavolubilis	26703	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Galactia	Galactia volubilis (L.) Britton	**Galactia volubilis (L.) Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gamochaetaantillana	780343	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Gamochaeta	Gamochaeta antillana (Urban) Anderberg	**Gamochaeta antillana (Urban) Anderberg**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gaylussaciadumosa	23662	urn:cite:botcar:family.Ericaceae	urn:cite:botcar:genus.Gaylussacia	Gaylussacia dumosa (Andrews) Torrey & A. Gray	**Gaylussacia dumosa (Andrews) Torrey & A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gentianacatesbaei	29973	urn:cite:botcar:family.Gentianaceae	urn:cite:botcar:genus.Gentiana	Gentiana catesbaei Walter	**Gentiana catesbaei Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gentianasaponaria	29986	urn:cite:botcar:family.Gentianaceae	urn:cite:botcar:genus.Gentiana	Gentiana saponaria L.	**Gentiana saponaria L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Geumcanadense	24645	urn:cite:botcar:family.Rosaceae	urn:cite:botcar:genus.Geum	Geum canadense Jacq.	**Geum canadense Jacq.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Glandulariacanadensis	502784	urn:cite:botcar:family.Verbenaceae	urn:cite:botcar:genus.Glandularia	Glandularia canadensis (L.) Nutt.	**Glandularia canadensis (L.) Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gleditsiaaquatica	26712	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Gleditsia	Gleditsia aquatica Marsh.	**Gleditsia aquatica Marsh.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Gordonialasianthus	21386	urn:cite:botcar:family.Theaceae	urn:cite:botcar:genus.Gordonia	Gordonia lasianthus (Linnaeus) Ellis	**Gordonia lasianthus (Linnaeus) Ellis**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Habenariarepens	43402	urn:cite:botcar:family.Orchidaceae	urn:cite:botcar:genus.Habenaria	Habenaria repens Nutt.	**Habenaria repens Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hamamelisvirginiana	19033	urn:cite:botcar:family.Hamamelidaceae	urn:cite:botcar:genus.Hamamelis	Hamamelis virginiana L.	**Hamamelis virginiana L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Heleniumflexuosum	36016	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Helenium	Helenium flexuosum Raf.	**Helenium flexuosum Raf.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Helianthusangustifolius	502919	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Helianthus	Helianthus angustifolius L.	**Helianthus angustifolius L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Helianthusatrorubens	36620	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Helianthus	Helianthus atrorubens L.	**Helianthus atrorubens L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Helianthushirsutus	36646	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Helianthus	Helianthus hirsutus	**Helianthus hirsutus**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Helianthusstrumosus	36690	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Helianthus	Helianthus strumosus L.	**Helianthus strumosus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Heliopsishelianthoides	37605	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Heliopsis	Heliopsis helianthoides (L.) Sweet var. helianthoides	**Heliopsis helianthoides (L.) Sweet var. helianthoides**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hibiscusmoscheutos	21612	urn:cite:botcar:family.Malvaceae	urn:cite:botcar:genus.Hibiscus	Hibiscus moscheutos L. ibiscus moscheutos L	**Hibiscus moscheutos L. ibiscus moscheutos L**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hieraciumgronovii	37710	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Hieracium	Hieracium gronovii L.	**Hieracium gronovii L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hydrangeaarborescens	24195	urn:cite:botcar:family.Hydrangeaceae	urn:cite:botcar:genus.Hydrangea	Hydrangea arborescens L.	**Hydrangea arborescens L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hydrangearadiata	503097	urn:cite:botcar:family.Hydrangeaceae	urn:cite:botcar:genus.Hydrangea	Hydrangea radiata Walter	**Hydrangea radiata Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hylodesmumglutinosum		urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Hylodesmum	Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi and R.R. Mill	**Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi and R.R. Mill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hypericumcrux	503132	urn:cite:botcar:family.Hypericaceae	urn:cite:botcar:genus.Hypericum	Hypericum crux-andreae (L.) Crantz	**Hypericum crux-andreae (L.) Crantz**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hypericumwalteri	515023	urn:cite:botcar:family.Hypericaceae	urn:cite:botcar:genus.Hypericum	Hypericum walteri J.G. Gmelin	**Hypericum walteri J.G. Gmelin**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hypoxishirsuta	503146	urn:cite:botcar:family.Hypoxidaceae	urn:cite:botcar:genus.Hypoxis	Hypoxis hirsuta (L.) Coville	**Hypoxis hirsuta (L.) Coville**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Hyptisalata	32523	urn:cite:botcar:family.Lamiaceae	urn:cite:botcar:genus.Hyptis	Hyptis alata (Raf.) Shinners	**Hyptis alata (Raf.) Shinners**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ilexambigua	27987	urn:cite:botcar:family.Aquifoliaceae	urn:cite:botcar:genus.Ilex	Ilex ambigua (Michx.) Torr.	**Ilex ambigua (Michx.) Torr.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ilexcassine	27992	urn:cite:botcar:family.Aquifoliaceae	urn:cite:botcar:genus.Ilex	Ilex cassine L.	**Ilex cassine L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Impatienscapensis	29182	urn:cite:botcar:family.Balsaminaceae	urn:cite:botcar:genus.Impatiens	Impatiens capensis Meerburgh	**Impatiens capensis Meerburgh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Indigoferatinctoria	26750	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Indigofera	Indigofera tinctoria L.	**Indigofera tinctoria L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ionactislinariifolia	780388	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Ionactis	Ionactis linariifolia (L.) Greene	**Ionactis linariifolia (L.) Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ipomoeacoccinea	30770	urn:cite:botcar:family.Convolvulaceae	urn:cite:botcar:genus.Ipomoea	Ipomoea coccinea L.	**Ipomoea coccinea L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ipomopsisrubra	31219	urn:cite:botcar:family.Polemoniaceae	urn:cite:botcar:genus.Ipomopsis	Ipomopsis rubra (Linnaeus) Wherry	**Ipomopsis rubra (Linnaeus) Wherry**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Iteavirginica	24202	urn:cite:botcar:family.Iteaceae	urn:cite:botcar:genus.Itea	Itea virginica L.	**Itea virginica L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Juncusscirpoides	39312	urn:cite:botcar:family.Juncaceae	urn:cite:botcar:genus.Juncus	Juncus scirpoides Lam.	**Juncus scirpoides Lam.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Kalmialatifolia	23677	urn:cite:botcar:family.Ericaceae	urn:cite:botcar:genus.Kalmia	Kalmia latifolia L.	**Kalmia latifolia L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Kosteletzkyapentacarpos	845759	urn:cite:botcar:family.Malvaceae	urn:cite:botcar:genus.Kosteletzkya	Kosteletzkya pentacarpos (Linnaeus) Ledebour	**Kosteletzkya pentacarpos (Linnaeus) Ledebour**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lachnanthescaroliniana	896414	urn:cite:botcar:family.Haemodoraceae	urn:cite:botcar:genus.Lachnanthes	Lachnanthes caroliniana (Lamarck) Dandy	**Lachnanthes caroliniana (Lamarck) Dandy**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lachnocaulonanceps	39205	urn:cite:botcar:family.Eriocaulaceae	urn:cite:botcar:genus.Lachnocaulon	Lachnocaulon anceps (Walter) Morong	**Lachnocaulon anceps (Walter) Morong**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lactucacanadensis	36596	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Lactuca	Lactuca canadensis L.	**Lactuca canadensis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lactucasp	36594	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Lactuca	Lactuca sp.	**Lactuca sp.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Laporteacanadensis	19127	urn:cite:botcar:family.Urticaceae	urn:cite:botcar:genus.Laportea	Laportea canadensis (Linnaeus) Weddell	**Laportea canadensis (Linnaeus) Weddell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lespedezahirta	25900	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Lespedeza	Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely	**Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lespedezaviolacea	565789	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Lespedeza	Lespedeza violacea (L.) Persoon	**Lespedeza violacea (L.) Persoon **: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lespedezavirginica	25915	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Lespedeza	Lespedeza virginica (L.) Britton	**Lespedeza virginica (L.) Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Leucothoefontanesiana	23553	urn:cite:botcar:family.Ericaceae	urn:cite:botcar:genus.Leucothoe	Leucothoe fontanesiana (Steud.) Sleumer	**Leucothoe fontanesiana (Steud.) Sleumer**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liatriselegans	37919	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Liatris	Liatris elegans (Walter) Michaux	**Liatris elegans (Walter) Michaux**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liatrispilosa	507625	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Liatris	Liatris pilosa (Aiton) Willdenow	**Liatris pilosa (Aiton) Willdenow**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liatrissecunda	37942	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Liatris	Liatris secunda Elliott	**Liatris secunda Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liatrisspicata	37944	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Liatris	Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser	**Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liatrissquarrosa	37945	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Liatris	Liatris squarrosa (L.) Michx. var. squarrosa	**Liatris squarrosa (L.) Michx. var. squarrosa**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liatrissquarrulosa	503447	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Liatris	Liatris squarrulosa Michx.	**Liatris squarrulosa Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liliumcatesbaei	42735	urn:cite:botcar:family.Liliaceae	urn:cite:botcar:genus.Lilium	Lilium catesbaei Walter	**Lilium catesbaei Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liquidambarstyraciflua	19027	urn:cite:botcar:family.Altingiaceae	urn:cite:botcar:genus.Liquidambar	Liquidambar styraciflua L.	**Liquidambar styraciflua L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Liriodendrontulipifera	18086	urn:cite:botcar:family.Magnoliaceae	urn:cite:botcar:genus.Liriodendron	Liriodendron tulipifera L.	**Liriodendron tulipifera L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lithospermumcaroliniense	31946	urn:cite:botcar:family.Boraginaceae	urn:cite:botcar:genus.Lithospermum	Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill.	**Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Litseaaestivalis	18206	urn:cite:botcar:family.Lauraceae	urn:cite:botcar:genus.Litsea	Litsea aestivalis (L.) Fernald	**Litsea aestivalis (L.) Fernald**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lobeliaelongata	34506	urn:cite:botcar:family.Campanulaceae	urn:cite:botcar:genus.Lobelia	Lobelia elongata Small	**Lobelia elongata Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lobeliaglandulosa	34522	urn:cite:botcar:family.Campanulaceae	urn:cite:botcar:genus.Lobelia	Lobelia glandulosa Walter	**Lobelia glandulosa Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lobelianuttallii	34527	urn:cite:botcar:family.Campanulaceae	urn:cite:botcar:genus.Lobelia	Lobelia nuttallii Schultes	**Lobelia nuttallii Schultes**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lobeliapuberula	34529	urn:cite:botcar:family.Campanulaceae	urn:cite:botcar:genus.Lobelia	Lobelia puberula Michx.	**Lobelia puberula Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ludwigiaalternifolia	27335	urn:cite:botcar:family.Onagraceae	urn:cite:botcar:genus.Ludwigia	Ludwigia alternifolia L.	**Ludwigia alternifolia L. **: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ludwigiapilosa	27360	urn:cite:botcar:family.Onagraceae	urn:cite:botcar:genus.Ludwigia	Ludwigia pilosa Walter	**Ludwigia pilosa Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ludwigiavirgata	27366	urn:cite:botcar:family.Onagraceae	urn:cite:botcar:genus.Ludwigia	Ludwigia virgata Michx.	**Ludwigia virgata Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lupinusdiffusus	26009	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Lupinus	Lupinus diffusus Nutt.	**Lupinus diffusus Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lupinusvillosus	26142	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Lupinus	Lupinus villosus Willd.	**Lupinus villosus Willd.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lycopodiellaalopecuroides	503603	urn:cite:botcar:family.Lycopodiaceae	urn:cite:botcar:genus.Lycopodiella	Lycopodiella alopecuroides (L.) Cranfill	**Lycopodiella alopecuroides (L.) Cranfill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lycopodiellaappressa	503604	urn:cite:botcar:family.Lycopodiaceae	urn:cite:botcar:genus.Lycopodiella	Lycopodiella appressa (Chapman) Cranfill	**Lycopodiella appressa (Chapman) Cranfill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lycopusvirginicus	32255	urn:cite:botcar:family.Lamiaceae	urn:cite:botcar:genus.Lycopus	Lycopus virginicus L.	**Lycopus virginicus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lyonialucida	23563	urn:cite:botcar:family.Ericaceae	urn:cite:botcar:genus.Lyonia	Lyonia lucida (Lam.) K. Koch	**Lyonia lucida (Lam.) K. Koch**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lyoniamariana	23564	urn:cite:botcar:family.Ericaceae	urn:cite:botcar:genus.Lyonia	Lyonia mariana (L.) D. Don	**Lyonia mariana (L.) D. Don**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lysimachiaciliata	23984	urn:cite:botcar:family.Primulaceae	urn:cite:botcar:genus.Lysimachia	Lysimachia ciliata L.	**Lysimachia ciliata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lysimachiafraseri	23989	urn:cite:botcar:family.Primulaceae	urn:cite:botcar:genus.Lysimachia	Lysimachia fraseri Duby	**Lysimachia fraseri Duby**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Lysimachiaquadrifolia	23997	urn:cite:botcar:family.Primulaceae	urn:cite:botcar:genus.Lysimachia	Lysimachia quadrifolia L.	**Lysimachia quadrifolia L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Maianthemumracemosum	503655	urn:cite:botcar:family.Ruscaceae	urn:cite:botcar:genus.Maianthemum	Maianthemum racemosum (L.) Link	**Maianthemum racemosum (L.) Link**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Marshalliagraminifolia	38065	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Marshallia	Marshallia graminifolia (Walter) Small	**Marshallia graminifolia (Walter) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Marshalliaobovata	38069	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Marshallia	Marshallia obovata (Walter) Beadle and F.E. Boynt. var. scaposa Channell	**Marshallia obovata (Walter) Beadle and F.E. Boynt. var. scaposa Channell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Mateleacarolinensis	30369	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Matelea	Matelea carolinensis (Jacq.) Woodson	**Matelea carolinensis (Jacq.) Woodson**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Medeolavirginiana	42963	urn:cite:botcar:family.Liliaceae	urn:cite:botcar:genus.Medeola	Medeola virginiana L.	**Medeola virginiana L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Melantheranivea	38093	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Melanthera	Melanthera nivea (L.) Small	**Melanthera nivea (L.) Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Melanthiumhybridum	516953	urn:cite:botcar:family.Melanthiaceae	urn:cite:botcar:genus.Melanthium	Melanthium hybridum Walter	**Melanthium hybridum Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Melothriapendula	22339	urn:cite:botcar:family.Cucurbitaceae	urn:cite:botcar:genus.Melothria	Melothria pendula L.	**Melothria pendula L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Menispermumcanadense	18871	urn:cite:botcar:family.Menispermaceae	urn:cite:botcar:genus.Menispermum	Menispermum canadense L.	**Menispermum canadense L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Metopiumtoxiferum	28805	urn:cite:botcar:family.Anacardiaceae	urn:cite:botcar:genus.Metopium	Metopium toxiferum	**Metopium toxiferum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
