speciesURN	tsn	familyURN	genusURN	scientificName	label
urn:cite:botcar:species.Asclepiashumistrata	30272	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Asclepias	Asclepias humistrata Walter	**Asclepias humistrata Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Asclepiasobovata	30289	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Asclepias	Asclepias obovata Elliott	**Asclepias obovata Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Asclepiasrubra	30299	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Asclepias	Asclepias rubra L.	**Asclepias rubra L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Asclepiastuberosa	30313	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Asclepias	Asclepias tuberosa L.	**Asclepias tuberosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Asclepiasverticillata	30320	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Asclepias	Asclepias verticillata L.	**Asclepias verticillata L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Asclepiasviridiflora	30322	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Asclepias	Asclepias viridiflora Raf.	**Asclepias viridiflora Raf.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Aspleniumplatyneuron	17355	urn:cite:botcar:family.Aspleniaceae	urn:cite:botcar:genus.Asplenium	Asplenium platyneuron (L.) BSP	**Asplenium platyneuron (L.) BSP**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Aspleniumtrichomanes	17364	urn:cite:botcar:family.Aspleniaceae	urn:cite:botcar:genus.Asplenium	Asplenium trichomanes L.	**Asplenium trichomanes L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Astragalusmichauxii	25577	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Astragalus	Astragalus michauxii (Kuntze) F.J. Herm.	**Astragalus michauxii (Kuntze) F.J. Herm.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Athyriumasplenioides	17422	urn:cite:botcar:family.Athyriaceae	urn:cite:botcar:genus.Athyrium	Athyrium asplenioides (Michaux) A.A. Eaton	**Athyrium asplenioides (Michaux) A.A. Eaton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Aureolariaflava	33484	urn:cite:botcar:family.Orobanchaceae	urn:cite:botcar:genus.Aureolaria	Aureolaria flava (L.) Farwell	**Aureolaria flava (L.) Farwell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Aureolariavirginica	33490	urn:cite:botcar:family.Orobanchaceae	urn:cite:botcar:genus.Aureolaria	Aureolaria virginica (L.) Pennell	**Aureolaria virginica (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Bacopamonnieri	33038	urn:cite:botcar:family.Plantaginaceae	urn:cite:botcar:genus.Bacopa	Bacopa monnieri (L.) Pennell	**Bacopa monnieri (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Baptisiaalbescens	192869	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Baptisia	Baptisia albescens Small	**Baptisia albescens Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Baptisiabracteata	26470	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Baptisia	Baptisia bracteata Elliott	**Baptisia bracteata Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Baptisiaperfoliata	26482	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Baptisia	Baptisia perfoliata (L.) R. Br.	**Baptisia perfoliata (L.) R. Br.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Baptisiatinctoria	26489	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Baptisia	Baptisia tinctoria (L.) Ventenat	**Baptisia tinctoria (L.) Ventenat**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Berchemiascandens	28447	urn:cite:botcar:family.Rhamnaceae	urn:cite:botcar:genus.Berchemia	Berchemia scandens (Hill) K. Koch	**Berchemia scandens (Hill) K. Koch**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Berlandierapumila	36833	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Berlandiera	Berlandiera pumila (Michx) Nutt.	**Berlandiera pumila (Michx) Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Bidensfrondosa	35707	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Bidens	Bidens frondosa L.	**Bidens frondosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
