SpecimenURN,ScientificName,SpeciesURN,ImageURN,ROI
urn:cite:botcar:sloane.66,Catesby Specimen 66: Matelea carolinensis (Jacq.) Woodson,urn:cite:botcar:species.Mateleacarolinensis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495@0.0833,0.218,0.493,0.72"
urn:cite:botcar:sloane.87,Catesby Specimen 87: Asclepias viridiflora Raf.,urn:cite:botcar:species.Asclepiasviridiflora,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492@0.549,0.118,0.409,0.651"
urn:cite:botcar:sloane.287,Catesby Specimen 287: Asclepias amplexicaulis Sm.,urn:cite:botcar:species.Asclepiasamplexicaulis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486@0.0417,0.286,0.417,0.683"
urn:cite:botcar:sloane.286,Catesby Specimen 286: Asclepias humistrata Walter,urn:cite:botcar:species.Asclepiashumistrata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486@0.554,0.278,0.378,0.684"
urn:cite:botcar:sloane.331,Catesby Specimen 331: Asclepias tuberosa L.,urn:cite:botcar:species.Asclepiastuberosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486@0.25,0.0764,0.299,0.537"
urn:cite:botcar:sloane.266,Catesby Specimen 266: Asclepias verticillata L.,urn:cite:botcar:species.Asclepiasverticillata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486@0.47,0.0536,0.283,0.626"
urn:cite:botcar:sloane.408,Catesby Specimen 408: Asclepias tuberosa L.,urn:cite:botcar:species.Asclepiastuberosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474@0.147,0.62,0.811,0.311"
urn:cite:botcar:sloane.256,Catesby Specimen 256: Amsonia tabernaemontana Walter var. tabernaemontana,urn:cite:botcar:species.Amsoniatabernaemontana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478@0.412,0.0883,0.527,0.694"
urn:cite:botcar:sloane.159,Catesby Specimen 159: Apocynum cannabinum L.,urn:cite:botcar:species.Apocynumcannabinum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437@0.371,0.105,0.61,0.537"
urn:cite:botcar:sloane.324,Catesby Specimen 324: Asclepias rubra L.,urn:cite:botcar:species.Asclepiasrubra,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_083_0572@0.0208,0.124,0.531,0.787"
