SpecimenURN,ScientificName,SpeciesURN,ImageURN,ROI
urn:cite:botcar:sloane.204,Catesby Specimen 204: Eupatorium serotinum Michx.,urn:cite:botcar:species.Eupatoriumserotinum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_073_0585,""
urn:cite:botcar:sloane.190,Catesby Specimen 190: Bigelowia nudata (Michx.) DC.,urn:cite:botcar:species.Bigelowianudata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434@0.204,0.117,0.335,0.6"
urn:cite:botcar:sloane.387,Catesby Specimen 387: Bidens frondosa L.,urn:cite:botcar:species.Bidensfrondosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506@0.138,0.0923,0.545,0.822"
urn:cite:botcar:sloane.290,Catesby Specimen 290: Ampelaster carolinianus (Walter) G.L. Nesom,urn:cite:botcar:species.Ampelastercarolinianus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430@0.362,0.109,0.54,0.6"
urn:cite:botcar:sloane.381,Catesby Specimen 381: Prenanthes autumnalis Walter,urn:cite:botcar:species.Prenanthesautumnalis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_083_0430@0.0565,0.275,0.223,0.689"
urn:cite:botcar:sloane.158,Catesby Specimen 158: Eupatorium capillifolium (Lam.) Small,urn:cite:botcar:species.Eupatoriumcapillifolium,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_084_0429,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_084_0429@0.391,0.215,0.518,0.705"
urn:cite:botcar:sloane.185,Catesby Specimen 185: Euthamia caroliniana (L.) Greene ex Porter & Britton,urn:cite:botcar:species.Euthamiacaroliniana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502@0.473,0.0685,0.527,0.65"
urn:cite:botcar:sloane.186,Catesby Specimen 186: Solidago odora Aiton,urn:cite:botcar:species.Solidagoodora,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502@0.113,0.155,0.473,0.792"
urn:cite:botcar:sloane.215,Catesby Specimen 215: Helianthus angustifolius L.,urn:cite:botcar:species.Helianthusangustifolius,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418@0.484,0.0962,0.427,0.721"
urn:cite:botcar:sloane.379,Catesby Specimen 379: Liatris squarrulosa Michx.,urn:cite:botcar:species.Liatrissquarrulosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413@0.528,0.106,0.137,0.835"
urn:cite:botcar:sloane.183,Catesby Specimen 183: Heliopsis helianthoides (L.) Sweet var. helianthoides,urn:cite:botcar:species.Heliopsishelianthoides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_113_0544,""
urn:cite:botcar:sloane.167,Catesby Specimen 167: Helianthus hirsutus,urn:cite:botcar:species.Helianthushirsutus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_114_0545,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_114_0545@0.173,0.111,0.412,0.782"
urn:cite:botcar:sloane.356,Catesby Specimen 356: Coreopsis lanceolata L.,urn:cite:botcar:species.Coreopsislanceolata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490@0.436,0.31,0.243,0.619"
urn:cite:botcar:sloane.83,Catesby Specimen 83: Chaptalia tomentosa Vent.,urn:cite:botcar:species.Chaptaliatomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480@0.466,0.197,0.466,0.741"
urn:cite:botcar:sloane.409,Catesby Specimen 409: Gamochaeta antillana (Urban) Anderberg,urn:cite:botcar:species.Gamochaetaantillana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480@0.0357,0.32,0.256,0.649"
urn:cite:botcar:sloane.102,Catesby Specimen 102: Sericocarpus asteroides (L.) BSP,urn:cite:botcar:species.Sericocarpusasteroides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480@0.539,0.0784,0.251,0.628"
urn:cite:botcar:sloane.298,Catesby Specimen 298: Erigeron quercifolius Lam.,urn:cite:botcar:species.Erigeronquercifolius,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457@0.412,0.532,0.387,0.425"
urn:cite:botcar:sloane.374,Catesby Specimen 374: Asteraceae,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456@0.19,0.508,0.177,0.344"
urn:cite:botcar:sloane.390,Catesby Specimen 390: Arnoglossum atriplicifolium (L.) H. Rob.,urn:cite:botcar:species.Arnoglossumatriplicifolium,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499@0.262,0.247,0.341,0.643"
urn:cite:botcar:sloane.267,Catesby Specimen 267: Marshallia obovata (Walter) Beadle & F.E. Boynt. var. scaposa Channell,urn:cite:botcar:species.Marshalliaobovata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_060_0445@0.131,0.0982,0.307,0.822"
urn:cite:botcar:sloane.27,Catesby Specimen 27: Lactuca sp.,urn:cite:botcar:species.Lactucasp,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.134,0.688,0.432,0.185"
urn:cite:botcar:sloane.429,Catesby Specimen 429: Vernonia angustifolia Michx.,urn:cite:botcar:species.Vernoniaangustifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_062_0452@0.371,0.104,0.268,0.664"
urn:cite:botcar:sloane.314,Catesby Specimen 314: Bidens?,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504@0.545,0.104,0.362,0.624"
urn:cite:botcar:sloane.79,Catesby Specimen 79: Symphyotrichum dumosum (L.) G.L. Nesom,urn:cite:botcar:species.Symphyotrichumdumosum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_071_0448,""
urn:cite:botcar:sloane.428,Catesby Specimen 428: Eupatorium perfoliatum L.,urn:cite:botcar:species.Eupatoriumperfoliatum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_074_0434@0.531,0.322,0.445,0.558"
urn:cite:botcar:sloane.178,Catesby Specimen 178: Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt,urn:cite:botcar:species.Pseudognaphaliumobtusifolium,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427@0.213,0.117,0.32,0.625"
urn:cite:botcar:sloane.142,Catesby Specimen 142: Solidago sempervirens L.,urn:cite:botcar:species.Solidagosempervirens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_075_0427@0.455,0.246,0.33,0.651"
urn:cite:botcar:sloane.219,Catesby Specimen 219: Eupatorium,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_088_0419,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_088_0419@0.475,0.0883,0.452,0.88"
urn:cite:botcar:sloane.399,Catesby Specimen 399: Eupatorium compositifolium Walter,urn:cite:botcar:species.Eupatoriumcompositifolium,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416@0.329,0.279,0.592,0.677"
urn:cite:botcar:sloane.264,Catesby Specimen 264: Eupatorium serotinum Michx.,urn:cite:botcar:species.Eupatoriumserotinum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_089_0416@0.0818,0.0784,0.621,0.605"
urn:cite:botcar:sloane.216,Catesby Specimen 216: Liatris elegans (Walter) Michx.,urn:cite:botcar:species.Liatriselegans,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_092_0418@0.665,0.28,0.259,0.676"
urn:cite:botcar:sloane.220,Catesby Specimen 220: Liatris elegans (Walter) Michx.,urn:cite:botcar:species.Liatriselegans,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408@0.251,0.284,0.274,0.682"
urn:cite:botcar:sloane.213,Catesby Specimen 213: Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser,urn:cite:botcar:species.Liatrisspicata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408@0.484,0.239,0.211,0.722"
urn:cite:botcar:sloane.370,Catesby Specimen 370: Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser,urn:cite:botcar:species.Liatrisspicata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408@0.0685,0.0625,0.24,0.75"
urn:cite:botcar:sloane.368,Catesby Specimen 368: Sericocarpus tortifolius (Michx.) Nees,urn:cite:botcar:species.Sericocarpustortifolius,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408@0.521,0.115,0.44,0.826"
urn:cite:botcar:sloane.385,Catesby Specimen 385: Chrysopsis mariana (L.) Elliott,urn:cite:botcar:species.Chrysopsismariana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413@0.643,0.133,0.302,0.812"
urn:cite:botcar:sloane.416,Catesby Specimen 416: Symphyotrichum concolor (L.) G.L. Nesom,urn:cite:botcar:species.Symphyotrichumconcolor,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413@0.421,0.37,0.14,0.594"
urn:cite:botcar:sloane.217,Catesby Specimen 217: Trilisa paniculata (J.F. Gmelin) Cassini,urn:cite:botcar:species.Trilisapaniculata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_096_0413@0.101,0.0675,0.35,0.904"
urn:cite:botcar:sloane.323,Catesby Specimen 323: Athyrium asplenioides (Michaux) A.A. Eaton,urn:cite:botcar:species.Athyriumasplenioides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_079_0573,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_079_0573@0.516,0.262,0.338,0.631"
urn:cite:botcar:sloane.326,Catesby Specimen 326: Impatiens capensis Meerburgh,urn:cite:botcar:species.Impatienscapensis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_115_0541,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_115_0541@0.0625,0.127,0.438,0.616"
urn:cite:botcar:sloane.347,Catesby Specimen 347: Impatiens capensis Meerburgh,urn:cite:botcar:species.Impatienscapensis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_074_0580,""
urn:cite:botcar:sloane.306,Catesby Specimen 306: Podophyllum peltatum L.,urn:cite:botcar:species.Podophyllumpeltatum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_063_0451@0.196,0.0923,0.451,0.539"
urn:cite:botcar:sloane.62,Catesby Specimen 62: Carpinus caroliniana Walter,urn:cite:botcar:species.Carpinuscaroliniana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497@0.424,0.0714,0.56,0.676"
urn:cite:botcar:sloane.285,Catesby Specimen 285: Ostrya virginiana?,urn:cite:botcar:species.Ostryavirginiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.625,0.565,0.0759,0.0942"
urn:cite:botcar:sloane.80,Catesby Specimen 80: Catalpa bignonioides Walter,urn:cite:botcar:species.Catalpabignonioides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_051_0606,""
urn:cite:botcar:sloane.431,Catesby Specimen 431: Catalpa bignonioides Walter,urn:cite:botcar:species.Catalpabignonioides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_061_0444@0.397,0.291,0.561,0.625"
urn:cite:botcar:sloane.229,Catesby Specimen 229: Woodwardia areolata (L.) T. Moore,urn:cite:botcar:species.Woodwardiaareolata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_079_0573,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_079_0573@0.135,0.116,0.415,0.679"
urn:cite:botcar:sloane.45,Catesby Specimen 45: Onosmodium virginianum (Linnaeus) A. DC.,urn:cite:botcar:species.Onosmodiumvirginianum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457@0.652,0.0685,0.311,0.72"
urn:cite:botcar:sloane.319,Catesby Specimen 319: Lithospermum caroliniense (Walter ex J.F. Gmel.) MacMill.,urn:cite:botcar:species.Lithospermumcaroliniense,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459@0.0818,0.281,0.333,0.678"
urn:cite:botcar:sloane.54,Catesby Specimen 54: Nasturtium officinale R. Brown,urn:cite:botcar:species.Nasturtiumofficinale,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.594,0.25,0.143,0.143"
urn:cite:botcar:sloane.47,Catesby Specimen 47: Calycanthus floridus L.,urn:cite:botcar:species.Calycanthusfloridus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494@0.0997,0.0992,0.536,0.855"
urn:cite:botcar:sloane.82,Catesby Specimen 82: Triodanis perfoliata (L.) Nieuwl.,urn:cite:botcar:species.Triodanisperfoliata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474@0.0848,0.115,0.278,0.633"
urn:cite:botcar:sloane.71,Catesby Specimen 71: Lobelia elongata Small,urn:cite:botcar:species.Lobeliaelongata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608@0.662,0.148,0.138,0.706"
urn:cite:botcar:sloane.327,Catesby Specimen 327: Lobelia elongata Small,urn:cite:botcar:species.Lobeliaelongata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504@0.805,0.269,0.149,0.607"
urn:cite:botcar:sloane.211,Catesby Specimen 211: Lobelia puberula Michx.,urn:cite:botcar:species.Lobeliapuberula,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504@0.24,0.309,0.473,0.607"
urn:cite:botcar:sloane.160,Catesby Specimen 160: Silene virginica L.,urn:cite:botcar:species.Silenevirginica,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_018_0492@0.0967,0.702,0.851,0.248"
urn:cite:botcar:sloane.365,,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.769,0.553,0.11,0.13"
urn:cite:botcar:sloane.419,Catesby Specimen 419: Clethra tomentosa Lamarck,urn:cite:botcar:species.Clethratomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_035_0620,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_035_0620@0.571,0.283,0.307,0.531"
urn:cite:botcar:sloane.259,Catesby Specimen 259: Clethra tomentosa Lamarck,urn:cite:botcar:species.Clethratomentosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469@0.484,0.504,0.501,0.448"
urn:cite:botcar:sloane.13,Catesby Specimen 13: Commelina erecta L.,urn:cite:botcar:species.Commelinaerecta,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_057_0437@0.137,0.443,0.408,0.48"
urn:cite:botcar:sloane.192,Catesby Specimen 192: Commelina erecta L.,urn:cite:botcar:species.Commelinaerecta,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499@0.122,0.0843,0.305,0.84"
urn:cite:botcar:sloane.281,Catesby Specimen 281: Calystegia catesbeiana Pursh,urn:cite:botcar:species.Calystegiacatesbeiana,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477@0.0268,0.552,0.714,0.414"
urn:cite:botcar:sloane.115,Catesby Specimen 115: Ipomoea,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.442,0.119,0.146,0.15"
urn:cite:botcar:sloane.380,Catesby Specimen 380: Ipomoea coccinea L.,urn:cite:botcar:species.Ipomoeacoccinea,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.768,0.397,0.128,0.118"
urn:cite:botcar:sloane.198,Catesby Specimen 198: Cornus asperifolia Michx.,urn:cite:botcar:species.Cornusasperifolia,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_060_0597,""
urn:cite:botcar:sloane.231,Catesby Specimen 231: Cornus florida L,urn:cite:botcar:species.Cornusflorida,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_089_0568,""
urn:cite:botcar:sloane.412,Catesby Specimen 412: Cornus florida L.,urn:cite:botcar:species.Cornusflorida,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503@0.137,0.0804,0.586,0.612"
urn:cite:botcar:sloane.341,Catesby Specimen 341: Melothria pendula L.,urn:cite:botcar:species.Melothriapendula,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_135_0521,""
urn:cite:botcar:sloane.316,Catesby Specimen 316: Taxodium distichum (L.) Rich.,urn:cite:botcar:species.Taxodiumdistichum,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501@0.156,0.0813,0.567,0.653"
urn:cite:botcar:sloane.49,Catesby Specimen 49: Taxodium ascendens Brongn.,urn:cite:botcar:species.Taxodiumascendens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_069_0588,""
urn:cite:botcar:sloane.234,Catesby Specimen 234: Taxodium ascendens Brongn.,urn:cite:botcar:species.Taxodiumascendens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_085_0578,""
urn:cite:botcar:sloane.57,Catesby Specimen 57: Cyperus virens Michaux,urn:cite:botcar:species.Cyperusvirens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_137_0519,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_137_0519@0.146,0.155,0.345,0.64"
urn:cite:botcar:sloane.312,Catesby Specimen 312: Carex glaucescens Elliott,urn:cite:botcar:species.Carexglaucescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518@0.326,0.17,0.182,0.63"
urn:cite:botcar:sloane.112,Catesby Specimen 112: Carex glaucescens Elliott,urn:cite:botcar:species.Carexglaucescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518@0.621,0.0952,0.295,0.658"
urn:cite:botcar:sloane.361,Catesby Specimen 361: Fuirena squarrosa Michaux,urn:cite:botcar:species.Fuirenasquarrosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518@0.463,0.152,0.158,0.627"
urn:cite:botcar:sloane.168,Catesby Specimen 168: Rhynchospora fascicularis (Michaux) Vahl,urn:cite:botcar:species.Rhynchosporafascicularis,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_139_0518@0.153,0.112,0.205,0.733"
urn:cite:botcar:sloane.353,Catesby Specimen 353: Cyperus echinatus (L.) Wood,urn:cite:botcar:species.Cyperusechinatus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_030_0623,""
urn:cite:botcar:sloane.334,Catesby Specimen 334: Rhynchospora glomerata (L.) Vahl,urn:cite:botcar:species.Rhynchosporaglomerata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464@0.536,0.317,0.321,0.63"
urn:cite:botcar:sloane.241,Catesby Specimen 241: Carex glaucescens Elliott,urn:cite:botcar:species.Carexglaucescens,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463@0.0878,0.0327,0.324,0.681"
urn:cite:botcar:sloane.103,Catesby Specimen 103: Fuirena breviseta (Coville) Coville,urn:cite:botcar:species.Fuirenabreviseta,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463@0.137,0.326,0.246,0.643"
urn:cite:botcar:sloane.91,Catesby Specimen 91: Rhynchospora colorata (L.) H. Pfeiffer,urn:cite:botcar:species.Rhynchosporacolorata,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454@0.0536,0.0962,0.695,0.789"
urn:cite:botcar:sloane.61,Catesby Specimen 61: Carex,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.177,0.274,0.0714,0.216"
urn:cite:botcar:sloane.254,Catesby Specimen 254: Eleocharis,,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_061_0596@0.241,0.355,0.0685,0.125"
urn:cite:botcar:sloane.403,Catesby Specimen 403: Cyperus echinatus (L.) Wood,urn:cite:botcar:species.Cyperusechinatus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_086_0422,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_086_0422@0.0699,0.0675,0.374,0.916"
urn:cite:botcar:sloane.100,Catesby Specimen 100: Scirpus cyperinus (L.) Kunth,urn:cite:botcar:species.Scirpuscyperinus,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_087_0417@0.4,0.0823,0.522,0.692"
urn:cite:botcar:sloane.84,Catesby Specimen 84: Cyrilla racemiflora L.,urn:cite:botcar:species.Cyrillaracemiflora,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_055_0601,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_055_0601@0.119,0.101,0.43,0.488"
urn:cite:botcar:sloane.109,Catesby Specimen 109: Cyrilla racemiflora L.,urn:cite:botcar:species.Cyrillaracemiflora,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_067_0450,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_067_0450@0.472,0.109,0.512,0.638"
urn:cite:botcar:sloane.81,Catesby Specimen 81: Dioscorea villosa L.,urn:cite:botcar:species.Dioscoreavillosa,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_017_0495@0.378,0.279,0.576,0.631"
urn:cite:botcar:sloane.377,Catesby Specimen 377: Polystichum acrostichoides (Michaux) Schott,urn:cite:botcar:species.Polystichumacrostichoides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_077_0582,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_077_0582@0.577,0.193,0.241,0.709"
urn:cite:botcar:sloane.99,Catesby Specimen 99: Polystichum acrostichoides (Michx.) Schott,urn:cite:botcar:species.Polystichumacrostichoides,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_082_0423,"urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_082_0423@0.435,0.298,0.423,0.636"
