"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Cyperusechinatus","Cyperus echinatus (L.) Wood",501920
"urn:cite:botcar:species.Cyperusvirens","Cyperus virens Michaux",39975
"urn:cite:botcar:species.Cyrillaracemiflora","Cyrilla racemiflora L.",23449
"urn:cite:botcar:species.Daleapinnata","Dalea pinnata (J.F. Gmel.) Barneby",26637
"urn:cite:botcar:species.Delphiniumcarolinianum","Delphinium carolinianum Walter",18547
"urn:cite:botcar:species.Dioscoreavillosa","Dioscorea villosa L.",43367
"urn:cite:botcar:species.Diospyrosvirginiana","Diospyros virginiana L.",23855
"urn:cite:botcar:species.Dyschoristeoblongifolia","Dyschoriste oblongifolia (Michx.) Kuntze",502194
"urn:cite:botcar:species.Eleusineindica","Eleusine indica (L.) Gaertn.",41692
"urn:cite:botcar:species.Endodecaserpentaria","Endodeca serpentaria (Linnaeus) Rafinesque",to be added
"urn:cite:botcar:species.Epifagusvirginiana","Epifagus virginiana (Linnaeus) W. Barton",34276
"urn:cite:botcar:species.Erigeronquercifolius","Erigeron quercifolius Lam.",35940
"urn:cite:botcar:species.Erigeronstrigosus","Erigeron strigosus Muhlenberg ex Willdenow",35951
"urn:cite:botcar:species.Eriocaulondecangulare","Eriocaulon decangulare L.",39195
"urn:cite:botcar:species.Eriogonumtomentosum","Eriogonum tomentosum",21260
"urn:cite:botcar:species.Eryngiumintegrifolium","Eryngium integrifolium Walter",29493
"urn:cite:botcar:species.Eupatoriumcapillifolium","Eupatorium capillifolium (Lamarck) Small",35978
"urn:cite:botcar:species.Eupatoriumcompositifolium","Eupatorium compositifolium Walter",35985
"urn:cite:botcar:species.Eupatoriumleucolepis","Eupatorium leucolepis (DC.) Torr. & A. Gray",35992
"urn:cite:botcar:species.Eupatoriumperfoliatum","Eupatorium perfoliatum L.",35980
"urn:cite:botcar:species.Eupatoriumpurpureum","Eupatorium purpureum L. var. purpureum",502522
"urn:cite:botcar:species.Eupatoriumserotinum","Eupatorium serotinum Michx.",35981
"urn:cite:botcar:species.Euthamiacaroliniana","Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton",513470
"urn:cite:botcar:species.Eutrochiumdubium","Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont",780331
"urn:cite:botcar:species.Fraxinuspennsylvanica","Fraxinus pennsylvanica Marsh.",32929
"urn:cite:botcar:species.Fuirenabreviseta","Fuirena breviseta (Coville) Coville",40133
"urn:cite:botcar:species.Fuirenasquarrosa","Fuirena squarrosa Michaux",40132
"urn:cite:botcar:species.Gaillardiaaestivalis","Gaillardia aestivalis (Walter) H. Rock var. aestivalis",37396
"urn:cite:botcar:species.Galactiavolubilis","Galactia volubilis (L.) Britton",26703
"urn:cite:botcar:species.Gamochaetaantillana","Gamochaeta antillana (Urban) Anderberg",780343
"urn:cite:botcar:species.Gentianacatesbaei","Gentiana catesbaei Walter",29973
"urn:cite:botcar:species.Geumcanadense","Geum canadense Jacq.",24645
"urn:cite:botcar:species.Glandulariacanadensis","Glandularia canadensis (L.) Nutt.",502784
"urn:cite:botcar:species.Gleditsiaaquatica","Gleditsia aquatica Marsh.",26712
"urn:cite:botcar:species.Gordonialasianthus","Gordonia lasianthus (Linnaeus) Ellis",21386
"urn:cite:botcar:species.Habenariarepens","Habenaria repens Nutt.",43402
"urn:cite:botcar:species.Hamamelisvirginiana","Hamamelis virginiana L.",19033
"urn:cite:botcar:species.Heleniumflexuosum","Helenium flexuosum Raf.",36016
"urn:cite:botcar:species.Helianthusangustifolius","Helianthus angustifolius L.",502919
"urn:cite:botcar:species.Helianthushirsutus","Helianthus hirsutus",36646
"urn:cite:botcar:species.Heliopsishelianthoides","Heliopsis helianthoides (L.) Sweet var. helianthoides",37605
"urn:cite:botcar:species.Hibiscusmoscheutos","Hibiscus moscheutos L. ibiscus moscheutos L",21612
"urn:cite:botcar:species.Hydrangeaarborescens","Hydrangea arborescens L.",24195
"urn:cite:botcar:species.Hydrangearadiata","Hydrangea radiata Walter",503097
"urn:cite:botcar:species.Hylodesmumglutinosum","Hylodesmum glutinosum (Muhlenberg ex Willdenow) H. Ohashi & R.R. Mill",to be added
"urn:cite:botcar:species.Hypericumcrux","Hypericum crux-andreae (L.) Crantz",503132
"urn:cite:botcar:species.Hypericumwalteri","Hypericum walteri J.G. Gmelin",515023
"urn:cite:botcar:species.Hyptisalata","Hyptis alata (Raf.) Shinners",32523
"urn:cite:botcar:species.Ilexambigua","Ilex ambigua (Michx.) Torr.",27987
"urn:cite:botcar:species.Ilexcassine","Ilex cassine L.",27992
"urn:cite:botcar:species.Impatienscapensis","Impatiens capensis Meerburgh",29182
"urn:cite:botcar:species.Indigoferatinctoria","Indigofera tinctoria L.",26750
"urn:cite:botcar:species.Ipomoeacoccinea","Ipomoea coccinea L.",30770
"urn:cite:botcar:species.Ipomopsisrubra","Ipomopsis rubra (Linnaeus) Wherry",31219
"urn:cite:botcar:species.Iteavirginica","Itea virginica L.",24202
"urn:cite:botcar:species.Juncusscirpoides","Juncus scirpoides Lam.",39312
"urn:cite:botcar:species.Kalmialatifolia","Kalmia latifolia L.",23677
"urn:cite:botcar:species.Kosteletzkyapentacarpos","Kosteletzkya pentacarpos (Linnaeus) Ledebour",845759
"urn:cite:botcar:species.Lachnanthescaroliniana","Lachnanthes caroliniana (Lamarck) Dandy",896414
"urn:cite:botcar:species.Lactucasp","Lactuca sp.",to be added
"urn:cite:botcar:species.Laporteacanadensis","Laportea canadensis (Linnaeus) Weddell",19127
"urn:cite:botcar:species.Lespedezahirta","Lespedeza hirta (Linnaeus) Hornemann var. curtissii (Clewell) Isely",25900
"urn:cite:botcar:species.Lespedezavirginica","Lespedeza virginica (L.) Britton",25915
"urn:cite:botcar:species.Leucothoefontanesiana","Leucothoe fontanesiana (Steud.) Sleumer",23553
"urn:cite:botcar:species.Liatriselegans","Liatris elegans (Walter) Michaux",37919
"urn:cite:botcar:species.Liatrissecunda","Liatris secunda Elliott",37942
"urn:cite:botcar:species.Liatrisspicata","Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser",37944
"urn:cite:botcar:species.Liatrissquarrosa","Liatris squarrosa (L.) Michx. var. squarrosa",37945
