"specimenURN","name"
"urn:cite:botcar:sloane.164","Catesby Specimen 164: Cocculus carolinus (Linnaeus) A.P. deCandolle"
"urn:cite:botcar:sloane.73","Catesby Specimen 73: Menispermum canadense L."
"urn:cite:botcar:sloane.150","Catesby Specimen 150: Cocculus carolinus (Linnaeus) A.P. deCandolle"
"urn:cite:botcar:sloane.237","Catesby Specimen 237: Cocculus carolinus (L.) DC."
"urn:cite:botcar:sloane.308","Catesby Specimen 308: Morus rubra L."
"urn:cite:botcar:sloane.289","Catesby Specimen 289: Aletris aurea Walter"
"urn:cite:botcar:sloane.76","Catesby Specimen 76: Nymphaea odorata Aiton"
"urn:cite:botcar:sloane.122","Catesby Specimen 122: Nymphaea odorata W.T. Aiton"
"urn:cite:botcar:sloane.169","Catesby Specimen 169: Nyssa aquatica L."
"urn:cite:botcar:sloane.130","Catesby Specimen 130: Nyssa ???"
"urn:cite:botcar:sloane.111","Catesby Specimen 111: Nyssa aquatica L."
"urn:cite:botcar:sloane.68","Catesby Specimen 68: Nyssa sylvatica L."
"urn:cite:botcar:sloane.260","Catesby Specimen 260: Fraxinus pennsylvanica Marsh."
"urn:cite:botcar:sloane.34","Catesby Specimen 34: Osmanthus americanus (L.) Benth. & Hook. f. ex A. Gray"
"urn:cite:botcar:sloane.152","Catesby Specimen 152: Oenothera filipes (Spach) W. L. Wagner & Hoch ?"
"urn:cite:botcar:sloane.275","Catesby Specimen 275: Oenothera filipes (Spach) W. L. Wagner & Hoch"
"urn:cite:botcar:sloane.171","Catesby Specimen 171: Ludwigia pilosa Walter"
"urn:cite:botcar:sloane.301","Catesby Specimen 301: Ludwigia pilosa Walter"
"urn:cite:botcar:sloane.30","Catesby Specimen 30: Ludwigia virgata Michx."
"urn:cite:botcar:sloane.77","Catesby Specimen 77: Platanthera integra (Nutt.) A. Gray ex Beck"
"urn:cite:botcar:sloane.46","Catesby Specimen 46: Platanthera ciliaris (L.) Lindl."
"urn:cite:botcar:sloane.277","Catesby Specimen 277: Habenaria repens Nutt."
"urn:cite:botcar:sloane.107","Catesby Specimen 107: Seymeria pectinata Pursh"
"urn:cite:botcar:sloane.359","Catesby Specimen 359: Pedicularis canadensis L."
"urn:cite:botcar:sloane.392","Catesby Specimen 392: Pedicularis canadensis L."
"urn:cite:botcar:sloane.143","Catesby Specimen 143: Seymeria cassioides (J.F. Gmel.) S.F. Blake"
"urn:cite:botcar:sloane.187","Catesby Specimen 187: Seymeria cassioides (J.F. Gmel.) S.F. Blake"
"urn:cite:botcar:sloane.230","Catesby Specimen 230: Pedicularis canadensis L."
"urn:cite:botcar:sloane.269","Catesby Specimen 269: Epifagus virginiana (Linnaeus) W. Barton"
"urn:cite:botcar:sloane.148","Catesby Specimen 148: Agalinis purpurea (L.) Pennell"
"urn:cite:botcar:sloane.236","Catesby Specimen 236: Osmunda regalis L."
"urn:cite:botcar:sloane.208","Catesby Specimen 208: Bacopa monnieri (L.) Pennell"
"urn:cite:botcar:sloane.421","Catesby Specimen 421: Platanus occidentalis L."
"urn:cite:botcar:sloane.336","Catesby Specimen 336: Chasmanthium latifolium (Michaux) Yates"
"urn:cite:botcar:sloane.78","Catesby Specimen 78: Leptochloa?"
"urn:cite:botcar:sloane.90","Catesby Specimen 90: Paspalum floridanum Michaux"
"urn:cite:botcar:sloane.36","Catesby Specimen 36: Setaria parviflora (Poir.) Kergu_len"
"urn:cite:botcar:sloane.205","Catesby Specimen 205: Ctenium aromaticum (Walter) Alph. Wood"
"urn:cite:botcar:sloane.51","Catesby Specimen 51: Echinochloa"
"urn:cite:botcar:sloane.240","Catesby Specimen 240: Setaria parviflora (Poir.) Kergu_len"
"urn:cite:botcar:sloane.247","Catesby Specimen 247: Poaceae"
"urn:cite:botcar:sloane.218","Catesby Specimen 218: Uniola paniculata L."
"urn:cite:botcar:sloane.357","Catesby Specimen 357: Grass"
"urn:cite:botcar:sloane.303","Catesby Specimen 303: Phalaris caroliniana Walter"
"urn:cite:botcar:sloane.340","Catesby Specimen 340: Setaria magna Griseb."
"urn:cite:botcar:sloane.330","Catesby Specimen 330: Paspalum floridanum Michx."
"urn:cite:botcar:sloane.248","Catesby Specimen 248: Setaria parviflora (Poir.) Kergu_len"
"urn:cite:botcar:sloane.156","Catesby Specimen 156: Cenchrus"
"urn:cite:botcar:sloane.60","Catesby Specimen 60: Coelorachis rugosa (Nutt.) Nash"
"urn:cite:botcar:sloane.382","Catesby Specimen 382: Eleusine indica (L.) Gaertn."
"urn:cite:botcar:sloane.400","Catesby Specimen 400: Sporobolus indicus (L.) R. Br."
"urn:cite:botcar:sloane.279","Catesby Specimen 279: Saccharum giganteum (Walter) Pers."
"urn:cite:botcar:sloane.106","Catesby Specimen 106: Sporobolus indicus (L.) R. Br."
"urn:cite:botcar:sloane.1","Catesby Specimen 1: Andropogon tenuispatheus (Nash) Nash"
"urn:cite:botcar:sloane.401","Catesby Specimen 401: Zizania aquatica L."
"urn:cite:botcar:sloane.332","Catesby Specimen 332: Podostemum ceratophyllum Michx."
"urn:cite:botcar:sloane.300","Catesby Specimen 300: Ipomopsis rubra (Linnaeus) Wherry"
"urn:cite:botcar:sloane.195","Catesby Specimen 195: Phlox amoena Sims"
"urn:cite:botcar:sloane.153","Catesby Specimen 153: Polygala lutea L."
"urn:cite:botcar:sloane.53","Catesby Specimen 53: Polygala mariana P. Miller"
"urn:cite:botcar:sloane.74","Catesby Specimen 74: Polygala cruciata L."
"urn:cite:botcar:sloane.6","Catesby Specimen 6: Polygala grandiflora Walter"
"urn:cite:botcar:sloane.294","Catesby Specimen 294: Polygala polygama Walter"
"urn:cite:botcar:sloane.200","Catesby Specimen 200: Polygala lutea L."
"urn:cite:botcar:sloane.339","Catesby Specimen 339: Polygala ramosa Elliott"
"urn:cite:botcar:sloane.121","Catesby Specimen 121: Polygala lutea L."
"urn:cite:botcar:sloane.371","Catesby Specimen 371: Polygala polygama Walter"
"urn:cite:botcar:sloane.166","Catesby Specimen 166: Brunnichia ovata (Walter) Shinners"
"urn:cite:botcar:sloane.131","Catesby Specimen 131: Persicaria virginiana (Linnaeus) Gaertner"
"urn:cite:botcar:sloane.67","Catesby Specimen 67: Eriogonum tomentosum"
"urn:cite:botcar:sloane.59","Catesby Specimen 59: Polytrichum commune Hedw."
"urn:cite:botcar:sloane.406","Catesby Specimen 406: Pontederia cordata Linnaeus var. lancifolia (Muhlenberg ex Elliott) Torrey"
"urn:cite:botcar:sloane.151","Catesby Specimen 151: Pontederia cordata Linnaeus var. cordata"
"urn:cite:botcar:sloane.98","Catesby Specimen 98: Lysimachia quadrifolia L."
"urn:cite:botcar:sloane.147","Catesby Specimen 147: Lysimachia fraseri Duby"
"urn:cite:botcar:sloane.144","Catesby Specimen 144: Lysimachia ciliata L."
"urn:cite:botcar:sloane.29","Catesby Specimen 29: Clematis crispa L."
"urn:cite:botcar:sloane.40","Catesby Specimen 40: Thalictrum revolutum DC"
"urn:cite:botcar:sloane.136","Catesby Specimen 136: Trautvetteria caroliniensis (Walter) Vail"
"urn:cite:botcar:sloane.430","Catesby Specimen 430: Delphinium carolinianum Walter"
"urn:cite:botcar:sloane.196","Catesby Specimen 196: Actaea racemosa L."
"urn:cite:botcar:sloane.221","Catesby Specimen 221: Clematis viorna L."
"urn:cite:botcar:sloane.265","Catesby Specimen 265: Ceanothus americanus L."
"urn:cite:botcar:sloane.214","Catesby Specimen 214: Berchemia scandens (Hill) K. Koch"
"urn:cite:botcar:sloane.349","Catesby Specimen 349: Ceanothus americanus L."
"urn:cite:botcar:sloane.165","Catesby Specimen 165: Ceanothus americanus L."
"urn:cite:botcar:sloane.261","Catesby Specimen 261: Prunus caroliniana Aiton"
"urn:cite:botcar:sloane.354","Catesby Specimen 354: Geum canadense Jacq."
"urn:cite:botcar:sloane.402","Catesby Specimen 402: Prunus umbellata Elliott"
"urn:cite:botcar:sloane.163","Catesby Specimen 163: Rubus pensilvanicus Poiret"
"urn:cite:botcar:sloane.276","Catesby Specimen 276: Geum canadense Jacq."
"urn:cite:botcar:sloane.139","Catesby Specimen 139: Cephalanthus occidentalis L."
"urn:cite:botcar:sloane.297","Catesby Specimen 297: Nolina georgiana Michx."
"urn:cite:botcar:sloane.118","Catesby Specimen 118: Maianthemum racemosum (L.) Link"
"urn:cite:botcar:sloane.426","Catesby Specimen 426: Polygonatum biflorum (Walter) Elliott"
"urn:cite:botcar:sloane.415","Catesby Specimen 415: Ptelea trifoliata L."
"urn:cite:botcar:sloane.174","Catesby Specimen 174: Ptelea trifoliata L."
"urn:cite:botcar:sloane.120","Catesby Specimen 120: Ptelea trifoliata L."
"urn:cite:botcar:sloane.302","Catesby Specimen 302: Populus deltoides Bartram ex Marsh."
"urn:cite:botcar:sloane.172","Catesby Specimen 172: Populus heterophylla L."
"urn:cite:botcar:sloane.422","Catesby Specimen 422: Acer negundo L."
"urn:cite:botcar:sloane.372","Catesby Specimen 372: Acer saccharinum L."
"urn:cite:botcar:sloane.345","Catesby Specimen 345: Acer rubrum L. var. rubrum"
"urn:cite:botcar:sloane.72","Catesby Specimen 72: Sarracenia rubra Walter"
"urn:cite:botcar:sloane.75","Catesby Specimen 75: Sarracenia minor Walter"
"urn:cite:botcar:sloane.253","Catesby Specimen 253: Sarracenia minor Walter"
"urn:cite:botcar:sloane.89","Catesby Specimen 89: Sarracenia minor Walter"
"urn:cite:botcar:sloane.396","Catesby Specimen 396: Saururus cernuus L."
"urn:cite:botcar:sloane.410","Catesby Specimen 410: Selaginella apoda (L.) Spring"
"urn:cite:botcar:sloane.114","Catesby Specimen 114: Smilax auriculata Walter"
"urn:cite:botcar:sloane.16","Catesby Specimen 16: Smilax pumila Walter"
"urn:cite:botcar:sloane.251","Catesby Specimen 251: Physalis angulata L."
"urn:cite:botcar:sloane.101","Catesby Specimen 101: Styrax americanus Lam."
"urn:cite:botcar:sloane.161","Catesby Specimen 161: Polypremum procumbens L."
"urn:cite:botcar:sloane.262","Catesby Specimen 262: Gordonia lasianthus (L.) Ellis"
"urn:cite:botcar:sloane.95","Catesby Specimen 95: Gordonia lasianthus (Linnaeus) Ellis"
"urn:cite:botcar:sloane.119","Catesby Specimen 119: Phegopteris hexagonoptera (Michaux) F_e"
"urn:cite:botcar:sloane.212","Catesby Specimen 212: Triantha racemosa (Walter) Small"
"urn:cite:botcar:sloane.7","Catesby Specimen 7: Trillium catesbaei Elliott"
"urn:cite:botcar:sloane.322","Catesby Specimen 322: Trillium maculatum Raf."
"urn:cite:botcar:sloane.137","Catesby Specimen 137: Ulmus rubra Muhl."
"urn:cite:botcar:sloane.203","Catesby Specimen 203: Laportea canadensis (Linnaeus) Weddell"
"urn:cite:botcar:sloane.191","Catesby Specimen 191: Glandularia canadensis (L.) Nutt."
"urn:cite:botcar:sloane.358","Catesby Specimen 358: Glandularia canadensis (L.) Nutt"
"urn:cite:botcar:sloane.9","Catesby Specimen 9: Phyla nodiflora (L.) Greene"
"urn:cite:botcar:sloane.132","Catesby Specimen 132: Viola lanceolata Linnaeus var. vittata (Greene) Weatherby & Griscom"
"urn:cite:botcar:sloane.432","Catesby Specimen 432: Viola sororia Willd."
"urn:cite:botcar:sloane.135","Catesby Specimen 135: Ampelopsis arborea (L.) Koehne"
"urn:cite:botcar:sloane.226","Catesby Specimen 226: Vitis aestivalis Michaux"
"urn:cite:botcar:sloane.418","Catesby Specimen 418: Xyris ambigua Bey. ex Kunth"
