"specimenURN","name"
"urn:cite:botcar:sloane.93","Catesby Specimen 93: Coreopsis major Walter var. major"
"urn:cite:botcar:sloane.338","Catesby Specimen 338: Eupatorium capillifolium (Lamarck) Small"
"urn:cite:botcar:sloane.257","Catesby Specimen 257: Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont"
"urn:cite:botcar:sloane.173","Catesby Specimen 173: Rudbeckia hirta L."
"urn:cite:botcar:sloane.344","Catesby Specimen 344: Pluchea foetida (L.) A.P. de Candolle"
"urn:cite:botcar:sloane.176","Catesby Specimen 176: Marshallia graminifolia (Walter) Small"
"urn:cite:botcar:sloane.104","Catesby Specimen 104: Liatris squarrosa (L.) Michx. var. squarrosa"
"urn:cite:botcar:sloane.129","Catesby Specimen 129: Solidago petiolaris Aiton var. petiolaris"
"urn:cite:botcar:sloane.140","Catesby Specimen 140: Chrysopsis mariana (L.) Elliott"
"urn:cite:botcar:sloane.291","Catesby Specimen 291: Symphyotrichum concolor (Linnaeus) Nesom var. concolor"
"urn:cite:botcar:sloane.154","Catesby Specimen 154: Vernonia gigantea (Walter) Trelease"
"urn:cite:botcar:sloane.333","Catesby Specimen 333: Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers"
"urn:cite:botcar:sloane.204","Catesby Specimen 204: Eupatorium serotinum Michx."
"urn:cite:botcar:sloane.190","Catesby Specimen 190: Bigelowia nudata (Michx.) DC."
"urn:cite:botcar:sloane.387","Catesby Specimen 387: Bidens frondosa L."
"urn:cite:botcar:sloane.290","Catesby Specimen 290: Ampelaster carolinianus (Walter) G.L. Nesom"
"urn:cite:botcar:sloane.381","Catesby Specimen 381: Prenanthes autumnalis Walter"
"urn:cite:botcar:sloane.158","Catesby Specimen 158: Eupatorium capillifolium (Lam.) Small"
"urn:cite:botcar:sloane.185","Catesby Specimen 185: Euthamia caroliniana (L.) Greene ex Porter & Britton"
"urn:cite:botcar:sloane.186","Catesby Specimen 186: Solidago odora Aiton"
"urn:cite:botcar:sloane.215","Catesby Specimen 215: Helianthus angustifolius L."
"urn:cite:botcar:sloane.379","Catesby Specimen 379: Liatris squarrulosa Michx."
"urn:cite:botcar:sloane.183","Catesby Specimen 183: Heliopsis helianthoides (L.) Sweet var. helianthoides"
"urn:cite:botcar:sloane.167","Catesby Specimen 167: Helianthus hirsutus"
"urn:cite:botcar:sloane.356","Catesby Specimen 356: Coreopsis lanceolata L."
"urn:cite:botcar:sloane.83","Catesby Specimen 83: Chaptalia tomentosa Vent."
"urn:cite:botcar:sloane.409","Catesby Specimen 409: Gamochaeta antillana (Urban) Anderberg"
"urn:cite:botcar:sloane.102","Catesby Specimen 102: Sericocarpus asteroides (L.) BSP"
"urn:cite:botcar:sloane.298","Catesby Specimen 298: Erigeron quercifolius Lam."
"urn:cite:botcar:sloane.374","Catesby Specimen 374: Asteraceae"
"urn:cite:botcar:sloane.390","Catesby Specimen 390: Arnoglossum atriplicifolium (L.) H. Rob."
"urn:cite:botcar:sloane.267","Catesby Specimen 267: Marshallia obovata (Walter) Beadle & F.E. Boynt. var. scaposa Channell"
"urn:cite:botcar:sloane.27","Catesby Specimen 27: Lactuca sp."
"urn:cite:botcar:sloane.429","Catesby Specimen 429: Vernonia angustifolia Michx."
"urn:cite:botcar:sloane.314","Catesby Specimen 314: Bidens?"
"urn:cite:botcar:sloane.79","Catesby Specimen 79: Symphyotrichum dumosum (L.) G.L. Nesom"
"urn:cite:botcar:sloane.428","Catesby Specimen 428: Eupatorium perfoliatum L."
"urn:cite:botcar:sloane.178","Catesby Specimen 178: Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt"
"urn:cite:botcar:sloane.142","Catesby Specimen 142: Solidago sempervirens L."
"urn:cite:botcar:sloane.219","Catesby Specimen 219: Eupatorium"
"urn:cite:botcar:sloane.399","Catesby Specimen 399: Eupatorium compositifolium Walter"
"urn:cite:botcar:sloane.264","Catesby Specimen 264: Eupatorium serotinum Michx."
"urn:cite:botcar:sloane.216","Catesby Specimen 216: Liatris elegans (Walter) Michx."
"urn:cite:botcar:sloane.220","Catesby Specimen 220: Liatris elegans (Walter) Michx."
"urn:cite:botcar:sloane.213","Catesby Specimen 213: Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser"
"urn:cite:botcar:sloane.370","Catesby Specimen 370: Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser"
"urn:cite:botcar:sloane.368","Catesby Specimen 368: Sericocarpus tortifolius (Michx.) Nees"
"urn:cite:botcar:sloane.385","Catesby Specimen 385: Chrysopsis mariana (L.) Elliott"
