"genusURN","genusName",tsn
"urn:cite:botcar:genus.Kalmia","Kalmia",23672
"urn:cite:botcar:genus.Kosteletzkya","Kosteletzkya",21654
"urn:cite:botcar:genus.Lachnanthes","Lachnanthes",43328
"urn:cite:botcar:genus.Lactuca","Lactuca",36594
"urn:cite:botcar:genus.Lamiaceae","Lamiaceae",32251
"urn:cite:botcar:genus.Laportea","Laportea",19126
"urn:cite:botcar:genus.Leptochloa","Leptochloa",41817
"urn:cite:botcar:genus.Lespedeza","Lespedeza",25892
"urn:cite:botcar:genus.Leucothoe","Leucothoe",23547
"urn:cite:botcar:genus.Liatris","Liatris",37906
"urn:cite:botcar:genus.Lilium","Lilium",42722
"urn:cite:botcar:genus.Liquidambar","Liquidambar",19026
"urn:cite:botcar:genus.Liriodendron","Liriodendron",18085
"urn:cite:botcar:genus.Lithospermum","Lithospermum",31937
"urn:cite:botcar:genus.Litsea","Litsea",18205
"urn:cite:botcar:genus.Lobelia","Lobelia",34503
"urn:cite:botcar:genus.Ludwigia","Ludwigia",27334
"urn:cite:botcar:genus.Lupinus","Lupinus",25916
"urn:cite:botcar:genus.Lycopodiella","Lycopodiella",500395
"urn:cite:botcar:genus.Lycopus","Lycopus",32253
"urn:cite:botcar:genus.Lyonia","Lyonia",23558
"urn:cite:botcar:genus.Lysimachia","Lysimachia",23983
"urn:cite:botcar:genus.Maianthemum","Maianthemum",500404
"urn:cite:botcar:genus.Marshallia","Marshallia",38063
"urn:cite:botcar:genus.Matelea","Matelea",30364
"urn:cite:botcar:genus.Medeola","Medeola",42962
"urn:cite:botcar:genus.Melanthium","Melanthium",42964
"urn:cite:botcar:genus.Melothria","Melothria",22338
"urn:cite:botcar:genus.Menispermum","Menispermum",18870
"urn:cite:botcar:genus.Metopium","Metopium",28804
"urn:cite:botcar:genus.Mimosa","Mimosa",26781
"urn:cite:botcar:genus.Monarda","Monarda",32278
"urn:cite:botcar:genus.Morus","Morus",19064
"urn:cite:botcar:genus.Narcissus","Narcissus",500435
"urn:cite:botcar:genus.Nasturtium","Nasturtium",23252
"urn:cite:botcar:genus.Nolina","Nolina",42983
"urn:cite:botcar:genus.Nymphaea","Nymphaea",18383
"urn:cite:botcar:genus.Nyssa","Nyssa",27820
"urn:cite:botcar:genus.Oenothera","Oenothera",27367
"urn:cite:botcar:genus.Onosmodium","Onosmodium",31964
"urn:cite:botcar:genus.Orbexilum","Orbexilum",26814
"urn:cite:botcar:genus.Osmanthus","Osmanthus",32991
"urn:cite:botcar:genus.Osmorhiza","Osmorhiza",29784
"urn:cite:botcar:genus.Osmunda","Osmunda",17217
"urn:cite:botcar:genus.Ostrya","Ostrya",19508
"urn:cite:botcar:genus.Oxydendrum","Oxydendrum",23689
"urn:cite:botcar:genus.Paspalum","Paspalum",40990
"urn:cite:botcar:genus.Pedicularis","Pedicularis",33352
"urn:cite:botcar:genus.Pediomelum","Pediomelum",26832
"urn:cite:botcar:genus.Persea","Persea",18148
"urn:cite:botcar:genus.Persicaria","Persicaria",823756
"urn:cite:botcar:genus.Phalaris","Phalaris",41334
"urn:cite:botcar:genus.Phaseolus","Phaseolus",26839
"urn:cite:botcar:genus.Phegopteris","Phegopteris",500482
"urn:cite:botcar:genus.Philadelphus","Philadelphus",24418
"urn:cite:botcar:genus.Phleum","Phleum",41061
"urn:cite:botcar:genus.Phlox","Phlox",30897
"urn:cite:botcar:genus.Phyla","Phyla",32193
"urn:cite:botcar:genus.Physalis","Physalis",30587
"urn:cite:botcar:genus.Physostegia","Physostegia",32386
"urn:cite:botcar:genus.Pityopsis","Pityopsis",196340
"urn:cite:botcar:genus.Platanthera","Platanthera",43410
"urn:cite:botcar:genus.Platanus","Platanus",19019
"urn:cite:botcar:genus.Pluchea","Pluchea",36060
"urn:cite:botcar:genus.Podophyllum","Podophyllum",18849
"urn:cite:botcar:genus.Podostemum","Podostemum",27030
"urn:cite:botcar:genus.Polygala","Polygala",29302
"urn:cite:botcar:genus.Polygonatum","Polygonatum",43005
"urn:cite:botcar:genus.Polypremum","Polypremum",29958
"urn:cite:botcar:genus.Polystichum","Polystichum",17674
"urn:cite:botcar:genus.Polytrichum","Polytrichum",15758
"urn:cite:botcar:genus.Pontederia","Pontederia",42619
"urn:cite:botcar:genus.Populus","Populus",22444
"urn:cite:botcar:genus.Prenanthes","Prenanthes",38268
"urn:cite:botcar:genus.Prunella","Prunella",32379
"urn:cite:botcar:genus.Prunus","Prunus",24762
"urn:cite:botcar:genus.Pseudognaphalium","Pseudognaphalium",500903
"urn:cite:botcar:genus.Ptelea","Ptelea",28990
"urn:cite:botcar:genus.Ptilimnium","Ptilimnium",29550
"urn:cite:botcar:genus.Pycnanthemum","Pycnanthemum",32650
"urn:cite:botcar:genus.Pycnanthemum","Pycnanthemum",32650
"urn:cite:botcar:genus.Quercus","Quercus",19276
"urn:cite:botcar:genus.Rhexia","Rhexia",27684
"urn:cite:botcar:genus.Rhynchosia","Rhynchosia",500536
"urn:cite:botcar:genus.Rhynchospora","Rhynchospora",40144
"urn:cite:botcar:genus.Rubus","Rubus",24848
