Siglum,Sequence,folioURN,RV,MS,CodexURN
CatesbyHS212,32,urn:cite:botcar:CatesbyHS212.030,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,33,urn:cite:botcar:CatesbyHS212.031,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,34,urn:cite:botcar:CatesbyHS212.032,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,35,urn:cite:botcar:CatesbyHS212.033,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,36,urn:cite:botcar:CatesbyHS212.034,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,37,urn:cite:botcar:CatesbyHS212.035,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,38,urn:cite:botcar:CatesbyHS212.036,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,39,urn:cite:botcar:CatesbyHS212.037,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,40,urn:cite:botcar:CatesbyHS212.038,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,41,urn:cite:botcar:CatesbyHS212.039,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
