speciesURN,scientificNameText,scientificNameFormatted,label,ipniID
urn:cite:botcar:species.Asclepiasviridiflora,Asclepias viridiflora Raf.,Asclepias viridiflora Raf.,Asclepias viridiflora Raf.,"**Asclepias viridiflora Raf.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Aspleniumtrichomanes,Asplenium trichomanes L.,Asplenium trichomanes L.,Asplenium trichomanes L.,"**Asplenium trichomanes L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Astragalusmichauxii,Astragalus michauxii (Kuntze) F.J. Herm.,Astragalus michauxii (Kuntze) F.J. Herm.,Astragalus michauxii (Kuntze) F.J. Herm.,"**Astragalus michauxii (Kuntze) F.J. Herm.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Athyriumasplenioides,Athyrium asplenioides (Michaux) A.A. Eaton,Athyrium asplenioides (Michaux) A.A. Eaton,Athyrium asplenioides (Michaux) A.A. Eaton,"**Athyrium asplenioides (Michaux) A.A. Eaton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Bacopamonnieri,Bacopa monnieri (L.) Pennell,Bacopa monnieri (L.) Pennell,Bacopa monnieri (L.) Pennell,"**Bacopa monnieri (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Baptisiaalbescens,Baptisia albescens Small,Baptisia albescens Small,Baptisia albescens Small,"**Baptisia albescens Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Baptisiabracteata,Baptisia bracteata Elliott,Baptisia bracteata Elliott,Baptisia bracteata Elliott,"**Baptisia bracteata Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Baptisiaperfoliata,Baptisia perfoliata (L.) R. Br.,Baptisia perfoliata (L.) R. Br.,Baptisia perfoliata (L.) R. Br.,"**Baptisia perfoliata (L.) R. Br.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Baptisiatinctoria,Baptisia tinctoria (L.) Ventenat,Baptisia tinctoria (L.) Ventenat,Baptisia tinctoria (L.) Ventenat,"**Baptisia tinctoria (L.) Ventenat**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Berchemiascandens,Berchemia scandens (Hill) K. Koch,Berchemia scandens (Hill) K. Koch,Berchemia scandens (Hill) K. Koch,"**Berchemia scandens (Hill) K. Koch**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Berlandierapumila,Berlandiera pumila (Michx) Nutt.,Berlandiera pumila (Michx) Nutt.,Berlandiera pumila (Michx) Nutt.,"**Berlandiera pumila (Michx) Nutt.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Bidensfrondosa,Bidens frondosa L.,Bidens frondosa L.,Bidens frondosa L.,"**Bidens frondosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Bigelowianudata,Bigelowia nudata (Michx.) DC.,Bigelowia nudata (Michx.) DC.,Bigelowia nudata (Michx.) DC.,"**Bigelowia nudata (Michx.) DC.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Brunnichiaovata,Brunnichia ovata (Walter) Shinners,Brunnichia ovata (Walter) Shinners,Brunnichia ovata (Walter) Shinners,"**Brunnichia ovata (Walter) Shinners**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Calycanthusfloridus,Calycanthus floridus L.,Calycanthus floridus L.,Calycanthus floridus L.,"**Calycanthus floridus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Calystegiacatesbeiana,Calystegia catesbeiana Pursh,Calystegia catesbeiana Pursh,Calystegia catesbeiana Pursh,"**Calystegia catesbeiana Pursh**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Carexglaucescens,Carex glaucescens Elliott,Carex glaucescens Elliott,Carex glaucescens Elliott,"**Carex glaucescens Elliott**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Carphephoruscarnosus,Carphephorus carnosus (Small) C.W. James,Carphephorus carnosus (Small) C.W. James,Carphephorus carnosus (Small) C.W. James,"**Carphephorus carnosus (Small) C.W. James**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Carpinuscaroliniana,Carpinus caroliniana Walter,Carpinus caroliniana Walter,Carpinus caroliniana Walter,"**Carpinus caroliniana Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Caryatomentosa,Carya tomentosa (Lamarck ex Poiret) Nuttall,Carya tomentosa (Lamarck ex Poiret) Nuttall,Carya tomentosa (Lamarck ex Poiret) Nuttall,"**Carya tomentosa (Lamarck ex Poiret) Nuttall**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Castaneapumila,Castanea pumila (L.) Mill,Castanea pumila (L.) Mill,Castanea pumila (L.) Mill,"**Castanea pumila (L.) Mill**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Catalpabignonioides,Catalpa bignonioides Walter,Catalpa bignonioides Walter,Catalpa bignonioides Walter,"**Catalpa bignonioides Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Ceanothusamericanus,Ceanothus americanus L.,Ceanothus americanus L.,Ceanothus americanus L.,"**Ceanothus americanus L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cephalanthusoccidentalis,Cephalanthus occidentalis L.,Cephalanthus occidentalis L.,Cephalanthus occidentalis L.,"**Cephalanthus occidentalis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Ceratiolaericoides,Ceratiola ericoides Michx.,Ceratiola ericoides Michx.,Ceratiola ericoides Michx.,"**Ceratiola ericoides Michx.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Cerciscanadensis,Cercis canadensis L.,Cercis canadensis L.,Cercis canadensis L.,"**Cercis canadensis L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Chamaecristanictitans,Chamaecrista nictitans (Michx.) Greene,Chamaecrista nictitans (Michx.) Greene,Chamaecrista nictitans (Michx.) Greene,"**Chamaecrista nictitans (Michx.) Greene**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
