LabelURN,Text,SpecimenURN,ImageURN,ROI
urn:cite:botcar:catesbyLabels.penLabel210.1,1. Serratula speciosa Mscr. 153,urn:cite:botcar:sloane.210,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_040_0621,""
urn:cite:botcar:catesbyLabels.penLabel104.1,1. Serratula squarrosa Linn.,urn:cite:botcar:sloane.104,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_054_0459,""
urn:cite:botcar:catesbyLabels.penLabel186.1,1. Solidago sempervirens Linn.,urn:cite:botcar:sloane.186,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502,""
urn:cite:botcar:catesbyLabels.penLabel157.1,1. Sophora cerulea Mscr.,urn:cite:botcar:sloane.157,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490,""
urn:cite:botcar:catesbyLabels.penLabel283.1,1. Veratrum viride Mscr. 209,urn:cite:botcar:sloane.283,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475,""
urn:cite:botcar:catesbyLabels.penLabel401.1,1. Zizania aquatica Linn.,urn:cite:botcar:sloane.401,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_088_0419,""
urn:cite:botcar:catesbyLabels.penLabel422.1,2 Acer Negundo Linn.,urn:cite:botcar:sloane.422,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_012_0493,""
urn:cite:botcar:catesbyLabels.penLabel191.1,2 Aitonia buchneroides Mscr 124 Verbena,urn:cite:botcar:sloane.191,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484,""
urn:cite:botcar:catesbyLabels.penLabel314.1,2 an Bidens,urn:cite:botcar:sloane.314,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504,""
urn:cite:botcar:catesbyLabels.penLabel310.1,2 Collinsonia canadensis Linn.,urn:cite:botcar:sloane.310,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506,""
urn:cite:botcar:catesbyLabels.penLabel22.1,2 Eriocaulon decangulare L.,urn:cite:botcar:sloane.22,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_041_0456,""
urn:cite:botcar:catesbyLabels.penLabel260.1,2 Fraxinus americana Linn. Sp. Pl. 1037,urn:cite:botcar:sloane.260,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_011_0500,""
urn:cite:botcar:catesbyLabels.penLabel320.1,2 Galega virginiana Linn.,urn:cite:botcar:sloane.320,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_056_0466,""
urn:cite:botcar:catesbyLabels.penLabel45.1,2 Lithospermum nervosum Mscr. 21,urn:cite:botcar:sloane.45,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457,""
urn:cite:botcar:catesbyLabels.penLabel315.1,2 Lycopus virginicus Linn.,urn:cite:botcar:sloane.315,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502,""
urn:cite:botcar:catesbyLabels.penLabel297.1,2 Melanthium elatum Mscr. 70,urn:cite:botcar:sloane.297,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476,""
urn:cite:botcar:catesbyLabels.penLabel294.1,2 Polygala foliosa Mscr. 136,urn:cite:botcar:sloane.294,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_031_0474,""
urn:cite:botcar:catesbyLabels.penLabel323.1,2 Polypodium rhoticum Linn.,urn:cite:botcar:sloane.323,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_079_0573,""
urn:cite:botcar:catesbyLabels.penLabel343.1,2 Scandix suaveolens Mscr.,urn:cite:botcar:sloane.343,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477,""
urn:cite:botcar:catesbyLabels.penLabel220.1,2 Serratula speciosa Mscr. 153,urn:cite:botcar:sloane.220,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,""
urn:cite:botcar:catesbyLabels.penLabel418.1,2 Xyris indica Linn.; Xyris ambigua Beyr. det. Davis? 1967,urn:cite:botcar:sloane.418,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_042_0455,""
urn:cite:botcar:catesbyLabels.penLabel256.1,2. Amsonia alternifolia Mscr.,urn:cite:botcar:sloane.256,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478,""
urn:cite:botcar:catesbyLabels.penLabel309.1,2. Andromeda arborea Linn.,urn:cite:botcar:sloane.309,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_066_0440,""
urn:cite:botcar:catesbyLabels.penLabel69.1,2. Andromeda axillaris Inscr. 93,urn:cite:botcar:sloane.69,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_015_0496,""
urn:cite:botcar:catesbyLabels.penLabel351.1,2. Aniba ovata Mscr. 197 n. gen.,urn:cite:botcar:sloane.351,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_053_0458,""
urn:cite:botcar:catesbyLabels.penLabel331.1,2. Asclepias hirta Mser,urn:cite:botcar:sloane.331,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,""
urn:cite:botcar:catesbyLabels.penLabel265.1,2. Ceanothus americanus Linn.,urn:cite:botcar:sloane.265,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_035_0480,""
urn:cite:botcar:catesbyLabels.penLabel356.1,2. Coreopsis lanceolata Linn.,urn:cite:botcar:sloane.356,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_020_0490,""
urn:cite:botcar:catesbyLabels.penLabel407.1,2. Hedysarum spicatum Mscr. 149,urn:cite:botcar:sloane.407,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_023_0489,""
urn:cite:botcar:catesbyLabels.penLabel30.1,2. Ludwigia alternifolia Linn.,urn:cite:botcar:sloane.30,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_052_0467,""
urn:cite:botcar:catesbyLabels.penLabel147.1,2. Lysimachia stellata Mscr. 25,urn:cite:botcar:sloane.147,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_036_0475,""
urn:cite:botcar:catesbyLabels.penLabel182.1,2. Medeola virginiana Linn.,urn:cite:botcar:sloane.182,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_048_0608,""
urn:cite:botcar:catesbyLabels.penLabel63.1,2. Philadelphus inodorus Linn. Sp. Pl 470!,urn:cite:botcar:sloane.63,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_016_0494,""
urn:cite:botcar:catesbyLabels.penLabel377.1,2. Polypodium auriculatum Linn.,urn:cite:botcar:sloane.377,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_077_0582,""
urn:cite:botcar:catesbyLabels.penLabel179.1,2. Serratula scariosa Linn.,urn:cite:botcar:sloane.179,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_042_0619,""
urn:cite:botcar:catesbyLabels.penLabel184.1,2. Sida rhombifolia Linn.,urn:cite:botcar:sloane.184,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_051_0468,""
