genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Carphephorus,Carphephorus,urn:cite:botcar:family.Asteraceae,to be added,*Carphephorus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Carpinus,Carpinus,urn:cite:botcar:family.Betulaceae,to be added,*Carpinus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Carya,Carya,urn:cite:botcar:family.Juglandaceae,to be added,*Carya*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Castanea,Castanea,urn:cite:botcar:family.Fagaceae,to be added,*Castanea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Catalpa,Catalpa,urn:cite:botcar:family.Bignoniaceae,to be added,*Catalpa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ceanothus,Ceanothus,urn:cite:botcar:family.Rhamnaceae,to be added,*Ceanothus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cenchrus,Cenchrus,urn:cite:botcar:family.Poaceae,to be added,*Cenchrus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cephalanthus,Cephalanthus,urn:cite:botcar:family.Rubiaceae,to be added,*Cephalanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ceratiola,Ceratiola,urn:cite:botcar:family.Ericaceae,to be added,*Ceratiola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Cercis,Cercis,urn:cite:botcar:family.Fabaceae,to be added,*Cercis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Chamaecrista,Chamaecrista,urn:cite:botcar:family.Fabaceae,to be added,*Chamaecrista*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Chamaesyce,Chamaesyce,urn:cite:botcar:family.Euphorbiaceae,to be added,*Chamaesyce*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Chaptalia,Chaptalia,urn:cite:botcar:family.Asteraceae,to be added,*Chaptalia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Chasmanthium,Chasmanthium,urn:cite:botcar:family.Poaceae,to be added,*Chasmanthium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Chrysogonum,Chrysogonum,urn:cite:botcar:family.Asteraceae,to be added,*Chrysogonum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
