genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Monarda,Monarda,urn:cite:botcar:family.Lamiaceae,to be added,*Monarda*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Morus,Morus,urn:cite:botcar:family.Moraceae,to be added,*Morus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Narcissus,Narcissus,urn:cite:botcar:family.Amaryllidaceae,to be added,*Narcissus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Nasturtium,Nasturtium,urn:cite:botcar:family.Brassicaceae,to be added,*Nasturtium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Nolina,Nolina,urn:cite:botcar:family.Ruscaceae,to be added,*Nolina*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Nymphaea,Nymphaea,urn:cite:botcar:family.Nymphaeaceae,to be added,*Nymphaea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Nyssa,Nyssa,urn:cite:botcar:family.Nyssaceae,to be added,*Nyssa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Oenothera,Oenothera,urn:cite:botcar:family.Onagraceae,to be added,*Oenothera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Onosmodium,Onosmodium,urn:cite:botcar:family.Boraginaceae,to be added,*Onosmodium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Orbexilum,Orbexilum,urn:cite:botcar:family.Fabaceae,to be added,*Orbexilum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Osmanthus,Osmanthus,urn:cite:botcar:family.Oleaceae,to be added,*Osmanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Osmorhiza,Osmorhiza,urn:cite:botcar:family.Apiaceae,to be added,*Osmorhiza*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Osmunda,Osmunda,urn:cite:botcar:family.Osmundaceae,to be added,*Osmunda*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ostrya,Ostrya,urn:cite:botcar:family.Betulaceae,to be added,*Ostrya*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Oxydendrum,Oxydendrum,urn:cite:botcar:family.Ericaceae,to be added,*Oxydendrum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Paspalum,Paspalum,urn:cite:botcar:family.Poaceae,to be added,*Paspalum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pedicularis,Pedicularis,urn:cite:botcar:family.Orobanchaceae,to be added,*Pedicularis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pediomelum,Pediomelum,urn:cite:botcar:family.Fabaceae,to be added,*Pediomelum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Persea,Persea,urn:cite:botcar:family.Lauraceae,to be added,*Persea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Persicaria,Persicaria,urn:cite:botcar:family.Polygonaceae,to be added,*Persicaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Phalaris,Phalaris,urn:cite:botcar:family.Poaceae,to be added,*Phalaris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Phaseolus,Phaseolus,urn:cite:botcar:family.Fabaceae,to be added,*Phaseolus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Phegopteris,Phegopteris,urn:cite:botcar:family.Thelypteridaceae,to be added,*Phegopteris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Philadelphus,Philadelphus,urn:cite:botcar:family.Hydrangeaceae,to be added,*Philadelphus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Phleum,Phleum,urn:cite:botcar:family.Gramineae,to be added,*Phleum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Phlox,Phlox,urn:cite:botcar:family.Polemoniaceae,to be added,*Phlox*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Phyla,Phyla,urn:cite:botcar:family.Verbenaceae,to be added,*Phyla*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Physalis,Physalis,urn:cite:botcar:family.Solanaceae,to be added,*Physalis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Physostegia,Physostegia,urn:cite:botcar:family.Lamiaceae,to be added,*Physostegia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pityopsis,Pityopsis,urn:cite:botcar:family.Asteraceae,to be added,*Pityopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Platanthera,Platanthera,urn:cite:botcar:family.Orchidaceae,to be added,*Platanthera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Platanus,Platanus,urn:cite:botcar:family.Platanaceae,to be added,*Platanus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pluchea,Pluchea,urn:cite:botcar:family.Asteraceae,to be added,*Pluchea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Podophyllum,Podophyllum,urn:cite:botcar:family.Berberidaceae,to be added,*Podophyllum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Podostemum,Podostemum,urn:cite:botcar:family.Podostemaceae,to be added,*Podostemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Polygala,Polygala,urn:cite:botcar:family.Polygalaceae,to be added,*Polygala*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Polygonatum,Polygonatum,urn:cite:botcar:family.Ruscaceae,to be added,*Polygonatum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Polypremum,Polypremum,urn:cite:botcar:family.Tetrachondraceae,to be added,*Polypremum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Polystichum,Polystichum,urn:cite:botcar:family.Dryopteridaceae,to be added,*Polystichum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Polytrichum,Polytrichum,urn:cite:botcar:family.Polytrichaceae,to be added,*Polytrichum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pontederia,Pontederia,urn:cite:botcar:family.Pontederiaceae,to be added,*Pontederia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Populus,Populus,urn:cite:botcar:family.Salicaceae,to be added,*Populus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Prenanthes,Prenanthes,urn:cite:botcar:family.Asteraceae,to be added,*Prenanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Prunella,Prunella,urn:cite:botcar:family.Lamiaceae,to be added,*Prunella*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Prunus,Prunus,urn:cite:botcar:family.Rosaceae,to be added,*Prunus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pseudognaphalium,Pseudognaphalium,urn:cite:botcar:family.Asteraceae,to be added,*Pseudognaphalium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ptelea,Ptelea,urn:cite:botcar:family.Rutaceae,to be added,*Ptelea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ptilimnium,Ptilimnium,urn:cite:botcar:family.Apiaceae,to be added,*Ptilimnium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pycnanthemum,Pycnanthemum,urn:cite:botcar:family.Lamiaceae,to be added,*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Pycnanthemum,Pycnanthemum,urn:cite:botcar:family.Lamiaceae,to be added,*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Quercus,Quercus,urn:cite:botcar:family.Fagaceae,to be added,*Quercus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Rhexia,Rhexia,urn:cite:botcar:family.Melastomataceae,to be added,*Rhexia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Rhynchosia,Rhynchosia,urn:cite:botcar:family.Fabaceae,to be added,*Rhynchosia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Rhynchospora,Rhynchospora,urn:cite:botcar:family.Cyperaceae,to be added,*Rhynchospora*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Rubus,Rubus,urn:cite:botcar:family.Rosaceae,to be added,*Rubus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Rudbeckia,Rudbeckia,urn:cite:botcar:family.Asteraceae,to be added,*Rudbeckia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Sabatia,Sabatia,urn:cite:botcar:family.Gentianaceae,to be added,*Sabatia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Saccharum,Saccharum,urn:cite:botcar:family.Poaceae,to be added,*Saccharum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Salvia,Salvia,urn:cite:botcar:family.Lamiaceae,to be added,*Salvia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Sarracenia,Sarracenia,urn:cite:botcar:family.Sarraceniaceae,to be added,*Sarracenia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Saururus,Saururus,urn:cite:botcar:family.Saururaceae,to be added,*Saururus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Scirpus,Scirpus,urn:cite:botcar:family.Cyperaceae,to be added,*Scirpus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Scutellaria,Scutellaria,urn:cite:botcar:family.Lamiaceae,to be added,*Scutellaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Selaginella,Selaginella,urn:cite:botcar:family.Selaginellaceae,to be added,*Selaginella*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Senna,Senna,urn:cite:botcar:family.Fabaceae,to be added,*Senna*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Sericocarpus,Sericocarpus,urn:cite:botcar:family.Asteraceae,to be added,*Sericocarpus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Setaria,Setaria,urn:cite:botcar:family.Poaceae,to be added,*Setaria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Seymeria,Seymeria,urn:cite:botcar:family.Orobanchaceae,to be added,*Seymeria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Sida,Sida,urn:cite:botcar:family.Malvaceae,to be added,*Sida*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Silene,Silene,urn:cite:botcar:family.Caryophyllaceae,to be added,*Silene*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Silphium,Silphium,urn:cite:botcar:family.Asteraceae,to be added,*Silphium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Smallanthus,Smallanthus,urn:cite:botcar:family.Asteraceae,to be added,*Smallanthus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Smilax,Smilax,urn:cite:botcar:family.Smilacaceae,to be added,*Smilax*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Solidago,Solidago,urn:cite:botcar:family.Asteraceae,to be added,*Solidago*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Spermacoce,Spermacoce,urn:cite:botcar:family.Rubiaceae,to be added,*Spermacoce*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Spigelia,Spigelia,urn:cite:botcar:family.Loganiaceae,to be added,*Spigelia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Sporobolus,Sporobolus,urn:cite:botcar:family.Poaceae,to be added,*Sporobolus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Stachys,Stachys,urn:cite:botcar:family.Lamiaceae,to be added,*Stachys*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Stillingia,Stillingia,urn:cite:botcar:family.Euphorbiaceae,to be added,*Stillingia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Stylosanthes,Stylosanthes,urn:cite:botcar:family.Fabaceae,to be added,*Stylosanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Styrax,Styrax,urn:cite:botcar:family.Styracaceae,to be added,*Styrax*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Symphyotrichum,Symphyotrichum,urn:cite:botcar:family.Asteraceae,to be added,*Symphyotrichum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Taxodium,Taxodium,urn:cite:botcar:family.Cupressaceae,to be added,*Taxodium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Tephrosia,Tephrosia,urn:cite:botcar:family.Fabaceae,to be added,*Tephrosia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Teucrium,Teucrium,urn:cite:botcar:family.Lamiaceae,to be added,*Teucrium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Thalictrum,Thalictrum,urn:cite:botcar:family.Ranunculaceae,to be added,*Thalictrum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Thaspium,Thaspium,urn:cite:botcar:family.Apiaceae,to be added,*Thaspium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Tilia,Tilia,urn:cite:botcar:family.Malvaceae,to be added,*Tilia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Toxicodendron,Toxicodendron,urn:cite:botcar:family.Anacardiaceae,to be added,*Toxicodendron*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Tragia,Tragia,urn:cite:botcar:family.Euphorbiaceae,to be added,*Tragia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Trautvetteria,Trautvetteria,urn:cite:botcar:family.Ranunculaceae,to be added,*Trautvetteria*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Triantha,Triantha,urn:cite:botcar:family.Tofieldiaceae,to be added,*Triantha*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Trichostema,Trichostema,urn:cite:botcar:family.Lamiaceae,to be added,*Trichostema*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Trilisa,Trilisa,urn:cite:botcar:family.Asteraceae,to be added,*Trilisa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Trillium,Trillium,urn:cite:botcar:family.Trilliaceae,to be added,*Trillium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Triodanis,Triodanis,urn:cite:botcar:family.Campanulaceae,to be added,*Triodanis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ulmus,Ulmus,urn:cite:botcar:family.Ulmaceae,to be added,*Ulmus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Uniola,Uniola,urn:cite:botcar:family.Poaceae,to be added,*Uniola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Vaccinium,Vaccinium,urn:cite:botcar:family.Ericaceae,to be added,*Vaccinium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Vernonia,Vernonia,urn:cite:botcar:family.Asteraceae,to be added,*Vernonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Viola,Viola,urn:cite:botcar:family.Violaceae,to be added,*Viola*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Vitis,Vitis,urn:cite:botcar:family.Vitaceae,to be added,*Vitis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Woodwardia,Woodwardia,urn:cite:botcar:family.Blechnaceae,to be added,*Woodwardia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Xyris,Xyris,urn:cite:botcar:family.Xyridaceae,to be added,*Xyris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Zizania,Zizania,urn:cite:botcar:family.Poaceae,to be added,*Zizania*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
