familyURN,familyName,tsnID,label
urn:cite:botcar:family.Haemodoraceae,Haemodoraceae,to be added,*Haemodoraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Hamamelidaceae,Hamamelidaceae,to be added,*Hamamelidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Hydrangeaceae,Hydrangeaceae,to be added,*Hydrangeaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Hypericaceae,Hypericaceae,to be added,*Hypericaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Iteaceae,Iteaceae,to be added,*Iteaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Juglandaceae,Juglandaceae,to be added,*Juglandaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Juncaceae,Juncaceae,to be added,*Juncaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Lamiaceae,Lamiaceae,to be added,*Lamiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Lauraceae,Lauraceae,to be added,*Lauraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Liliaceae,Liliaceae,to be added,*Liliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Loganiaceae,Loganiaceae,to be added,*Loganiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Lycopodiaceae,Lycopodiaceae,to be added,*Lycopodiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Magnoliaceae,Magnoliaceae,to be added,*Magnoliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Malvaceae,Malvaceae,to be added,*Malvaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Melanthiaceae,Melanthiaceae,to be added,*Melanthiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Melastomataceae,Melastomataceae,to be added,*Melastomataceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Menispermaceae,Menispermaceae,to be added,*Menispermaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Moraceae,Moraceae,to be added,*Moraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Nartheciaceae,Nartheciaceae,to be added,*Nartheciaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Nymphaeaceae,Nymphaeaceae,to be added,*Nymphaeaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Nyssaceae,Nyssaceae,to be added,*Nyssaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:family.Oleaceae,Oleaceae,to be added,*Oleaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
