"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_00x_0923","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 00x","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_001_0938","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 001","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_001_0948","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 001","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_001_0950","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 001","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_002_0943","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 002","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_002_0946","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 002","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_003_0939","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 003","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_004_0937","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 004","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_004_0941","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 004","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_005_0942","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 005","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_005_0944","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 005","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_006_0940","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 006","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_007_0934","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 007","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_008_0921","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 008","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_009_0922","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 009","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_009_0932","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 009","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_010_0890","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 010","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarLawson.Lawson_John_HS145_010_0931","Herbarium Specimens collected by John Lawson in the Carolinas;  H.S. 145 folio 010","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
