SpecimenURN (Provisional)	ImageURN	Volume	Sheet	VersionName	Family	Michaux Name	Modern Name	Location	Annotations	Field 2	Type	Linnaean Class	Linneaen Genus	Linnaean Order	Flora
urn:cite2:botcar:michaux.2017a:01_01	urn:cite2:fufolio:botcar.2017a:Michaux8836	01	01	michx-Vol01-1-21-04-55-55	Plantaginaceae	Hippuris vulgaris	Hippuris vulgaris	habitat in fossis ad Malbaye in Canada				Monandria	Hippuris	Monogynia	1
urn:cite2:botcar:michaux.2017a:01_02	urn:cite2:fufolio:botcar.2017a:Michaux8839	01	02	michx-Vol01-2-21-04-56-56	Amaranthaceae	Salicornia herbacea	Salicornia sp.	Bas du fl. St. Laurent Canada				Monandria	Salicornia	Monogynia	1
urn:cite2:botcar:michaux.2017a:01_03	urn:cite2:fufolio:botcar.2017a:Michaux8841	01	03	michx-Vol01-3-21-04-57-23	Amaranthaceae	Salicornia ambigua	Sarcocornia perennis	hab. in scirpetis maritimus a Carolina ad floridam			Holotype	Monandria	Salicornia	Monogynia	
urn:cite2:botcar:michaux.2017a:01_03a	urn:cite2:fufolio:botcar.2017a:Michaux8842	01	03a	michx-Vol01-3a-21-04-57-52											
urn:cite2:botcar:michaux.2017a:01_03b	urn:cite2:fufolio:botcar.2017a:Michaux8843	01	03b	michx-Vol01-3b-21-04-58-06											
urn:cite2:botcar:michaux.2017a:01_04	urn:cite2:fufolio:botcar.2017a:Michaux8845	01	04	michx-Vol01-4-21-04-58-38	Cannaceae	Canna?	Canna flaccida								
urn:cite2:botcar:michaux.2017a:01_05	urn:cite2:fufolio:botcar.2017a:Michaux8847	01	05	michx-Vol01-5-21-05-00-19	Cannaceae	Blitum capitatum	Chenopodium capitatum var. capitatum	Hab in requietis, incultis Canadae				Monandria	Blitum	Digynia	2
urn:cite2:botcar:michaux.2017a:01_06	urn:cite2:fufolio:botcar.2017a:Michaux8849	01	06	michx-Vol01-6-21-05-00-59	Callitrichaceae	Callitriche verna	Callitriche heterophylla	H in America Septentrionale ubiq a Canada ad Carolinum				Monandria	Callitriche	Digynia	2
urn:cite2:botcar:michaux.2017a:01_07	urn:cite2:fufolio:botcar.2017a:Michaux8850	01	07	michx-Vol01-7-21-05-01-30	Callitrichaceae	Callitriche autumnalis	Callitriche hermaphroditica	hab. ad ripam meridional Lacus Champlain				Monandria	Callitriche	Digynia	
urn:cite2:botcar:michaux.2017a:01_07a	urn:cite2:fufolio:botcar.2017a:Michaux9060	01	07a	michx-Vol01-7a-21-05-57-58											
urn:cite2:botcar:michaux.2017a:01_07b	urn:cite2:fufolio:botcar.2017a:Michaux5308	01	07b	michx-Vol01-7b-21-06-00-37											
urn:cite2:botcar:michaux.2017a:01_07c	urn:cite2:fufolio:botcar.2017a:Michaux5309	01	07c	michx-Vol01-7c-21-06-00-41											
urn:cite2:botcar:michaux.2017a:01_07f	urn:cite2:fufolio:botcar.2017a:Michaux5312	01	07f	michx-Vol01-7f-21-06-00-56											
urn:cite2:botcar:michaux.2017a:01_07g	urn:cite2:fufolio:botcar.2017a:Michaux5313	01	07g	michx-Vol01-7g-21-06-01-02											
urn:cite2:botcar:michaux.2017a:01_07h	urn:cite2:fufolio:botcar.2017a:Michaux5314	01	07h	michx-Vol01-7h-21-06-01-07											
urn:cite2:botcar:michaux.2017a:01_08	urn:cite2:fufolio:botcar.2017a:Michaux8854	01	08	michx-Vol01-8-21-05-02-36	Oleaceae	Ligustrum vulgare	Ligustrum vulgar (European privet)	Pensylvania et New York Nulle difference à celui d'Europe				Diandria		Monogynia	3
urn:cite2:botcar:michaux.2017a:01_09	urn:cite2:fufolio:botcar.2017a:Michaux8856	01	09	michx-Vol01-9-21-05-03-29	Oleaceae	Chionanthus virginica	Chionanthus virginica					Diandria		Monogynia	3
urn:cite2:botcar:michaux.2017a:01_10	urn:cite2:fufolio:botcar.2017a:Michaux8857	01	10	michx-Vol01-10-21-05-03-50	Oleaceae	Chionanthus virginica	Chionanthus virginica					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_10a	urn:cite2:fufolio:botcar.2017a:Michaux8858	01	10a	michx-Vol01-10a-21-05-04-08	Oleaceae	Chionanthus	Chionanthus virginica					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_10b	urn:cite2:fufolio:botcar.2017a:Michaux8859	01	10b	michx-Vol01-10b-21-05-04-27	Oleaceae	Chionanthus virginicananthus	Chionanthus virginica					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_10c	urn:cite2:fufolio:botcar.2017a:Michaux8860	01	10c	michx-Vol01-10c-21-05-04-46	Oleaceae	Chinoanthus virginica	Chionanthus virginica					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_11	urn:cite2:fufolio:botcar.2017a:Michaux8862	01	11	michx-Vol01-11-21-05-05-20	Plantaginaceae	Veronica arvensis	Veronica arvensis	haute Caroline Sept et Virginie mais peut être importé d'Europe				Diandria		Monogynia	4
urn:cite2:botcar:michaux.2017a:01_12	urn:cite2:fufolio:botcar.2017a:Michaux8863	01	12	michx-Vol01-12-21-05-05-50	Plantaginaceae	Veronica serpyllifolia	Veronica serpyllifolia var. serpyllifolia	Chicoutoumé en Canada				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_12b	urn:cite2:fufolio:botcar.2017a:Michaux8864	01	12b	michx-Vol01-12b-21-05-06-06											
urn:cite2:botcar:michaux.2017a:01_13	urn:cite2:fufolio:botcar.2017a:Michaux8865	01	13	michx-Vol01-13-21-05-06-22	Plantaginaceae	Veronica peregrina	Veronica peregrina	Carolines				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_14	urn:cite2:fufolio:botcar.2017a:Michaux8866	01	14	michx-Vol01-14-21-05-06-34	Plantaginaceae	Veronica scutellata	Veronica scutellata L.	Lacs et rivierres qui coulent dans la Baye d'Hudson				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_15	urn:cite2:fufolio:botcar.2017a:Michaux8867	01	15	michx-Vol01-15-21-05-06-52	Plantaginaceae	Veronica anagallis	Veronica anagallis-aquatica L.					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_16	urn:cite2:fufolio:botcar.2017a:Michaux8868	01	16	michx-Vol01-16-21-05-07-07	Plantaginaceae	Veronica officinalis	Veronica officinalis L.	Virginie, Maryland				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_17	urn:cite2:fufolio:botcar.2017a:Michaux8869	01	17	michx-Vol01-17-21-05-07-23	Plantaginaceae	Veronica virginica	Veronicastrum virginicum (L.) Farw.	Illinois				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_18	urn:cite2:fufolio:botcar.2017a:Michaux8871	01	18	michx-Vol01-18-21-05-07-42	Plantaginaceae	Gratiola officinalis	Gratiola aurea		Gratiola aurea			Diandria		Monogynia	6
urn:cite2:botcar:michaux.2017a:01_19	urn:cite2:fufolio:botcar.2017a:Michaux8872	01	19	michx-Vol01-19-21-05-08-20	Plantaginaceae	Gratiola officinalis	Gratiola aurea					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_20	urn:cite2:fufolio:botcar.2017a:Michaux8873	01	20	michx-Vol01-20-21-05-08-39	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Type possible de Gratiola quadridentata Mich.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8830	01	21	michx-Vol01-21-04-50-37	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8831	01	21	michx-Vol01-21-04-51-05	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8833	01	21	michx-Vol01-21-04-54-48	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8834	01	21	michx-Vol01-21-04-55-09	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8835	01	21	michx-Vol01-21-04-55-16	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8837	01	21	michx-Vol01-21-04-56-26	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8838	01	21	michx-Vol01-21-04-56-42	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8844	01	21	michx-Vol01-21-04-58-24	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8846	01	21	michx-Vol01-21-04-59-58	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8848	01	21	michx-Vol01-21-05-00-43	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8851	01	21	michx-Vol01-21-05-01-51	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8852	01	21	michx-Vol01-21-05-02-07	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8853	01	21	michx-Vol01-21-05-02-21	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8855	01	21	michx-Vol01-21-05-03-19	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8861	01	21	michx-Vol01-21-05-05-08	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8870	01	21	michx-Vol01-21-05-07-35	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8880	01	21	michx-Vol01-21-05-10-33	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8886	01	21	michx-Vol01-21-05-12-08	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8887	01	21	michx-Vol01-21-05-12-13	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8889	01	21	michx-Vol01-21-05-13-03	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8893	01	21	michx-Vol01-21-05-13-48	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8895	01	21	michx-Vol01-21-05-14-10	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8905	01	21	michx-Vol01-21-05-16-15	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8918	01	21	michx-Vol01-21-05-19-38	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8926	01	21	michx-Vol01-21-05-21-18	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8939	01	21	michx-Vol01-21-05-25-17	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8955	01	21	michx-Vol01-21-05-28-46	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8964	01	21	michx-Vol01-21-05-30-28	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21	urn:cite2:fufolio:botcar.2017a:Michaux8874	01	21	michx-Vol01-21-21-05-09-01	Plantaginaceae	Gratiola quadridentata	Gratiola ramosa Walter				Holotype de Gratiola quadridentata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_21a	urn:cite2:fufolio:botcar.2017a:Michaux8875	01	21a	michx-Vol01-21a-21-05-09-08											
urn:cite2:botcar:michaux.2017a:01_21b	urn:cite2:fufolio:botcar.2017a:Michaux5307	01	21b	michx-Vol01-21b-21-05-11-54											
urn:cite2:botcar:michaux.2017a:01_22	urn:cite2:fufolio:botcar.2017a:Michaux8876	01	22	michx-Vol01-22-21-05-09-39	Plantaginaceae	Gratiola anagallidea	Lindernia dubia var. anagallidea				Type possible de Gratiola anagallidea Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_22a	urn:cite2:fufolio:botcar.2017a:Michaux8877	01	22a	michx-Vol01-22a-21-05-09-50	Plantaginaceae	Gratiola anagallidea	Lindernia dubia var. anagallidea	in umbrosis humidis Carolina, Basse Caroline			Holotype de Gratiola anagallidea Michx, Type possible de Gratiola anagallidea	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_23	urn:cite2:fufolio:botcar.2017a:Michaux8878	01	23	michx-Vol01-23-21-05-10-03	Plantaginaceae	Gratiola pilosa	Gratiola pilosa				Holotype de Gratiola pilosa Michx, Type possible de Gratiola pilosa Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_24	urn:cite2:fufolio:botcar.2017a:Michaux8879	01	24	michx-Vol01-24-21-05-10-19	Plantaginaceae	Gratiola pilosa	Gratiola pilosa				Isotype possible de Gratiola pilosa Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_26	urn:cite2:fufolio:botcar.2017a:Michaux8881	01	26	michx-Vol01-26-21-05-10-41	Acanthaceae	Justicia pedunculosa	Justicia americana	Ohio, fl. St. Laurent			Holotype de Justicia pedunculosa Michx.	Diandria		Monogynia	7
urn:cite2:botcar:michaux.2017a:01_27	urn:cite2:fufolio:botcar.2017a:Michaux8882	01	27	michx-Vol01-27-21-05-10-56	Acanthaceae	Justicia pedunculosa	Justicia americana				Isotype possible de Justicia pedunculosa Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_28	urn:cite2:fufolio:botcar.2017a:Michaux8883	01	28	michx-Vol01-28-21-05-11-10	Acanthaceae	Justicia humilis	Justicia ovata		Justicia ovata, syntype: J. humilis Michx (Thomas Daniel 2013)		Type de Justicia humilis Michx.; syntype J. ovata	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_29	urn:cite2:fufolio:botcar.2017a:Michaux8884	01	29	michx-Vol01-29-21-05-11-38	Acanthaceae	Justicia humilis	Justicia ovata				Type de Justicia humilis Michx.; syntype J. ovata	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_30	urn:cite2:fufolio:botcar.2017a:Michaux8885	01	30	michx-Vol01-30-21-05-11-50	Acanthaceae	Justicia sexangularis	Dicliptera sexangularis		PDM: How did Michaux get this plant? Only known from south Florida. Makes no sense!!! Spanish super weird about using New Orleans to get to Florida.			Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_31	urn:cite2:fufolio:botcar.2017a:Michaux8888	01	31	michx-Vol01-31-21-05-12-25	Acanthaceae	Dianthera acuminata	Justicia ovata	de Caroline				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_32	urn:cite2:fufolio:botcar.2017a:Michaux8890	01	32	michx-Vol01-32-21-05-13-08	Acanthaceae	Elytraria virgata	Elytraria carolinensis	Carolina			Holotype de Elytraria virgata Michx.	Diandria		Monogynia	8
urn:cite2:botcar:michaux.2017a:01_33	urn:cite2:fufolio:botcar.2017a:Michaux8891	01	33	michx-Vol01-33-21-05-13-22	Acanthaceae	Elytraria virgata	Elytraria carolinensis				Isotype de Elytraria virgata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_34	urn:cite2:fufolio:botcar.2017a:Michaux8892	01	34	michx-Vol01-34-21-05-13-29	Acanthaceae	Elytraria virgata	Elytraria carolinensis				Isotype de Elytraria virgata Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_35	urn:cite2:fufolio:botcar.2017a:Michaux8894	01	35	michx-Vol01-35-21-05-13-59	Plantaginaceae	Micranthemum orbiculatum	Micranthemum umbrosum (J.F. Gmel.) S.F. Blake				Holotype de Micranthemum orbiculatum Michx.	Diandria		Monogynia	10
urn:cite2:botcar:michaux.2017a:01_36	urn:cite2:fufolio:botcar.2017a:Michaux8896	01	36	michx-Vol01-36-21-05-14-22	Plantaginaceae	Micranthemum orbiculatum	Micranthemum umbrosum (J.F. Gmel.) S.F. Blake				Isotype possible de Micranthemum orbiculatum Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_36a	urn:cite2:fufolio:botcar.2017a:Michaux8897	01	36a	michx-Vol01-36a-21-05-14-25											
urn:cite2:botcar:michaux.2017a:01_37	urn:cite2:fufolio:botcar.2017a:Michaux8898	01	37	michx-Vol01-37-21-05-14-42	Lentibulariaceae	Pinguicula elatior	Pinguicula caerulea Walter				Holotype de Pinguicula elatior Michx.	Diandria		Monogynia	11
urn:cite2:botcar:michaux.2017a:01_38	urn:cite2:fufolio:botcar.2017a:Michaux8899	01	38	michx-Vol01-38-21-05-14-57	Lentibulariaceae	Pinguicula elatior	Pinguicula caerulea				Isotype de Pinguicula elatior Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_39	urn:cite2:fufolio:botcar.2017a:Michaux8900	01	39	michx-Vol01-39-21-05-15-14	Lentibulariaceae	Pinguicula acutifolia	Pinguicula vulgaris				Holotype de Pinguicula acutifolia Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_39a	urn:cite2:fufolio:botcar.2017a:Michaux8901	01	39a	michx-Vol01-39a-21-05-15-22											
urn:cite2:botcar:michaux.2017a:01_3label	urn:cite2:fufolio:botcar.2017a:Michaux8840	01	3label	michx-Vol01-3label-21-04-57-11											
urn:cite2:botcar:michaux.2017a:01_40	urn:cite2:fufolio:botcar.2017a:Michaux8902	01	40	michx-Vol01-40-21-05-15-38	Lentibulariaceae	Pinguicula lutea	Pinguicula lutea				Holotype de Pinguicula lutea Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_41	urn:cite2:fufolio:botcar.2017a:Michaux8903	01	41	michx-Vol01-41-21-05-15-57	Lentibulariaceae	Pinguicula pumila	Pinguicula pumila				Type Pinguicula pumila Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_41a	urn:cite2:fufolio:botcar.2017a:Michaux8904	01	41a	michx-Vol01-41a-21-05-16-00											
urn:cite2:botcar:michaux.2017a:01_42	urn:cite2:fufolio:botcar.2017a:Michaux8906	01	42	michx-Vol01-42-21-05-16-25	Lentibulariaceae	Utricularia ceratophylla	Utricularia inflata				Holotype de Utricularia ceratophylla Michx.	Diandria		Monogynia	12
urn:cite2:botcar:michaux.2017a:01_43	urn:cite2:fufolio:botcar.2017a:Michaux8907	01	43	michx-Vol01-43-21-05-16-44	Lentibulariaceae	Utriculata cornuta	Utriculata cornuta				Holotype de Utricularia cornuta Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_44	urn:cite2:fufolio:botcar.2017a:Michaux8908	01	44	michx-Vol01-44-21-05-16-57	Lentibulariaceae	Utricularia setacea	Utricularia gibba (U. biflora)		Utricularia pumila (U. setacea var. B Michx.) - P. Taylor 30/10/89			Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_45	urn:cite2:fufolio:botcar.2017a:Michaux8910	01	45	michx-Vol01-45-21-05-17-22	Lentibulariaceae	Utricularia setacea	Utricularia subulata		Utricularia subulata			Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_46	urn:cite2:fufolio:botcar.2017a:Michaux8911	01	46	michx-Vol01-46-21-05-17-53	Lamiaceae	Cunila mariana	Cunila origanoides	Pensylvanie, Virginie et haute Caroline dans les Montagnes, environs de Morganton				Diandria		Monogynia	13
urn:cite2:botcar:michaux.2017a:01_47	urn:cite2:fufolio:botcar.2017a:Michaux8912	01	47	michx-Vol01-47-21-05-18-05	Lamiaceae	Cunila mariana	Cunila origanoides	Rochers qui bordent la Rivierre Cumberland				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_48	urn:cite2:fufolio:botcar.2017a:Michaux8913	01	48	michx-Vol01-48-21-05-18-14	Lamiaceae	Cunila mariana	Cunila origanoides					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_49	urn:cite2:fufolio:botcar.2017a:Michaux8914	01	49	michx-Vol01-49-21-05-18-33	Lamiaceae	Cunila glabella	Clinopodium glabellum				Holotype de Cunila glabella Michx.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_50	urn:cite2:fufolio:botcar.2017a:Michaux8915	01	50	michx-Vol01-50-21-05-18-51	Lamiaceae	Cunila pulegioides	Hedeoma pulegioides (middle specimen Cunila origanoides)					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_51	urn:cite2:fufolio:botcar.2017a:Michaux8916	01	51	michx-Vol01-51-21-05-19-05	Lamiaceae	Cunila pulegioides	Hedeoma pulegioides (middle specimen Cunila origanoides)					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_51a	urn:cite2:fufolio:botcar.2017a:Michaux8917	01	51a	michx-Vol01-51a-21-05-19-14	Lamiaceae	Cunila pulegioides	Hedeoma pulegioides	Canada, Pensylvania, virginie, hautes Carolines dans les parties montagneuses, fleurit en Juillet et Aout				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_52	urn:cite2:fufolio:botcar.2017a:Michaux8919	01	52	michx-Vol01-52-21-05-19-44	Lamiaceae	Lycopus europaeus	Lycopus americanus	Canada				Diandria		Monogynia	14
urn:cite2:botcar:michaux.2017a:01_53	urn:cite2:fufolio:botcar.2017a:Michaux8920	01	53	michx-Vol01-53-21-05-20-01	Lamiaceae	Lycopus virginicus	Upper left: Lycopus uniflorus; Upper right: Lycopus virginicus; Bottom left: L. uniflorus, Bottom right: L. uniflorus (see Rhodora 6:66 134-137 1904 M.L. Fernald	hautes montagnes, Carolines				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_54	urn:cite2:fufolio:botcar.2017a:Michaux8921	01	54	michx-Vol01-54-21-05-20-11	Lamiaceae	Lycopus virginicus	Lycopus virginicus	New York				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_55	urn:cite2:fufolio:botcar.2017a:Michaux8922	01	55	michx-Vol01-55-21-05-20-20	Lamiaceae	Lycopus virginicus	Lycopus virginicus					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_56	urn:cite2:fufolio:botcar.2017a:Michaux8923	01	56	michx-Vol01-56-21-05-20-44	Lamiaceae	Lycopus uniflorus	Lycopus uniflorus (this one is tuberous)	Lac St. Jean au Lac Mistassini			Holotype de Lycopus uniflorus Michx.; Lycopus virginicus var. pauciflorus Benth.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_57	urn:cite2:fufolio:botcar.2017a:Michaux8924	01	57	michx-Vol01-57-21-05-20-52	Lamiaceae	Lycopus uniflorus	Lycopus uniflorus				Isotype de Lycopus uniflorus Michx., Lycopus virginicus var. pauciflorus Benth.	Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_57a	urn:cite2:fufolio:botcar.2017a:Michaux8925	01	57a	michx-Vol01-57a-21-05-20-58											
urn:cite2:botcar:michaux.2017a:01_58	urn:cite2:fufolio:botcar.2017a:Michaux8927	01	58	michx-Vol01-58-21-05-21-26	Lamiaceae	Salvia lyrata	Salvia lyrata	Virginia, Carolina				Diandria		Monogynia	14
urn:cite2:botcar:michaux.2017a:01_59	urn:cite2:fufolio:botcar.2017a:Michaux8928	01	59	michx-Vol01-59-21-05-21-43	Lamiaceae	Salvia urticifolia	Salvia urticifolia					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_60	urn:cite2:fufolio:botcar.2017a:Michaux8929	01	60	michx-Vol01-60-21-05-21-53	Lamiaceae	Salvia urticifolia	Salvia urticifolia	In montosis Virginiea Carolinae				Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_61	urn:cite2:fufolio:botcar.2017a:Michaux8930	01	61	michx-Vol01-61-21-05-22-10	Lamiaceae	Salvia coccinea	Salvia coccinea					Diandria		Monogynia	
urn:cite2:botcar:michaux.2017a:01_62	urn:cite2:fufolio:botcar.2017a:Michaux8931	01	62	michx-Vol01-62-21-05-22-23	Lamiaceae	Salvia coccinea	Salvia coccinea	In maritimis Georgiae Floridae				Diandria		Monogynia	
