SpecimenURN (Provisional)	ImageURN	Volume	Sheet	VersionName	Family	Michaux Name	Modern Name	Location	Annotations	Field 2	Type	Linnaean Class	Linneaen Genus	Linnaean Order	Flora
urn:cite2:botcar:michaux.2017a:17b_52	urn:cite2:fufolio:botcar.2017a:Michaux1838	17b	52	michx-Vol17b-52-23-03-26-17	Asteraceae	Ambrosia bidentata		Prairies des Illinois				Monoecia		Pentandria	182
urn:cite2:botcar:michaux.2017a:17b_53	urn:cite2:fufolio:botcar.2017a:Michaux1839	17b	53	michx-Vol17b-53-23-03-26-33	Asteraceae	Ambrosia trifida		Pensylvanie, Carolines, Illinois &c				Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_54	urn:cite2:fufolio:botcar.2017a:Michaux1840	17b	54	michx-Vol17b-54-23-03-26-42	Asteraceae	Ambrosia trifida						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_55	urn:cite2:fufolio:botcar.2017a:Michaux1841	17b	55	michx-Vol17b-55-23-03-26-56	Asteraceae	Ambrosia absinthifolia		Hab in montosis Carolinae; haute Caroline				Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_56	urn:cite2:fufolio:botcar.2017a:Michaux1842	17b	56	michx-Vol17b-56-23-03-27-08	Asteraceae	Ambrosia paniculata					Type	Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_57	urn:cite2:fufolio:botcar.2017a:Michaux1843	17b	57	michx-Vol17b-57-23-03-27-21	Asteraceae	Ambrosia artemisifolia		Horti Parisiensis				Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_58	urn:cite2:fufolio:botcar.2017a:Michaux1844	17b	58	michx-Vol17b-58-23-03-27-29	Asteraceae	Ambrosia artemisifolia						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_59	urn:cite2:fufolio:botcar.2017a:Michaux1845	17b	59	michx-Vol17b-59-23-03-27-41	Asteraceae	Ambrosia artemisifolia						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_60	urn:cite2:fufolio:botcar.2017a:Michaux1846	17b	60	michx-Vol17b-60-23-03-27-48	Asteraceae	Ambrosia artemisifolia						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_61	urn:cite2:fufolio:botcar.2017a:Michaux1847	17b	61	michx-Vol17b-61-23-03-27-55	Asteraceae	Ambrosia artemisifolia						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_62	urn:cite2:fufolio:botcar.2017a:Michaux1848	17b	62	michx-Vol17b-62-23-03-28-03	Asteraceae	Ambrosia artemisifolia						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_63	urn:cite2:fufolio:botcar.2017a:Michaux1849	17b	63	michx-Vol17b-63-23-03-28-31	Asteraceae	Iva annua		Illinois et Rives du Misissipi				Monoecia		Pentandria	184
urn:cite2:botcar:michaux.2017a:17b_64	urn:cite2:fufolio:botcar.2017a:Michaux1850	17b	64	michx-Vol17b-64-23-03-28-41	Asteraceae	Iva frutescens						Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_65	urn:cite2:fufolio:botcar.2017a:Michaux1851	17b	65	michx-Vol17b-65-23-03-28-55	Asteraceae	Indet	Iva frutescens					Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_66	urn:cite2:fufolio:botcar.2017a:Michaux1852	17b	66	michx-Vol17b-66-23-03-29-05	Asteraceae	Indet	Iva?					Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_67	urn:cite2:fufolio:botcar.2017a:Michaux1853	17b	67	michx-Vol17b-67-23-03-29-16	Euphorbiaceae	Crotonopsis linearis						Monoecia		Pentandria	185
urn:cite2:botcar:michaux.2017a:17b_68	urn:cite2:fufolio:botcar.2017a:Michaux1854	17b	68	michx-Vol17b-68-23-03-29-25	Euphorbiaceae	Crotonopsis linearis		Prairies des Illinois				Monoecia		Pentandria	
urn:cite2:botcar:michaux.2017a:17b_68a	urn:cite2:fufolio:botcar.2017a:Michaux1855	17b	68a	michx-Vol17b-68a-23-03-29-34											
urn:cite2:botcar:michaux.2017a:17b_69	urn:cite2:fufolio:botcar.2017a:Michaux1856	17b	69	michx-Vol17b-69-23-03-30-00	Araceae	Pothos foetida		New Jersey et New York				Monoecia		Polyandria	186
urn:cite2:botcar:michaux.2017a:17b_69a	urn:cite2:fufolio:botcar.2017a:Michaux1857	17b	69a	michx-Vol17b-69a-23-03-30-06											
urn:cite2:botcar:michaux.2017a:17b_69b	urn:cite2:fufolio:botcar.2017a:Michaux1858	17b	69b	michx-Vol17b-69b-23-03-30-13											
urn:cite2:botcar:michaux.2017a:17b_69c	urn:cite2:fufolio:botcar.2017a:Michaux1859	17b	69c	michx-Vol17b-69c-23-03-30-19											
urn:cite2:botcar:michaux.2017a:17b_70	urn:cite2:fufolio:botcar.2017a:Michaux1860	17b	70	michx-Vol17b-70-23-03-30-57	Araceae	Calla palustris		Lac Champlain et Quebec dans le bois humides, Lac St. Jean; Virginia, Pensylvania, Canada				Monoecia		Polyandria	187
urn:cite2:botcar:michaux.2017a:17b_70a	urn:cite2:fufolio:botcar.2017a:Michaux1861	17b	70a	michx-Vol17b-70a-23-03-31-00											
urn:cite2:botcar:michaux.2017a:17b_71	urn:cite2:fufolio:botcar.2017a:Michaux1862	17b	71	michx-Vol17b-71-23-03-31-10	Araceae	Calla sagittifolia	Peltandra sagittifolia	H in paludosis Georgia, Florida			Type	Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_72	urn:cite2:fufolio:botcar.2017a:Michaux1863	17b	72	michx-Vol17b-72-23-03-31-20	Araceae	Arum virginicum	Peltandra virginica	H a Nova Caesarea ad Virginiam; in locis exciccatis Carolinae Septentrionalis				Monoecia		Polyandria	188
urn:cite2:botcar:michaux.2017a:17b_73	urn:cite2:fufolio:botcar.2017a:Michaux1864	17b	73	michx-Vol17b-73-23-03-31-32	Araceae	Arum dracontium	Arisaema dracontium	Hab in Carolina, Florida				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_74	urn:cite2:fufolio:botcar.2017a:Michaux1866	17b	74	michx-Vol17b-74-23-03-31-49	Araceae	Arum triphyllum	Arisaema triphyllum					Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_75	urn:cite2:fufolio:botcar.2017a:Michaux1867	17b	75	michx-Vol17b-75-23-03-32-01	Araceae	Arum dracunculus		Hab. in Europa australi par Richard				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_76	urn:cite2:fufolio:botcar.2017a:Michaux1868	17b	76	michx-Vol17b-76-23-03-32-16	Typhaceae	Sparganium angustifolium		Hab in Omnibus a Quebec ad Lacus Mistassinos				Monoecia		Polyandria	189
urn:cite2:botcar:michaux.2017a:17b_77	urn:cite2:fufolio:botcar.2017a:Michaux1869	17b	77	michx-Vol17b-77-23-03-32-28	Alismataceae	Sagittaria sagittifolia		Hab a Canada ad Carolinam				Monoecia		Polyandria	189
urn:cite2:botcar:michaux.2017a:17b_78	urn:cite2:fufolio:botcar.2017a:Michaux1870	17b	78	michx-Vol17b-78-23-03-32-38	Alismataceae	Sagittaria lancifolia		Hab in Carolina, Georgia			Lectotype	Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_78a	urn:cite2:fufolio:botcar.2017a:Michaux1871	17b	78a	michx-Vol17b-78a-23-03-33-02											
urn:cite2:botcar:michaux.2017a:17b_79	urn:cite2:fufolio:botcar.2017a:Michaux1872	17b	79	michx-Vol17b-79-23-03-33-21	Alismataceae	Sagittaria graminea		Hab. in Canada				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_80	urn:cite2:fufolio:botcar.2017a:Michaux1873	17b	80	michx-Vol17b-80-23-03-33-33	Alismataceae	Sagittaria natans		Hab in Carolina				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_81	urn:cite2:fufolio:botcar.2017a:Michaux1874	17b	81	michx-Vol17b-81-23-03-33-42	Haloragaceae	Myriophyllum spicatum		Hab in Canada a Sinu Hudsonis ad Montreal				Monoecia		Polyandria	190
urn:cite2:botcar:michaux.2017a:17b_82	urn:cite2:fufolio:botcar.2017a:Michaux1875	17b	82	michx-Vol17b-82-23-03-33-54	Haloragaceae	Myriophyllum verticillatum		Hab in Canada juxta Quebec				Monoecia		Polyandria	
urn:cite2:botcar:michaux.2017a:17b_83	urn:cite2:fufolio:botcar.2017a:Michaux1876	17b	83	michx-Vol17b-83-23-03-34-03	Haloragaceae	Myriophyllum scabratum		Hab in Carolina, Georgia				Monoecia		Polyandria	
